id,gene_ontology_i_ds
evm.TU.HiC_scaffold_57.89,GO:0005886; GO:0007156; GO:0007411; GO:0016021; GO:0016199; GO:0030424; GO:0070593; GO:0098632
evm.TU.HiC_scaffold_89.292,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_21.43,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_86.90,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_60.36,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_66.27,GO:0003333; GO:0005886; GO:0005887; GO:0015171; GO:0015174; GO:0015179; GO:0015297; GO:0015822; GO:0016323; GO:0043231; GO:1990822
evm.TU.HiC_scaffold_6.242,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_60.241,GO:0003676; GO:0003964; GO:0004523; GO:0006310; GO:0015074; GO:0044826; GO:0046718; GO:0075713
evm.TU.HiC_scaffold_16.224,GO:0005506; GO:0005737; GO:0005789; GO:0006082; GO:0006805; GO:0007304; GO:0007480; GO:0007552; GO:0008395; GO:0016021; GO:0016712; GO:0020037; GO:0035074; GO:0035210; GO:0042738; GO:0043231; GO:0046344
evm.TU.HiC_scaffold_37.40,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_78.230,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_49.230,GO:0003964
evm.TU.HiC_scaffold_90.328,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_16.176,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_47.5,GO:0000139; GO:0003924; GO:0005525; GO:0005802; GO:0005829; GO:0006895; GO:0008543; GO:0015031; GO:0019003; GO:0031901; GO:0032456; GO:0032880; GO:0042742; GO:0045335; GO:0045995; GO:0055037; GO:0090382
evm.TU.HiC_scaffold_16.138,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_10.130,GO:0003964
evm.TU.HiC_scaffold_92.352,GO:0000118; GO:0000122; GO:0003677; GO:0003714; GO:0006325; GO:0016922; GO:0017053; GO:0042826; GO:0045892; GO:0046966; GO:0048511
evm.TU.HiC_scaffold_47.196,GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0046872
evm.TU.HiC_scaffold_38.39,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_103.235,GO:0005737; GO:0005814; GO:0061630
evm.TU.HiC_scaffold_6.241,GO:0003341; GO:0005524; GO:0005874; GO:0005930; GO:0007018; GO:0008569; GO:0030030; GO:0030286; GO:0031514; GO:0036157; GO:0045505; GO:0051959; GO:0097729; GO:0120135
evm.TU.HiC_scaffold_50.10,GO:0003964
evm.TU.HiC_scaffold_1.61,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_79.332,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_62.97,GO:0003677; GO:0005634; GO:0006325; GO:0006338; GO:0007526; GO:0016577; GO:0030717; GO:0032452; GO:0032453; GO:0032922; GO:0033749; GO:0034647; GO:0034720; GO:0034721; GO:0036098; GO:0043970; GO:0045475; GO:0045893; GO:0046872; GO:0051213; GO:0070193; GO:0070822; GO:2000737
evm.TU.HiC_scaffold_59.11,GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_78.196,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_29.43,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_22.194,GO:0003676; GO:0003964; GO:0004519; GO:0005634; GO:0006313; GO:0008233; GO:0015074
evm.TU.HiC_scaffold_80.83,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_76.125,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_25.175,GO:0003964
evm.TU.HiC_scaffold_50.358,GO:0003677; GO:0005634; GO:0007417
evm.TU.HiC_scaffold_72.212,GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_72.50,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_11.235,GO:0003964
evm.TU.HiC_scaffold_60.121,GO:0005096; GO:0007165; GO:0016324; GO:0043087; GO:0045179; GO:0046580
evm.TU.HiC_scaffold_81.242,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_21.28,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_69.336,GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_92.16,GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_53.12,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_22.112,GO:0000978; GO:0004879; GO:0005634; GO:0006355; GO:0006357; GO:0008270; GO:0009755; GO:0009888; GO:0035211; GO:0060968; GO:0090575
evm.TU.HiC_scaffold_21.96,GO:0004843; GO:0016579
evm.TU.HiC_scaffold_81.327,GO:0005737; GO:0030031; GO:0030317; GO:0031965; GO:0036126; GO:2000059
evm.TU.HiC_scaffold_5.87,GO:0003964
evm.TU.HiC_scaffold_79.287,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_19.258,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_81.53,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_61.17,GO:0003964
evm.TU.HiC_scaffold_57.4,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_97.146,GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_56.353,GO:0003964
evm.TU.HiC_scaffold_78.307,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_2.212,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_52.25,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_67.348,GO:0000122; GO:0000978; GO:0000981; GO:0000987; GO:0002052; GO:0003700; GO:0005634; GO:0006357; GO:0007219; GO:0008134; GO:0009952; GO:0043565; GO:0046983; GO:0048190; GO:0050767; GO:0097150; GO:1902692; GO:1990837
evm.TU.HiC_scaffold_90.76,GO:0000139; GO:0003924; GO:0005525; GO:0005789; GO:0006914; GO:0015031; GO:0034045
evm.TU.HiC_scaffold_69.222,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_35.117,GO:0001046; GO:0003713; GO:0005102; GO:0005634; GO:0005700; GO:0005703; GO:0007458; GO:0016571; GO:0035075; GO:0042393; GO:0042800; GO:0044666; GO:0045893; GO:0045944; GO:0046872; GO:0048749; GO:0051568; GO:1900114
evm.TU.HiC_scaffold_59.134,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_21.97,GO:0003677; GO:0003729; GO:0005634; GO:0005737; GO:0090263; GO:1990904
evm.TU.HiC_scaffold_23.180,GO:0005096; GO:0007165; GO:0016324; GO:0043087; GO:0045179; GO:0046580
evm.TU.HiC_scaffold_12.126,GO:0001725; GO:0003779; GO:0004672; GO:0004687; GO:0005516; GO:0005524; GO:0005737; GO:0014820; GO:0030027; GO:0032154; GO:0046872
evm.TU.HiC_scaffold_45.40,GO:0003964
evm.TU.HiC_scaffold_51.187,GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0005634; GO:0006357; GO:0007548; GO:0014807; GO:0042802; GO:0043565; GO:0045944; GO:0046872; GO:0048706; GO:2000287
evm.TU.HiC_scaffold_96.15,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_11.247,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_89.224,GO:0000122; GO:0000289; GO:0000932; GO:0001222; GO:0001829; GO:0004535; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0010606; GO:0030014; GO:0030015; GO:0031047; GO:0033147; GO:2000036
evm.TU.HiC_scaffold_29.137,GO:0003964
evm.TU.HiC_scaffold_29.141,GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_94.182,GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872
evm.TU.HiC_scaffold_66.120,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_57.299,GO:0005509; GO:0005886; GO:0005887; GO:0005925; GO:0007156; GO:0007295; GO:0007424; GO:0007431; GO:0007440; GO:0007442; GO:0009925; GO:0016339; GO:0030950; GO:0031254; GO:0042247; GO:0044331; GO:0044877; GO:0045089; GO:0048477; GO:0050829; GO:0050839; GO:0051491; GO:0060269; GO:0098609; GO:0098858; GO:1902463
evm.TU.HiC_scaffold_19.122,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_100.175,GO:0004197; GO:0004843; GO:0005634; GO:0005829; GO:0006511; GO:0016579; GO:0031647; GO:0031935; GO:0032435; GO:0042675; GO:0045742; GO:0045874; GO:0046628; GO:0050821; GO:0070374; GO:0090263
evm.TU.HiC_scaffold_71.95,GO:0003964
evm.TU.HiC_scaffold_13.103,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_91.58,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_56.145,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_80.220,GO:0003964
evm.TU.HiC_scaffold_3.26,GO:0003964
evm.TU.HiC_scaffold_19.28,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_79.81,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_2.9,GO:0003964
evm.TU.HiC_scaffold_18.111,GO:0003677; GO:0005634
evm.TU.HiC_scaffold_39.85,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_56.96,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_51.224,GO:0005634; GO:0005737
evm.TU.HiC_scaffold_96.272,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_47.36,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_26.224,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_76.51,GO:0003964
evm.TU.HiC_scaffold_82.265,GO:0002385; GO:0004601; GO:0005509; GO:0005886; GO:0006952; GO:0006979; GO:0007476; GO:0008365; GO:0009611; GO:0012505; GO:0016175; GO:0019221; GO:0020037; GO:0035220; GO:0042335; GO:0042554; GO:0042742; GO:0042744; GO:0043020; GO:0043066; GO:0048085; GO:0050665; GO:0051591; GO:0072593; GO:0106293; GO:0106294
evm.TU.HiC_scaffold_65.118,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_86.182,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_73.47,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_104.175,GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0008233; GO:0008270; GO:0015074; GO:0032197
evm.TU.HiC_scaffold_57.312,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_78.36,GO:0003964
evm.TU.HiC_scaffold_90.30,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_59.183,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_78.101,GO:0003964
evm.TU.HiC_scaffold_100.269,GO:0002116; GO:0005886; GO:0005887; GO:0007162; GO:0007399; GO:0007411; GO:0008045; GO:0008360; GO:0017154; GO:0021602; GO:0021610; GO:0021612; GO:0021615; GO:0021636; GO:0021637; GO:0021644; GO:0021784; GO:0021785; GO:0021793; GO:0021960; GO:0030334; GO:0043087; GO:0048485; GO:0048812; GO:0048841; GO:0050772; GO:0050923; GO:0071526; GO:1902287
evm.TU.HiC_scaffold_99.86,GO:0003964
evm.TU.HiC_scaffold_59.102,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_79.562,GO:0003964
evm.TU.HiC_scaffold_64.68,GO:0000146; GO:0005516; GO:0005524; GO:0005703; GO:0005863; GO:0006936; GO:0007298; GO:0007427; GO:0007517; GO:0007527; GO:0008307; GO:0016459; GO:0030017; GO:0030239; GO:0030241; GO:0031033; GO:0031672; GO:0040011; GO:0042692; GO:0042803; GO:0043520; GO:0045214; GO:0050821; GO:0051015; GO:0060361; GO:0071689
evm.TU.HiC_scaffold_16.153,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_69.150,GO:0000502; GO:0005634; GO:0005654; GO:0005769; GO:0005770; GO:0005771; GO:0005783; GO:0005793; GO:0005813; GO:0016020; GO:0030134; GO:0030139; GO:0030433; GO:0031410; GO:0043248; GO:0060090; GO:0070628
evm.TU.HiC_scaffold_92.383,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_67.257,GO:0003951; GO:0004143; GO:0005509; GO:0005524; GO:0005886; GO:0007205; GO:0016310; GO:0035556; GO:0046339; GO:0046834
evm.TU.HiC_scaffold_85.306,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_78.178,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_93.149,GO:0005634; GO:0005737; GO:0006915; GO:0031462; GO:0043161; GO:0140627; GO:1990756; GO:2000001
evm.TU.HiC_scaffold_92.442,GO:0003964
evm.TU.HiC_scaffold_87.197,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_95.306,GO:0003964
evm.TU.HiC_scaffold_63.25,GO:0003964
evm.TU.HiC_scaffold_2.163,GO:0003964
evm.TU.HiC_scaffold_21.352,GO:0003777; GO:0005524; GO:0005858; GO:0005874; GO:0005930; GO:0007018; GO:0008569; GO:0030286; GO:0031514; GO:0036126; GO:0045505; GO:0051959; GO:0060285
evm.TU.HiC_scaffold_85.91,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_52.205,GO:0003677; GO:0005634
evm.TU.HiC_scaffold_90.340,GO:0003676; GO:0003964; GO:0004519; GO:0005634; GO:0006313; GO:0008233; GO:0015074
evm.TU.HiC_scaffold_93.27,GO:0000122; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0001745; GO:0003713; GO:0005634; GO:0005667; GO:0005737; GO:0005829; GO:0007179; GO:0007419; GO:0007476; GO:0007480; GO:0007488; GO:0007507; GO:0007560; GO:0008586; GO:0009653; GO:0030154; GO:0030509; GO:0030707; GO:0030718; GO:0035019; GO:0035290; GO:0042078; GO:0043565; GO:0045464; GO:0045595; GO:0045705; GO:0045887; GO:0045944; GO:0046872; GO:0048100; GO:0060395; GO:0060799; GO:0061629; GO:0070411; GO:0071144; GO:0090571; GO:1904398; GO:2000134
evm.TU.HiC_scaffold_89.246,GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0046872
evm.TU.HiC_scaffold_59.439,GO:0003964
evm.TU.HiC_scaffold_90.345,GO:0001779; GO:0001843; GO:0003170; GO:0003281; GO:0032436; GO:0035904; GO:0046872; GO:0048856; GO:0051865; GO:0060707; GO:0060708; GO:0061630; GO:0070534; GO:1903077
evm.TU.HiC_scaffold_44.93,GO:0000149; GO:0005484; GO:0005737; GO:0005765; GO:0005789; GO:0005794; GO:0005802; GO:0005886; GO:0006887; GO:0006888; GO:0006906; GO:0006911; GO:0008021; GO:0008333; GO:0009986; GO:0016020; GO:0016192; GO:0017156; GO:0019905; GO:0030027; GO:0030133; GO:0030141; GO:0030175; GO:0030285; GO:0030667; GO:0030670; GO:0031091; GO:0031143; GO:0031201; GO:0031902; GO:0034197; GO:0035493; GO:0035577; GO:0043001; GO:0043005; GO:0043231; GO:0043308; GO:0043312; GO:0043320; GO:0045177; GO:0045335; GO:0047496; GO:0048280; GO:0048471; GO:0050775; GO:0098686; GO:1900483; GO:1903595
evm.TU.HiC_scaffold_76.233,GO:0003964
evm.TU.HiC_scaffold_83.82,GO:0000149; GO:0005085; GO:0005764; GO:0005769; GO:0005770; GO:0005829; GO:0005886; GO:0010976; GO:0015031; GO:0016020; GO:0030133; GO:0030659; GO:0031267; GO:0032456; GO:0035544; GO:0035646; GO:0042470; GO:0043005; GO:0045022; GO:0048812; GO:0050775; GO:0097422
evm.TU.HiC_scaffold_30.13,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_74.264,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_49.194,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_37.36,GO:0000794; GO:0003779; GO:0005863; GO:0007062; GO:0007076; GO:0007498; GO:0007520; GO:0007522; GO:0007525; GO:0008307; GO:0016203; GO:0030017; GO:0030018; GO:0031674; GO:0035206; GO:0040011; GO:0045214; GO:0051301
evm.TU.HiC_scaffold_103.33,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_93.35,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_88.27,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_86.21,GO:0000122; GO:0000976; GO:0000978; GO:0000981; GO:0001227; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005739; GO:0006357; GO:0007420; GO:0007517; GO:0008270; GO:0016604; GO:0019899; GO:0032922; GO:0045662; GO:0045663; GO:0045664; GO:0045785; GO:0045893; GO:0045944; GO:0071559; GO:1904059
evm.TU.HiC_scaffold_69.356,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_16.76,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_79.179,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_21.342,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_43.110,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_45.25,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_69.371,GO:0000278; GO:0004725; GO:0004726; GO:0005634; GO:0005737; GO:0005740; GO:0005829; GO:0007259; GO:0007377; GO:0007411; GO:0008285; GO:0012505; GO:0014067; GO:0016020; GO:0018108; GO:0030948; GO:0031647; GO:0032880; GO:0035335; GO:0042059; GO:0046329; GO:0046426; GO:0046627; GO:0048471; GO:0070373; GO:0071456
evm.TU.HiC_scaffold_27.249,GO:0004672; GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0106310; GO:0106311
evm.TU.HiC_scaffold_4.199,GO:0004483; GO:0005634; GO:0005737; GO:0006370; GO:0097309; GO:0097310
evm.TU.HiC_scaffold_80.244,GO:0003964
evm.TU.HiC_scaffold_76.337,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_67.20,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_96.206,GO:0003964
evm.TU.HiC_scaffold_68.150,GO:0005222; GO:0005223; GO:0005737; GO:0005886; GO:0006812; GO:0007165; GO:0007601; GO:0008022; GO:0015276; GO:0030425; GO:0030553; GO:0031960; GO:0032026; GO:0043194; GO:0043204; GO:0051591; GO:0097386; GO:0098659; GO:1902495
evm.TU.HiC_scaffold_6951.12,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_81.336,GO:0005737; GO:0005874
evm.TU.HiC_scaffold_67.309,GO:0000122; GO:0000978; GO:0000981; GO:0000987; GO:0002052; GO:0003700; GO:0005634; GO:0006357; GO:0007219; GO:0008134; GO:0009952; GO:0043565; GO:0046983; GO:0048190; GO:0050767; GO:0097150; GO:1902692; GO:1990837
evm.TU.HiC_scaffold_14.60,GO:0003964
evm.TU.HiC_scaffold_92.81,GO:0003964
evm.TU.HiC_scaffold_28.234,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_49.138,GO:0003677; GO:0005634
evm.TU.HiC_scaffold_19.63,GO:0000226; GO:0005829; GO:0005886; GO:0005925; GO:0010470; GO:0010717; GO:0031252; GO:0045111; GO:0045180; GO:0045184; GO:0051497; GO:0051895; GO:0070507; GO:1903690; GO:1904261
evm.TU.HiC_scaffold_50.238,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_2.19,GO:0005096; GO:0005811; GO:0007049; GO:0007165; GO:0008289; GO:0030036; GO:0031966; GO:0035023; GO:0043542; GO:0090051; GO:0097498; GO:1903671
evm.TU.HiC_scaffold_50.176,GO:0005496; GO:0005886; GO:0016021; GO:0038023
evm.TU.HiC_scaffold_8.97,GO:0000836; GO:0002039; GO:0005737; GO:0005783; GO:0006511; GO:0008270; GO:0016021; GO:0016567; GO:0030433; GO:0030968; GO:0034976; GO:0036335; GO:0036490; GO:0061630; GO:2000060
evm.TU.HiC_scaffold_63.8,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_90.199,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_94.1,GO:0000139; GO:0003924; GO:0004842; GO:0005525; GO:0005634; GO:0005737; GO:0005765; GO:0005886; GO:0006471; GO:0006886; GO:0008270; GO:0016192; GO:0016567; GO:0019003; GO:0042802
evm.TU.HiC_scaffold_4.69,GO:0005654; GO:0016604; GO:0043565
evm.TU.HiC_scaffold_67.15,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_94.57,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_67.235,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_20.93,GO:0000184; GO:0003677; GO:0003723; GO:0003724; GO:0005524; GO:0005737; GO:0008270; GO:0016787; GO:0071456; GO:0071598; GO:1990124; GO:2000624
evm.TU.HiC_scaffold_53.192,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_59.254,GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_61.139,GO:0005829; GO:0016311; GO:0016791; GO:0045455; GO:0102531
evm.TU.HiC_scaffold_8.162,GO:0003964
evm.TU.HiC_scaffold_64.44,GO:0003677; GO:0005634
evm.TU.HiC_scaffold_61.101,GO:0003964
evm.TU.HiC_scaffold_81.368,GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0035091; GO:0035556; GO:0043576; GO:0045719; GO:0046777; GO:0070092; GO:0097009; GO:0106310; GO:0106311
evm.TU.HiC_scaffold_78.14,GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_55.181,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_92.394,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_40.18,GO:0003964
evm.TU.HiC_scaffold_66.5,GO:0000785; GO:0001955; GO:0003682; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0006275; GO:0007492; GO:0031965; GO:0042742; GO:0043123; GO:0045087; GO:0045787; GO:0051151; GO:1900087; GO:1900245; GO:1900246
evm.TU.HiC_scaffold_17.161,GO:0000785; GO:0000978; GO:0000981; GO:0001227; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005829; GO:0006355; GO:0006357; GO:0008134; GO:0008284; GO:0009653; GO:0010255; GO:0033137; GO:0035538; GO:0042593; GO:0045723; GO:0045821; GO:0045892; GO:0045893; GO:0045944; GO:0046889; GO:0046982; GO:0051726; GO:0055089; GO:0070328; GO:0090324; GO:0097009
evm.TU.HiC_scaffold_26.60,GO:0003964
evm.TU.HiC_scaffold_49.260,GO:0001764; GO:0005829; GO:0005887; GO:0005911; GO:0008046; GO:0033563; GO:0035385; GO:0050839; GO:0097374; GO:0098609; GO:1905489
evm.TU.HiC_scaffold_81.81,GO:0003964
evm.TU.HiC_scaffold_11.19,GO:0000978; GO:0001228; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0006915; GO:0016607; GO:0018024; GO:0030154; GO:0042803; GO:0043069; GO:0045892; GO:0045893; GO:0046329; GO:0046872; GO:0046974; GO:0051726; GO:0070828; GO:0071425
evm.TU.HiC_scaffold_94.38,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_4.218,GO:0003964
evm.TU.HiC_scaffold_67.108,GO:0003964
evm.TU.HiC_scaffold_60.262,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_101.120,GO:0003964
evm.TU.HiC_scaffold_95.89,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_47.184,GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_77.85,GO:0001650; GO:0001894; GO:0003989; GO:0005524; GO:0005739; GO:0005829; GO:0006084; GO:0006629; GO:0006633; GO:0009374; GO:0014070; GO:0015629; GO:0019538; GO:0019900; GO:0042802; GO:0046872; GO:0051289; GO:0055088; GO:0071380; GO:2001295
evm.TU.HiC_scaffold_86.159,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_18.33,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_17.226,GO:0000502; GO:0001541; GO:0003713; GO:0004842; GO:0005634; GO:0005829; GO:0006508; GO:0006511; GO:0007420; GO:0014068; GO:0030521; GO:0031398; GO:0032570; GO:0035037; GO:0035641; GO:0042220; GO:0042542; GO:0042752; GO:0045944; GO:0046872; GO:0048511; GO:0050847; GO:0051865; GO:0060736; GO:0061002; GO:0061630; GO:0061743; GO:0070936; GO:1905528; GO:1990416; GO:2000058
evm.TU.HiC_scaffold_57.36,GO:0000785; GO:0003677; GO:0003899; GO:0005634; GO:0005665; GO:0005829; GO:0006366; GO:0046872
evm.TU.HiC_scaffold_60.16,GO:0003964; GO:0006313
evm.TU.HiC_scaffold_22.103,GO:0003964; GO:0006313
