"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","start","end","saccver","spid","gene_uni","evalue","protein_names","gene_ontology_biological_process","gene_ontology_i_ds"
"g160654",705.375163489024,2.57453714611005,0.51937736006204,4.95696837036277,7.16016275329598e-07,0.00486747863969061,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g34688",825.799449428408,1.89431501632531,0.385530548803318,4.91352766260738,8.94521048531734e-07,0.00514542268977739,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g152891",4654.31115083821,2.5616410236247,0.519874149234059,4.92742527667286,8.33202718339434e-07,0.00514542268977739,885,1732,"sp|Q61696|HS71A_MOUSE","Q61696","HS71A",2.62e-82,"Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 3) (HSP70.3) (Hsp68)","ATP metabolic process [GO:0046034]; cellular heat acclimation [GO:0070370]; cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; DNA repair [GO:0006281]; lysosomal transport [GO:0007041]; mRNA catabolic process [GO:0006402]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell death [GO:0060548]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of inclusion body assembly [GO:0090084]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription from RNA polymerase II promoter in response to stress [GO:0097201]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of microtubule nucleation [GO:0090063]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070434]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; protein folding [GO:0006457]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; regulation of mitotic spindle assembly [GO:1901673]; regulation of protein ubiquitination [GO:0031396]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; telomere maintenance [GO:0000723]; vesicle-mediated transport [GO:0016192]","GO:0000723; GO:0001664; GO:0003714; GO:0005102; GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005739; GO:0005813; GO:0005814; GO:0005829; GO:0005886; GO:0006281; GO:0006402; GO:0006457; GO:0006986; GO:0007041; GO:0008285; GO:0009408; GO:0010628; GO:0016192; GO:0016234; GO:0016235; GO:0016607; GO:0016887; GO:0019899; GO:0030308; GO:0031072; GO:0031249; GO:0031396; GO:0031397; GO:0031625; GO:0032436; GO:0032757; GO:0032991; GO:0034605; GO:0034620; GO:0042026; GO:0042826; GO:0043066; GO:0044183; GO:0045121; GO:0045648; GO:0045666; GO:0046034; GO:0047485; GO:0048471; GO:0050821; GO:0051082; GO:0051085; GO:0051092; GO:0051787; GO:0055131; GO:0060548; GO:0070370; GO:0070434; GO:0090063; GO:0090084; GO:0097201; GO:0097718; GO:0140545; GO:1901673; GO:1903265; GO:1990904; GO:2001240"
"g3416",20.500671349698,-4.08442635283305,0.835449628922752,-4.88889600453783,1.01403043563522e-06,0.00518931250027927,29625,56151,"sp|Q10126|YSM6_CAEEL","Q10126","YSM6",5.19e-13,"Putative uncharacterized transposon-derived protein F52C9.6",NA,NA
"g99107",14.8694262939011,-1.21612057328336,0.24901439116564,-4.88373610694018,1.04094369338828e-06,0.00518931250027927,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g8303",14.287700183396,1.54931853830094,0.321280236334382,4.82232756044303,1.41892680824323e-06,0.00663153180417578,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g158393",24.7823788572752,-2.18784997330678,0.45665368650259,-4.79104852971414,1.6591198740839e-06,0.00729798034966153,0,1311,"sp|P21328|RTJK_DROME","P21328","RTJK",5.3e-29,"RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",NA,"GO:0003964"
"g135086",44.0056279228707,-4.86341038419621,1.02185871769296,-4.75937651652695,1.94191886711005e-06,0.00806737828026419,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g160612",810.109629628684,1.7261606451596,0.36415632346317,4.74016386353973,2.13545445703783e-06,0.00840447438886185,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g61291",3593.89523407619,2.01664088282885,0.4317307411831,4.67106159107993,2.99647067218582e-06,0.0112035041962356,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g12520",17.0571657280471,1.22397597702813,0.268310204549595,4.56179435695631,5.07183091724251e-06,0.0170660339698867,302,3094,"sp|P15594|RTP2_TRYBG","P15594","RTP2",7.93e-15,"Retrotransposable element SLACS 132 kDa protein (ORF2) [Includes: Reverse transcriptase (EC 2.7.7.49)]",NA,"GO:0003964"
"g120975",168.089281238772,1.19100327686979,0.26201110801491,4.54562131313156,5.47734380803554e-06,0.0170660339698867,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g135575",6293.87457049978,2.6600654028965,0.584573994120189,4.55043404197277,5.35353672467547e-06,0.0170660339698867,1912,3185,"sp|Q91233|HSP70_ONCTS","Q91233","HSP70",1.78e-98,"Heat shock 70 kDa protein (HSP70)",NA,"GO:0005524; GO:0005634; GO:0005737; GO:0016887"
"g160668",820.860960906928,1.84361299139554,0.404674230100909,4.55579538864093,5.21877190019912e-06,0.0170660339698867,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g2954",115.467092294813,0.639482465331953,0.141019087737927,4.5347227498761,5.76792011078508e-06,0.0172525412017715,3695,16900,"sp|Q640T2|WIPI3_XENTR","Q640T2","WIPI3",8.23e-24,"WD repeat domain phosphoinositide-interacting protein 3 (WIPI-3) (WD repeat-containing protein 45-like) (WDR45-like protein) (WD repeat-containing protein 45B)","autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; autophagy of nucleus [GO:0044804]; cellular response to starvation [GO:0009267]; protein lipidation [GO:0006497]; protein localization to phagophore assembly site [GO:0034497]","GO:0000045; GO:0000407; GO:0000422; GO:0005764; GO:0005829; GO:0006497; GO:0009267; GO:0019898; GO:0032266; GO:0034045; GO:0034497; GO:0044804; GO:0080025"
"g104426",10.1973445441621,1.01036063230248,0.224268556013153,4.50513727944645,6.63300479348278e-06,0.0190770320171944,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g3440",28.9845610667892,2.1560785547261,0.480220836876793,4.48976468565705,7.1301897711826e-06,0.0197474566929442,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g154151",65.0042922279241,1.76432473111658,0.394421215526652,4.47319936571048,7.70578700400884e-06,0.0205794050209205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g27858",65.1089030051201,-4.23837675165066,0.95068348939424,-4.45824167447284,8.26347046874242e-06,0.0208538654477446,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g115372",43.637994483242,-1.51322416838578,0.339623808256755,-4.45558918897048,8.36631045805369e-06,0.0208538654477446,1916,4925,"sp|Q7M3K2|PELET_DROME","Q7M3K2","PELET",9.73e-47,"Transposable element P transposase (P-element transposase) (EC 2.7.7.-) (THAP domain-containing protein) (DmTHAP)","DNA integration [GO:0015074]; transposition, DNA-mediated [GO:0006313]","GO:0003693; GO:0004803; GO:0006313; GO:0015074; GO:0016740; GO:0046872"
"g126807",318.018666111331,1.60343359245768,0.360776510934885,4.44439575154902,8.81392323928078e-06,0.0212608887737722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g80593",12.8240812882187,-1.55870246370781,0.353413972525991,-4.41041550385555,1.03172459134014e-05,0.0241094692160103,0,8231,"sp|O00370|LORF2_HUMAN","O00370","LORF2",5.5e-24,"LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]","DNA recombination [GO:0006310]; nucleic acid phosphodiester bond hydrolysis [GO:0090305]; reverse transcription involved in RNA-mediated transposition [GO:0032199]; transposition, RNA-mediated [GO:0032197]","GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305"
"g42132",210.222537322446,-0.395308197533916,0.0899228852881422,-4.39607999973778,1.10223324483647e-05,0.0249766053279944,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g23785",25.9091802588531,1.43552926980232,0.328967817330728,4.3637377098171,1.27858865510572e-05,0.0273172292718558,9025,26986,"sp|P27502|POL_RTBVP","P27502","POL",8.61e-11,"Polyprotein P3 (P194 protein) [Cleaved into: Putative movement protein (MP); Capsid protein (Coat protein) (CP); Protease (PR) (EC 3.4.23.-); Reverse transcriptase/Ribonuclease H (RT) (EC 2.7.7.49) (EC 3.1.26.4) (p55)]","transport of virus in host, cell to cell [GO:0046740]; viral entry into host cell [GO:0046718]; viral penetration into host nucleus [GO:0075732]","GO:0003676; GO:0003964; GO:0004190; GO:0004523; GO:0019028; GO:0042025; GO:0046718; GO:0046740; GO:0046872; GO:0075732"
"g137583",15.8877363898803,-4.16687804807446,0.954620168543807,-4.36495915902414,1.27146511623662e-05,0.0273172292718558,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g67115",41.415224096316,-1.84961455226182,0.426515753092121,-4.33656796695697,1.44724689775465e-05,0.0300617301445269,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g81274",73.1747226782151,1.40240750849073,0.326592739952579,4.29405598144759,1.75438206930946e-05,0.0354565357780602,7540,8791,"sp|Q9VM90|SBKH_DROME","Q9VM90","SBKH",1e-71,"Serine/threonine-protein kinase meng-po (meng-po) (EC 2.7.11.1) (SH3-binding kinase homolog)","long-term memory [GO:0007616]; medium-term memory [GO:0072375]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of gene expression [GO:0010628]; short-term memory [GO:0007614]","GO:0004674; GO:0004712; GO:0005524; GO:0007614; GO:0007616; GO:0010628; GO:0018105; GO:0018107; GO:0046872; GO:0072375; GO:0106310"
"g69922",94.9976270723595,-0.965835313416158,0.225537903977219,-4.28236361331848,1.84918476652389e-05,0.0363890364397693,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g119131",21.7084739187817,0.638146511686841,0.149722174591866,4.26220440242998,2.02420160751637e-05,0.0388117302068869,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g126551",20.9241054957119,0.939409280164334,0.221789295436425,4.23559341904133,2.27948908600246e-05,0.042613908718273,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g65225",29.9356490397484,1.49373884999785,0.353548208463907,4.22499340751246,2.38947772920807e-05,0.0429234377871837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g84392",14.75955641194,-3.14971522621159,0.746924186227839,-4.2169142254162,2.47668126943824e-05,0.0429234377871837,1842,7614,"sp|P21328|RTJK_DROME","P21328","RTJK",3.13e-34,"RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",NA,"GO:0003964"
"g121014",49.9471419587114,-1.79313813472526,0.425671259828966,-4.21249519040994,2.52565094364129e-05,0.0429234377871837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g121373",87.894739724064,-0.720502794872563,0.170848949793159,-4.21719182789738,2.47363535568593e-05,0.0429234377871837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g79481",927.73725695366,-1.07075418952214,0.255106020397875,-4.19729094535731,2.70126813745533e-05,0.0448878730628077,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g1671",25.1575703527978,0.757458492361885,0.181898219406842,4.16418860411007,3.12461751839576e-05,0.0497133295299145,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g21927",28.7002618519928,-2.9733229834805,0.713365452565765,-4.16802211655518,3.07254128553994e-05,0.0497133295299145,NA,NA,NA,NA,NA,NA,NA,NA,NA
