"Treatment","gene","mean","sd","cv","DEG","change_in_treatment","spid","protein_names","evalue"
"Low","g104642",7.84372305714544,0.217885905874985,0.0277783782379333,"DEG","Up-regulated",NA,NA,NA
"Low","g10479",8.67656454962662,0.170026131992199,0.0195960199477241,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",2.05e-17
"Low","g10509",9.87988361696375,0.209627761993555,0.0212176347536751,"DEG","Up-regulated",NA,NA,NA
"Low","g105381",11.6932328428883,0.271798069111557,0.0232440483109734,"DEG","Up-regulated",NA,NA,NA
"Low","g10600",12.4439121980355,0.350804531422769,0.0281908555637469,"DEG","Up-regulated","P29416","Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha)",1.08e-16
"Low","g106326",11.6372508119964,0.329576398043484,0.0283208124812207,"DEG","Up-regulated",NA,NA,NA
"Low","g10635",11.7894719780043,0.249523269859316,0.0211649232743294,"DEG","Up-regulated","P31792","Pol polyprotein [Cleaved into: Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)] (Fragment)",4.36e-11
"Low","g106402",6.99446480880286,0.120936769644649,0.0172903535796541,"DEG","Up-regulated","Q10126","Putative uncharacterized transposon-derived protein F52C9.6",5.2e-18
"Low","g106622",9.26756678834699,0.134178052695629,0.0144782396242716,"DEG","Up-regulated",NA,NA,NA
"Low","g10664",7.70619431014353,0.229889701544229,0.0298318070232967,"DEG","Up-regulated",NA,NA,NA
"Low","g106810",7.97679515034272,0.168053390244223,0.0210677831230256,"DEG","Up-regulated",NA,NA,NA
"Low","g106831",6.39859098363267,0.0950464620402197,0.0148542799943526,"DEG","Up-regulated",NA,NA,NA
"Low","g106940",10.839349663352,0.298018898147536,0.0274941677686753,"DEG","Up-regulated",NA,NA,NA
"Low","g107191",7.38534587402507,0.20003236374465,0.0270850366599867,"DEG","Up-regulated",NA,NA,NA
"Low","g10726",8.66568659166805,0.217741087879426,0.0251268131585536,"DEG","Up-regulated",NA,NA,NA
"Low","g10730",8.83839844914729,0.168257610298912,0.019037115294926,"DEG","Up-regulated",NA,NA,NA
"Low","g10748",10.3026027059216,0.205792502623062,0.0199748071916604,"DEG","Up-regulated",NA,NA,NA
"Low","g10762",11.8520557609571,0.343830709624844,0.0290102170087224,"DEG","Up-regulated",NA,NA,NA
"Low","g107783",9.77257113476912,0.181369172381403,0.0185590025265841,"DEG","Up-regulated",NA,NA,NA
"Low","g10783",8.05803998155576,0.159393536646207,0.0197806832692623,"DEG","Up-regulated",NA,NA,NA
"Low","g10784",9.86695914961479,0.199062841506421,0.0201746899412462,"DEG","Up-regulated",NA,NA,NA
"Low","g10785",9.65912109575628,0.215125194081253,0.0222717151952643,"DEG","Up-regulated","Q10126","Putative uncharacterized transposon-derived protein F52C9.6",1.96e-18
"Low","g10834",8.13047859671055,0.235131255259843,0.0289197311650231,"DEG","Up-regulated",NA,NA,NA
"Low","g10835",10.0378439866666,0.231789076513938,0.0230915201333897,"DEG","Up-regulated",NA,NA,NA
"Low","g10850",12.8895126704556,0.19909073637674,0.0154459475285735,"DEG","Up-regulated","Q95SX7","Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)",3.73e-19
"Low","g108678",7.95640409872947,0.13556139743779,0.0170380231767562,"DEG","Up-regulated","Q8IRW8","Histone-lysine N-methyltransferase trr (EC 2.1.1.354) (Lysine N-methyltransferase 2C) (Trithorax-related protein)",3.89e-26
"Low","g10889",8.65448640600897,0.202220789935796,0.0233660069990277,"DEG","Up-regulated",NA,NA,NA
"Low","g10890",9.65047060587404,0.186824042456704,0.0193590603076899,"DEG","Up-regulated",NA,NA,NA
"Low","g10917",9.91300835736005,0.258317942476462,0.0260584812565673,"DEG","Up-regulated",NA,NA,NA
"Low","g1094",12.8115922999248,0.282114833793204,0.0220202787591718,"DEG","Up-regulated","P85831","Prohormone-4 [Cleaved into: Brain peptide IDLSRFYGHFNT; Brain peptide IDLSRFYGHFN; Brain peptide IDLSRFYGHF; Brain peptide DLSRFYGHFNT; Brain peptide DLSRFYGHFN; Brain peptide DLSRFYGHF]",2.37e-28
"Low","g109479",10.4242063331095,0.216146472486444,0.0207350531617853,"DEG","Up-regulated",NA,NA,NA
"Low","g10953",10.9027460290583,0.153645437768714,0.0140923614435495,"DEG","Up-regulated","O00370","LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]",1.35e-18
"Low","g10954",8.9001149490867,0.217310321664798,0.0244165747193072,"DEG","Up-regulated",NA,NA,NA
"Low","g110191",7.91871176461599,0.151908200293619,0.0191834486225912,"DEG","Up-regulated",NA,NA,NA
"Low","g110298",10.5245927018935,0.185116561409775,0.0175889525279652,"DEG","Up-regulated",NA,NA,NA
"Low","g11031",10.8471334475672,0.143906709093196,0.013266796226746,"DEG","Up-regulated",NA,NA,NA
"Low","g11032",12.5424138398374,0.150356153385769,0.0119878163251324,"DEG","Up-regulated",NA,NA,NA
"Low","g11033",10.6919450594452,0.165650952822382,0.0154930606079057,"DEG","Up-regulated","Q10126","Putative uncharacterized transposon-derived protein F52C9.6",2.16e-14
"Low","g1107",8.79780094092299,0.209025239567766,0.0237588052936598,"DEG","Up-regulated","Q9HCG1","Zinc finger protein 160 (Zinc finger protein HZF5) (Zinc finger protein Kr18) (HKr18)",2.65e-114
"Low","g11080",10.2827793879412,0.250388708840431,0.0243502947397731,"DEG","Up-regulated",NA,NA,NA
"Low","g111066",10.5370411971411,0.171712907442748,0.0162961218647733,"DEG","Up-regulated",NA,NA,NA
"Low","g111171",7.64823731214249,0.165521835840202,0.0216418279251634,"DEG","Up-regulated",NA,NA,NA
"Low","g111415",12.3616351592197,0.188724202065787,0.0152669286574948,"DEG","Up-regulated",NA,NA,NA
"Low","g11160",8.87002989606256,0.145015933073864,0.0163489790646858,"DEG","Up-regulated",NA,NA,NA
"Low","g111841",10.517838408752,0.311931136999493,0.0296573425904634,"DEG","Up-regulated","Q7T2G1","Interferon regulatory factor 2-binding protein 2-B (IRF-2-binding protein 2-B) (IRF-2BP2-B)",1.1e-13
"Low","g111972",7.94688623803364,0.158340990018926,0.0199249096156818,"DEG","Up-regulated",NA,NA,NA
"Low","g11262",11.6312774351497,0.198856741995911,0.0170967241650488,"DEG","Up-regulated",NA,NA,NA
"Low","g11263",10.557144286659,0.198315154812518,0.0187849241639264,"DEG","Up-regulated",NA,NA,NA
"Low","g11264",11.2033662942028,0.212633251306777,0.018979407235556,"DEG","Up-regulated",NA,NA,NA
"Low","g113078",12.7595989387055,0.221884730406044,0.0173896320309073,"DEG","Up-regulated",NA,NA,NA
"Low","g11350",6.36748607877541,0.187280342680546,0.0294119752071077,"DEG","Up-regulated","Q7Z7L9","Zinc finger and SCAN domain-containing protein 2 (Zinc finger protein 29 homolog) (Zfp-29) (Zinc finger protein 854)",6.95e-63
"Low","g113601",8.22816512800026,0.212394261250518,0.0258130771498186,"DEG","Up-regulated",NA,NA,NA
"Low","g114002",6.53326460680523,0.17712075604333,0.0271106049889417,"DEG","Up-regulated","Q95SX7","Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)",5.39e-25
"Low","g11429",10.2482358950905,0.191250360997247,0.0186617836430625,"DEG","Up-regulated",NA,NA,NA
"Low","g11452",10.6094377847957,0.2325652977466,0.0219206052633522,"DEG","Up-regulated",NA,NA,NA
"Low","g11453",11.2307956084974,0.221162837437237,0.0196925351637512,"DEG","Up-regulated",NA,NA,NA
"Low","g11454",11.9304585145161,0.225152598334079,0.0188720825825872,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",5.21e-13
"Low","g114662",9.83476635571381,0.200455009709489,0.0203822848921091,"DEG","Up-regulated",NA,NA,NA
"Low","g11478",9.92462026282583,0.221710750253733,0.0223394693582569,"DEG","Up-regulated","Q10126","Putative uncharacterized transposon-derived protein F52C9.6",3.36e-18
"Low","g115854",6.93094194442606,0.185368287721849,0.026745035409065,"DEG","Up-regulated","Q10126","Putative uncharacterized transposon-derived protein F52C9.6",4.73e-19
"Low","g116147",11.2634913949212,0.306360836005519,0.0271994557694305,"DEG","Up-regulated",NA,NA,NA
"Low","g116549",8.2969960632837,0.176600973416165,0.0212849291561881,"DEG","Up-regulated",NA,NA,NA
"Low","g116968",8.65948072415062,0.215888826937771,0.0249309206654475,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",8.59e-41
"Low","g11744",10.5720110383135,0.178751206740629,0.016907966336095,"DEG","Up-regulated",NA,NA,NA
"Low","g118",8.45248456002918,0.186319769256096,0.0220431954572483,"DEG","Up-regulated","A0AVK6","Transcription factor E2F8 (E2F-8)",5.41e-11
"Low","g11823",10.4957166865542,0.197337676767706,0.0188017343323024,"DEG","Up-regulated",NA,NA,NA
"Low","g118514",9.3335883431241,0.155889965040451,0.0167020399132229,"DEG","Up-regulated",NA,NA,NA
"Low","g118622",12.0619959345195,0.355359427550072,0.0294610800301376,"DEG","Up-regulated",NA,NA,NA
"Low","g11873",11.0653075480454,0.0988785511235757,0.00893590627230618,"DEG","Up-regulated",NA,NA,NA
"Low","g120191",8.77623192208916,0.258602909557936,0.029466280273092,"DEG","Up-regulated",NA,NA,NA
"Low","g12087",7.29474313711134,0.154125019111358,0.0211282311404855,"DEG","Up-regulated",NA,NA,NA
"Low","g120962",8.4092838357373,0.230356298556289,0.0273930935209171,"DEG","Up-regulated",NA,NA,NA
"Low","g12125",11.2473027125851,0.335958719686193,0.0298701589413321,"DEG","Up-regulated",NA,NA,NA
"Low","g12126",10.5395293024799,0.276491665389146,0.0262337773779034,"DEG","Up-regulated","Q96DM1","PiggyBac transposable element-derived protein 4",6.48e-34
"Low","g121357",8.58311251653629,0.250321093593008,0.0291643728438533,"DEG","Up-regulated",NA,NA,NA
"Low","g121462",8.41551825822995,0.193036079874162,0.0229381095674509,"DEG","Up-regulated",NA,NA,NA
"Low","g12151",11.8987835179116,0.336995332973049,0.0283218307540228,"DEG","Up-regulated",NA,NA,NA
"Low","g12191",8.07130046201555,0.135456845967127,0.0167825304738192,"DEG","Up-regulated",NA,NA,NA
"Low","g122164",11.156832515835,0.231518818283233,0.0207513035581234,"DEG","Up-regulated",NA,NA,NA
"Low","g123285",16.6215397645489,0.337163309397192,0.0202847217630407,"DEG","Up-regulated","P49096","Cytochrome b5 (CYTB5)",2.93e-11
"Low","g123680",9.68587595901578,0.161361959734763,0.0166595112736876,"DEG","Up-regulated",NA,NA,NA
"Low","g123694",9.42084929616868,0.226915445489542,0.0240865168686888,"DEG","Up-regulated",NA,NA,NA
"Low","g12420",9.11960904540735,0.136318240780452,0.0149478163045928,"DEG","Up-regulated",NA,NA,NA
"Low","g124224",8.10662831255313,0.23708119280695,0.0292453512935617,"DEG","Up-regulated",NA,NA,NA
"Low","g12473",9.75955713163711,0.202682035452798,0.0207675443382336,"DEG","Up-regulated",NA,NA,NA
"Low","g12490",9.60172876298864,0.244889350437232,0.0255047144615453,"DEG","Up-regulated",NA,NA,NA
"Low","g12491",9.02629276232377,0.263158529607596,0.0291546636628089,"DEG","Up-regulated",NA,NA,NA
"Low","g12497",10.2762955201847,0.160019361093785,0.0155716970944905,"DEG","Up-regulated",NA,NA,NA
"Low","g125456",9.62754416502738,0.104753629587285,0.0108806179220459,"DEG","Up-regulated",NA,NA,NA
"Low","g12599",10.6326600858467,0.220564163966015,0.0207440247487656,"DEG","Up-regulated","A2ARV4","Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)",1.47e-14
"Low","g12606",8.858328422253,0.192967028137442,0.0217836841150176,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",2.98e-39
"Low","g126266",8.03399758250722,0.163936440468475,0.0204053385360012,"DEG","Up-regulated","P08548","LINE-1 reverse transcriptase homolog (EC 2.7.7.49)",3.93e-25
"Low","g12641",9.49473980563492,0.26537955720099,0.0279501663693294,"DEG","Up-regulated",NA,NA,NA
"Low","g12648",9.70019384703209,0.248961400170878,0.0256656108214839,"DEG","Up-regulated",NA,NA,NA
"Low","g126925",9.12929460989764,0.247508189870343,0.0271114254108969,"DEG","Up-regulated",NA,NA,NA
"Low","g127362",9.51269062298991,0.224063334452374,0.0235541492236557,"DEG","Up-regulated","Q588U8","Craniofacial development protein 2 (p97 bucentaur protein)",3.93e-13
"Low","g12755",10.827339956062,0.186720966740085,0.0172453222580809,"DEG","Up-regulated",NA,NA,NA
"Low","g12756",8.78092524035028,0.214485980399011,0.0244263530924282,"DEG","Up-regulated",NA,NA,NA
"Low","g127908",7.78421442345534,0.169327843416628,0.0217527208534249,"DEG","Up-regulated",NA,NA,NA
"Low","g127910",8.24048728913074,0.199227767029733,0.0241766973286295,"DEG","Up-regulated",NA,NA,NA
"Low","g12834",11.2019064955849,0.127267637075607,0.011361247938087,"DEG","Up-regulated","Q6NT04","Tigger transposable element-derived protein 7",2.71e-20
"Low","g128641",9.00710760711268,0.211319330191804,0.0234613973108227,"DEG","Up-regulated",NA,NA,NA
"Low","g12887",12.1036070137057,0.196888232690407,0.0162669055982616,"DEG","Up-regulated",NA,NA,NA
"Low","g12888",9.70576650638857,0.206382728438766,0.0212639288512577,"DEG","Up-regulated",NA,NA,NA
"Low","g12908",8.29534176692493,0.219554876788449,0.0264672490847641,"DEG","Up-regulated",NA,NA,NA
"Low","g12909",8.53909840869757,0.159458257851568,0.0186738986037625,"DEG","Up-regulated",NA,NA,NA
"Low","g1298",10.6485760163439,0.245524633933649,0.0230570391343225,"DEG","Up-regulated",NA,NA,NA
"Low","g1299",10.980182306806,0.263087165342388,0.0239601818978282,"DEG","Up-regulated",NA,NA,NA
"Low","g13017",9.29444769344238,0.16484580066321,0.0177359436623131,"DEG","Up-regulated",NA,NA,NA
"Low","g13041",12.2904519838401,0.14619903422572,0.0118953342332688,"DEG","Up-regulated","Q10126","Putative uncharacterized transposon-derived protein F52C9.6",9.95e-18
"Low","g13055",8.04073679478135,0.20035416142267,0.024917388360816,"DEG","Up-regulated",NA,NA,NA
"Low","g131016",7.11705858741537,0.157836242029958,0.022177173349261,"DEG","Up-regulated",NA,NA,NA
"Low","g13136",11.4115360129287,0.308299998613795,0.0270165206738609,"DEG","Up-regulated",NA,NA,NA
"Low","g131751",8.75495835702969,0.239577201484558,0.0273647448353872,"DEG","Up-regulated",NA,NA,NA
"Low","g131829",7.39431219289112,0.124972035035887,0.0169011034124357,"DEG","Up-regulated",NA,NA,NA
"Low","g13191",8.3068617235993,0.0820529169229506,0.00987772755261391,"DEG","Up-regulated",NA,NA,NA
"Low","g13239",9.11424767525327,0.181888651273376,0.019956518382448,"DEG","Up-regulated",NA,NA,NA
"Low","g13240",8.52290186898707,0.176546889787827,0.0207144107138252,"DEG","Up-regulated",NA,NA,NA
"Low","g13286",7.08399151977291,0.127302605727793,0.0179704627500562,"DEG","Up-regulated","P11369","LINE-1 retrotransposable element ORF2 protein (ORF2p) (Long interspersed element-1) (L1) (Retrovirus-related Pol polyprotein LINE-1) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]",3.73e-22
"Low","g132869",9.94792071178185,0.181008181195038,0.0181955794019006,"DEG","Up-regulated",NA,NA,NA
"Low","g13287",9.91580011353148,0.136710750551825,0.0137871628095109,"DEG","Up-regulated",NA,NA,NA
"Low","g133260",8.63513682309431,0.202216528187888,0.0234178719261365,"DEG","Up-regulated",NA,NA,NA
"Low","g133261",8.59411666135651,0.203588011117612,0.0236892305678193,"DEG","Up-regulated",NA,NA,NA
"Low","g133386",7.47069061488468,0.169502507781456,0.0226890011271164,"DEG","Up-regulated",NA,NA,NA
"Low","g133506",8.67652914168251,0.186474876492458,0.0214918746249145,"DEG","Up-regulated",NA,NA,NA
"Low","g133510",9.46694691995476,0.247511647256933,0.0261448225441319,"DEG","Up-regulated",NA,NA,NA
"Low","g13406",11.8575607865022,0.106588119421385,0.00898904263199875,"DEG","Up-regulated",NA,NA,NA
"Low","g13436",8.76508267126641,0.105275539864648,0.0120107868702438,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",3.09e-24
"Low","g13489",9.45209819888865,0.108570448145177,0.0114863859706771,"DEG","Up-regulated",NA,NA,NA
"Low","g13496",9.94425203278392,0.181050789164718,0.0182065768815829,"DEG","Up-regulated","Q6ZMW2","Zinc finger protein 782",2.16e-65
"Low","g134994",7.0224350590743,0.17766068816878,0.025299014754036,"DEG","Up-regulated",NA,NA,NA
"Low","g135242",9.85053590443897,0.215485501181408,0.0218755104566751,"DEG","Up-regulated",NA,NA,NA
"Low","g136629",9.14737303295847,0.273500577091322,0.0298993575648315,"DEG","Up-regulated",NA,NA,NA
"Low","g136900",9.51467849414877,0.20431701605604,0.0214738749377279,"DEG","Up-regulated",NA,NA,NA
"Low","g136919",10.3742282468107,0.243059984122138,0.0234292111508981,"DEG","Up-regulated",NA,NA,NA
"Low","g13722",11.481233881182,0.1735715713411,0.0151178499747825,"DEG","Up-regulated",NA,NA,NA
"Low","g13723",10.6113508569411,0.188848597935128,0.0177968479679096,"DEG","Up-regulated",NA,NA,NA
"Low","g13761",10.9988341925088,0.161168728999205,0.014653255624944,"DEG","Up-regulated",NA,NA,NA
"Low","g137737",8.01497146134964,0.200959286069295,0.0250729883491632,"DEG","Up-regulated",NA,NA,NA
"Low","g138702",8.90304813621812,0.112465670055418,0.0126322657515353,"DEG","Up-regulated",NA,NA,NA
"Low","g138924",9.66817449077966,0.194492324543907,0.0201167577942858,"DEG","Up-regulated",NA,NA,NA
"Low","g138967",8.83218962293633,0.218041908276779,0.0246871860303527,"DEG","Up-regulated",NA,NA,NA
"Low","g139427",7.68387238330992,0.14930840757582,0.0194314012684714,"DEG","Up-regulated",NA,NA,NA
"Low","g13956",11.7833954704735,0.178002296188681,0.0151061972446494,"DEG","Up-regulated",NA,NA,NA
"Low","g13966",8.55447091612263,0.146424633874111,0.0171167375878436,"DEG","Up-regulated",NA,NA,NA
"Low","g139680",8.00705812501569,0.22503153408057,0.0281041464376941,"DEG","Up-regulated",NA,NA,NA
"Low","g13981",9.8867098568546,0.1719599687567,0.0173930429077452,"DEG","Up-regulated",NA,NA,NA
"Low","g14022",11.2662344770607,0.267257083378707,0.023721952878122,"DEG","Up-regulated",NA,NA,NA
"Low","g140285",8.35231327703723,0.229529047560606,0.0274808954055452,"DEG","Up-regulated",NA,NA,NA
"Low","g140440",12.313591731169,0.176908268506267,0.0143669103514666,"DEG","Up-regulated",NA,NA,NA
"Low","g14069",10.7268740235458,0.203330697785716,0.0189552610890554,"DEG","Up-regulated",NA,NA,NA
"Low","g140799",9.52101211047298,0.23426418981223,0.0246049671079131,"DEG","Up-regulated",NA,NA,NA
"Low","g141085",9.11698591516594,0.116341749626632,0.0127609881938173,"DEG","Up-regulated",NA,NA,NA
"Low","g141468",11.1400649479267,0.264314947141451,0.0237265176080184,"DEG","Up-regulated",NA,NA,NA
"Low","g141588",10.8769071132025,0.220647695113728,0.0202858857593721,"DEG","Up-regulated",NA,NA,NA
"Low","g141606",7.90048564490489,0.165747863508182,0.0209794525245514,"DEG","Up-regulated","P51522","Zinc finger protein 83 (Zinc finger protein 816B) (Zinc finger protein HPF1)",2.16e-37
"Low","g14227",8.89712284661868,0.122922810938558,0.0138160181732541,"DEG","Up-regulated","P31368","Protein nubbin (POU domain protein 1) (PDM-1) (Protein twain) (dOCT1) (dPOU-19)",2.09e-67
"Low","g14242",8.6742675819086,0.174237766020026,0.0200867409697418,"DEG","Up-regulated",NA,NA,NA
"Low","g14243",10.3049464450058,0.171661490440375,0.0166581642472844,"DEG","Up-regulated",NA,NA,NA
"Low","g14272",12.0216373420964,0.214008095906785,0.0178019091590285,"DEG","Up-regulated",NA,NA,NA
"Low","g14335",9.00717644688475,0.165573495137278,0.0183823972044584,"DEG","Up-regulated",NA,NA,NA
"Low","g14343",11.080605830572,0.209275634656893,0.0188866599766135,"DEG","Up-regulated",NA,NA,NA
"Low","g143684",6.56780970993384,0.125674124976361,0.0191348608633223,"DEG","Up-regulated",NA,NA,NA
"Low","g143853",8.5612685811379,0.189865703796612,0.0221772862277586,"DEG","Up-regulated",NA,NA,NA
"Low","g14402",7.7326553131815,0.172810494720099,0.0223481440360488,"DEG","Up-regulated","Q8NI51","Transcriptional repressor CTCFL (Brother of the regulator of imprinted sites) (CCCTC-binding factor) (CTCF paralog) (CTCF-like protein) (Cancer/testis antigen 27) (CT27) (Zinc finger protein CTCF-T)",1.46e-16
"Low","g14403",9.52576021327539,0.180977586629025,0.0189987552255209,"DEG","Up-regulated","Q8NI51","Transcriptional repressor CTCFL (Brother of the regulator of imprinted sites) (CCCTC-binding factor) (CTCF paralog) (CTCF-like protein) (Cancer/testis antigen 27) (CT27) (Zinc finger protein CTCF-T)",1.96e-16
"Low","g14456",9.84284237030115,0.163076338636019,0.0165680128260583,"DEG","Up-regulated",NA,NA,NA
"Low","g14457",8.23320125834827,0.143661822589898,0.0174490842725639,"DEG","Up-regulated",NA,NA,NA
"Low","g144698",8.28648747090339,0.14733723854555,0.0177804213260323,"DEG","Up-regulated",NA,NA,NA
"Low","g144883",8.16210881506411,0.219716715872643,0.0269191113290637,"DEG","Up-regulated",NA,NA,NA
"Low","g145114",9.0058788237765,0.208610222149162,0.0231637829279258,"DEG","Up-regulated","P35500","Sodium channel protein para (Protein paralytic) (Sodium channel 1) (DmNav1)",7.18e-33
"Low","g14553",9.93549361996622,0.109101877646802,0.0109810223648629,"DEG","Up-regulated",NA,NA,NA
"Low","g14626",9.75161822130183,0.119402986824862,0.0122444279621236,"DEG","Up-regulated",NA,NA,NA
"Low","g14720",8.4619334503126,0.109870558277481,0.0129840962378902,"DEG","Up-regulated","P21328","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.09e-13
"Low","g14721",6.93297230491468,0.190438109608977,0.0274684653613831,"DEG","Up-regulated",NA,NA,NA
"Low","g14736",12.1853409163169,0.211139751561178,0.0173273569456272,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.42e-16
"Low","g148109",7.15977404542869,0.182005448514556,0.0254205575985685,"DEG","Up-regulated","P21328","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.67e-17
"Low","g148463",8.13787828798193,0.173875915919722,0.0213662467988128,"DEG","Up-regulated",NA,NA,NA
"Low","g148724",9.79579119109268,0.159009537343094,0.016232434342586,"DEG","Up-regulated",NA,NA,NA
"Low","g14892",9.71746612706441,0.192737339075196,0.0198341148355946,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.68e-19
"Low","g1490",8.06663272538624,0.217558468955972,0.0269701716146442,"DEG","Up-regulated",NA,NA,NA
"Low","g14955",8.71306010761575,0.225461330345329,0.0258762510025911,"DEG","Up-regulated",NA,NA,NA
"Low","g14956",9.34881457779909,0.223724138914731,0.0239307494070976,"DEG","Up-regulated","A8MQ14","Zinc finger protein 850",1.14e-74
"Low","g150471",9.09289465996375,0.186481785576514,0.0205085170949574,"DEG","Up-regulated","Q9QZS6","Heparan sulfate glucosamine 3-O-sulfotransferase 3B1 (EC 2.8.2.30) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 3B1) (3-OST-3B) (Heparan sulfate 3-O-sulfotransferase 3B1) (m3-OST-3B)",1.23e-27
