gene	gene_ontology_i_ds
evm.TU.HiC_scaffold_15.3	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_82.4	GO:0000122; GO:0005634; GO:0007399; GO:0043565; GO:0045892
evm.TU.HiC_scaffold_90.3	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_44.1	GO:0003014; GO:0004197; GO:0005764; GO:0006508; GO:0032801; GO:0051603; GO:1901185
evm.TU.HiC_scaffold_44.2	GO:0004890; GO:0005261; GO:0005886; GO:0005887; GO:0006811; GO:0007165; GO:0007268; GO:0015276; GO:0016021; GO:0016933; GO:0022851; GO:0022852; GO:0030594; GO:0034220; GO:0034707; GO:0042391; GO:0042752; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:0060012; GO:1902476; GO:1904456
evm.TU.HiC_scaffold_20.1	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_92.5	GO:0003964
evm.TU.HiC_scaffold_92.6	GO:0000151; GO:0000209; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0043161; GO:0046872; GO:0061630
evm.TU.HiC_scaffold_92.7	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_10.1	GO:0005516; GO:0005886; GO:0006811; GO:0006813; GO:0009881; GO:0016021; GO:0016057; GO:0016286; GO:0043005; GO:0043025; GO:0071805
evm.TU.HiC_scaffold_10.2	GO:0005516; GO:0005886; GO:0006811; GO:0006813; GO:0009881; GO:0016021; GO:0016057; GO:0016286; GO:0043005; GO:0043025; GO:0071805
evm.TU.HiC_scaffold_10.4	GO:0001732; GO:0003743; GO:0005852; GO:0016282; GO:0033290
evm.TU.HiC_scaffold_55.1	GO:0003743; GO:0003924; GO:0005525; GO:0005737
evm.TU.HiC_scaffold_4.1	GO:0003964
evm.TU.HiC_scaffold_4.2	GO:0003964; GO:0046872
evm.TU.HiC_scaffold_39.1	GO:0003964
evm.TU.HiC_scaffold_66.1	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_104.4	GO:0003964
evm.TU.HiC_scaffold_59.1	GO:0001764; GO:0004672; GO:0004674; GO:0004712; GO:0005524; GO:0006468; GO:0007409; GO:0007420; GO:0009615; GO:0014069; GO:0018105; GO:0021952; GO:0030424; GO:0030426; GO:0030900; GO:0048675; GO:0048812; GO:0048813; GO:0106310; GO:1900181
evm.TU.HiC_scaffold_103.4	GO:0003964
evm.TU.HiC_scaffold_28.8	GO:0001764; GO:0004672; GO:0004692; GO:0005246; GO:0005524; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0006468; GO:0007165; GO:0016358; GO:0019934; GO:0030036; GO:0030553; GO:0030900; GO:0042802; GO:0043087; GO:0060087; GO:0090331; GO:1904706; GO:1904753
evm.TU.HiC_scaffold_60.1	GO:0005524; GO:0005743; GO:0016021; GO:0016887
evm.TU.HiC_scaffold_79.1	GO:0003824
evm.TU.HiC_scaffold_29.6	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_29.9	GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0046872
evm.TU.HiC_scaffold_89.4	GO:0005654; GO:0008296; GO:0046872
evm.TU.HiC_scaffold_6.2	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_100.2	GO:0000423; GO:0005739; GO:0005741; GO:0005743; GO:0016746; GO:0032048
evm.TU.HiC_scaffold_19.1	GO:0004620; GO:0004806; GO:0005509; GO:0005615; GO:0006644; GO:0009395; GO:0016020; GO:0019376; GO:0019433; GO:0031410; GO:0034638; GO:0043005; GO:0047372; GO:0047714; GO:0102549
evm.TU.HiC_scaffold_6.4	GO:0003677; GO:0005634
evm.TU.HiC_scaffold_60.2	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_6.7	GO:0003964; GO:0046872
evm.TU.HiC_scaffold_75.1	GO:0003964
evm.TU.HiC_scaffold_90.5	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_102.2	GO:0005524; GO:0005737; GO:0005739; GO:0005788; GO:0005829; GO:0009986; GO:0016887; GO:0019904; GO:0030335; GO:0031204; GO:0031333; GO:0035437; GO:0042470; GO:0043231; GO:1903895
evm.TU.HiC_scaffold_102.3	GO:0005654; GO:0016604; GO:0031625; GO:0034098; GO:0043130
evm.TU.HiC_scaffold_102.4	GO:0003677; GO:0005634
evm.TU.HiC_scaffold_102.5	GO:0002027; GO:0004672; GO:0004674; GO:0004712; GO:0005524; GO:0005634; GO:0005737; GO:0006357; GO:0006468; GO:0008022; GO:0031013; GO:0046872; GO:0055117; GO:0061629; GO:0086069; GO:0106310; GO:1903779
evm.TU.HiC_scaffold_58.2	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_29.11	GO:0000012; GO:0000077; GO:0000303; GO:0003677; GO:0003682; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0006281; GO:0006283; GO:0006284; GO:0006290; GO:0006362; GO:0006366; GO:0006979; GO:0007254; GO:0008022; GO:0008023; GO:0008094; GO:0008630; GO:0009411; GO:0009636; GO:0010165; GO:0010224; GO:0010332; GO:0016887; GO:0022008; GO:0030182; GO:0030296; GO:0031175; GO:0032784; GO:0032786; GO:0034243; GO:0035264; GO:0042262; GO:0044877; GO:0045494; GO:0045739; GO:0045945; GO:0047485; GO:0060261; GO:0070063; GO:0090734; GO:0097680; GO:0110016; GO:0140658; GO:1905168; GO:2001033
evm.TU.HiC_scaffold_35.1	GO:0003964
evm.TU.HiC_scaffold_38.1	GO:0005886; GO:0006915; GO:0007169; GO:0008284; GO:0010468; GO:0019901; GO:0019904; GO:0030971; GO:0035556; GO:0045211; GO:0048863
evm.TU.HiC_scaffold_38.2	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_38.3	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_38.4	GO:0003964
evm.TU.HiC_scaffold_27.1	GO:0005811; GO:0016021; GO:0016042; GO:0017064; GO:0019369; GO:0102077; GO:0103073
evm.TU.HiC_scaffold_43.1	GO:0005229; GO:0005887; GO:0006816; GO:0006821; GO:0008237; GO:0016324; GO:0046872
evm.TU.HiC_scaffold_92.14	GO:0004725; GO:0005886; GO:0005887; GO:0006470; GO:0008201; GO:0030285; GO:0030424; GO:0030426; GO:0030517; GO:0035335; GO:0042803; GO:0043204; GO:0043395; GO:0048671; GO:0048681; GO:0061000; GO:0099061; GO:0099560
evm.TU.HiC_scaffold_60.4	GO:0005080; GO:0005509; GO:0005615; GO:0005635; GO:0005737; GO:0008201; GO:0010468; GO:0030154; GO:0030501; GO:0033689; GO:0042802; GO:0043065; GO:0045667; GO:0045669; GO:0045778; GO:0048471; GO:1903363
evm.TU.HiC_scaffold_50.6	GO:0002042; GO:0003148; GO:0003180; GO:0003184; GO:0003272; GO:0005737; GO:0005886; GO:0005887; GO:0006919; GO:0007155; GO:0007156; GO:0007399; GO:0008046; GO:0009986; GO:0010628; GO:0010629; GO:0016199; GO:0021836; GO:0030275; GO:0030336; GO:0030424; GO:0033116; GO:0033600; GO:0035025; GO:0035385; GO:0035481; GO:0035904; GO:0042802; GO:0043406; GO:0050772; GO:0050925; GO:0060412; GO:0070100; GO:1900748
evm.TU.HiC_scaffold_16.1	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_73.1	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_104.6	GO:0003964
evm.TU.HiC_scaffold_6949.2	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_28.10	GO:0000454; GO:0000455; GO:0000495; GO:0001650; GO:0003720; GO:0003723; GO:0005634; GO:0005654; GO:0005697; GO:0005730; GO:0007004; GO:0008284; GO:0009982; GO:0015030; GO:0031118; GO:0031120; GO:0031429; GO:0032212; GO:0033979; GO:0034513; GO:0051973; GO:0070034; GO:0090661; GO:0090666; GO:0090669; GO:1904851; GO:1904872; GO:1904874; GO:1990481
evm.TU.HiC_scaffold_28.11	GO:0005765; GO:0005777; GO:0007417; GO:0009791; GO:0021540; GO:0031667; GO:0034198; GO:0042149; GO:0043473; GO:0061462; GO:0061700; GO:0140007; GO:1901668; GO:1904262; GO:1990130
evm.TU.HiC_scaffold_28.12	GO:0003344; GO:0005178; GO:0005886; GO:0005887; GO:0005925; GO:0005927; GO:0006930; GO:0007015; GO:0007157; GO:0007160; GO:0007229; GO:0007298; GO:0007377; GO:0007391; GO:0007411; GO:0007417; GO:0007419; GO:0007431; GO:0007476; GO:0007494; GO:0007508; GO:0007517; GO:0007601; GO:0007608; GO:0007629; GO:0008305; GO:0008340; GO:0008360; GO:0009925; GO:0016203; GO:0016324; GO:0016328; GO:0016339; GO:0016340; GO:0016477; GO:0021551; GO:0030336; GO:0030425; GO:0030718; GO:0031252; GO:0031589; GO:0033627; GO:0034446; GO:0035001; GO:0035099; GO:0035160; GO:0042734; GO:0043034; GO:0045211; GO:0045214; GO:0046982; GO:0048803; GO:0051492; GO:0090129
evm.TU.HiC_scaffold_28.13	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_28.15	GO:0000122; GO:0000977; GO:0000981; GO:0001227; GO:0003700; GO:0005634; GO:0006355; GO:0006357; GO:0008270
evm.TU.HiC_scaffold_41.1	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_46.2	GO:0003677; GO:0005634
evm.TU.HiC_scaffold_98.1	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_76.1	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_45.2	GO:0003964
evm.TU.HiC_scaffold_87.1	GO:0003677; GO:0004402; GO:0004674; GO:0005654; GO:0005669; GO:0006357; GO:0007140; GO:0016251; GO:0017025; GO:0045893; GO:0051123; GO:0070577
evm.TU.HiC_scaffold_67.1	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_67.2	GO:0000139; GO:0005085; GO:0005829; GO:0006886; GO:0034066; GO:0042147
evm.TU.HiC_scaffold_76.2	GO:0005615; GO:0005886; GO:0016021; GO:0030659; GO:0031012; GO:0032474
evm.TU.HiC_scaffold_85.1	GO:0005886; GO:0015574; GO:0015771; GO:0016021; GO:0051119
evm.TU.HiC_scaffold_85.2	GO:0006811; GO:0006915; GO:0016021; GO:0022857
evm.TU.HiC_scaffold_85.4	GO:0005737; GO:0006476; GO:0008270; GO:0016740; GO:0019213; GO:0034979; GO:0070403
evm.TU.HiC_scaffold_79.3	GO:0003964
evm.TU.HiC_scaffold_91.3	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_92.16	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_5.1	GO:0001889; GO:0004722; GO:0005634; GO:0005737; GO:0005977; GO:0007049; GO:0030155; GO:0032922; GO:0042752; GO:0046872; GO:0046982; GO:0050115; GO:0051301; GO:0060028; GO:0072357; GO:0106306; GO:0106307
evm.TU.HiC_scaffold_5.2	GO:0004222; GO:0005737; GO:0006338; GO:0007052; GO:0007076; GO:0007100; GO:0007155; GO:0007420; GO:0007444; GO:0008233; GO:0008354; GO:0008406; GO:0016020; GO:0019915; GO:0022900; GO:0045842; GO:0046872; GO:0051298; GO:0051301; GO:1902769
evm.TU.HiC_scaffold_5.3	GO:0005654; GO:0005730; GO:0006275; GO:0006281; GO:0006310; GO:0031011; GO:0033044; GO:0042766; GO:0045893; GO:0051726; GO:0060382
evm.TU.HiC_scaffold_5.4	GO:0000785; GO:0000922; GO:0001650; GO:0003677; GO:0003678; GO:0003682; GO:0003688; GO:0003690; GO:0003697; GO:0003727; GO:0004386; GO:0005524; GO:0005654; GO:0005730; GO:0005737; GO:0005813; GO:0006281; GO:0006974; GO:0007062; GO:0008094; GO:0008186; GO:0016887; GO:0030496; GO:0031297; GO:0032079; GO:0032091; GO:0032508; GO:0034085; GO:0035563; GO:0043139; GO:0044806; GO:0045142; GO:0045876; GO:0046872; GO:0051539; GO:0051880; GO:0070062; GO:0072711; GO:0072719; GO:1901838; GO:1904976; GO:1990700; GO:2000781
evm.TU.HiC_scaffold_96.1	GO:0003964
evm.TU.HiC_scaffold_96.3	GO:0005764; GO:0008234; GO:0008239; GO:0031638
evm.TU.HiC_scaffold_96.4	GO:0003964
evm.TU.HiC_scaffold_96.5	GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0009435; GO:0019674; GO:0043231; GO:0045662; GO:0046872; GO:0050262; GO:0061769
evm.TU.HiC_scaffold_90.7	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_68.1	GO:0003964
evm.TU.HiC_scaffold_79.4	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_3.1	GO:0003964
evm.TU.HiC_scaffold_3.2	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_3.4	GO:0005768
evm.TU.HiC_scaffold_3.6	GO:0017150; GO:0050660
evm.TU.HiC_scaffold_11.2	GO:0005634; GO:0005700; GO:0006325; GO:0007062; GO:0051321; GO:0060623; GO:0061781; GO:0071922
evm.TU.HiC_scaffold_11.4	GO:0000045; GO:0001843; GO:0003924; GO:0005525; GO:0005737; GO:0005776; GO:0005813; GO:0005829; GO:0005886; GO:0006886; GO:0006968; GO:0007165; GO:0007399; GO:0008589; GO:0010008; GO:0012505; GO:0021513; GO:0021904; GO:0030054; GO:0030670; GO:0042308; GO:0042733; GO:0045335; GO:0045861; GO:0046039; GO:0060271; GO:0097094
evm.TU.HiC_scaffold_94.1	GO:0000139; GO:0003924; GO:0004842; GO:0005525; GO:0005634; GO:0005737; GO:0005765; GO:0005886; GO:0006471; GO:0006886; GO:0008270; GO:0016192; GO:0016567; GO:0019003; GO:0042802
evm.TU.HiC_scaffold_16.3	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_46.4	GO:0001525; GO:0004177; GO:0005886; GO:0008237; GO:0008270; GO:0016021; GO:0030154
evm.TU.HiC_scaffold_46.6	GO:0004177; GO:0005886; GO:0008237; GO:0008270; GO:0031225
evm.TU.HiC_scaffold_46.7	GO:0005184; GO:0005576; GO:0007218
evm.TU.HiC_scaffold_46.8	GO:0003964
evm.TU.HiC_scaffold_16.4	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_16.5	GO:0003964
evm.TU.HiC_scaffold_16.6	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_16.7	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_18.6	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_18.7	GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0008233; GO:0008270; GO:0015074; GO:0032197
evm.TU.HiC_scaffold_12.1	GO:0004674; GO:0004683; GO:0004712; GO:0005516; GO:0005524; GO:0005886; GO:0007269; GO:0007274; GO:0007298; GO:0007615; GO:0007616; GO:0007628; GO:0008049; GO:0008344; GO:0008582; GO:0016080; GO:0016081; GO:0031594; GO:0040011; GO:0040012; GO:0042043; GO:0046928; GO:0048149; GO:0048488; GO:0061174; GO:0072375; GO:0106310; GO:1900073; GO:1900244; GO:2000331
evm.TU.HiC_scaffold_84.2	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_84.3	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_39.2	GO:0000287; GO:0005524; GO:0005637; GO:0005783; GO:0005802; GO:0005886; GO:0006811; GO:0015075; GO:0015917; GO:0016020; GO:0016021; GO:0031901; GO:0034220; GO:0035577; GO:0045332; GO:0055037; GO:0055038; GO:0090555; GO:0090556; GO:0140326; GO:1990531
evm.TU.HiC_scaffold_39.3	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_39.4	GO:0005783; GO:0007165; GO:0015031; GO:0030176
evm.TU.HiC_scaffold_39.5	GO:0016021
evm.TU.HiC_scaffold_39.6	GO:0000287; GO:0005524; GO:0005637; GO:0005769; GO:0005783; GO:0005794; GO:0015917; GO:0016021; GO:0055038; GO:0090555; GO:0090556
evm.TU.HiC_scaffold_51.5	GO:0000794; GO:0005783; GO:0005794; GO:0005813; GO:0005829; GO:0005929; GO:0005930; GO:0007017; GO:0007018; GO:0007165; GO:0008104; GO:0008285; GO:0015630; GO:0016939; GO:0019894; GO:0019903; GO:0032391; GO:0035869; GO:0036064; GO:0043066; GO:0044782; GO:0046587; GO:0065003; GO:0072383; GO:0097542; GO:0120170; GO:1990075
evm.TU.HiC_scaffold_51.6	GO:0003964
evm.TU.HiC_scaffold_51.10	GO:0005741; GO:0008270; GO:0010637; GO:0016491
evm.TU.HiC_scaffold_6958.1	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_60.6	GO:0005654; GO:0005829; GO:0006929; GO:0016322; GO:0043005; GO:0046875; GO:0048013; GO:1901187
evm.TU.HiC_scaffold_77.1	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_69.1	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_69.2	GO:0003964
evm.TU.HiC_scaffold_61.2	GO:0003964
evm.TU.HiC_scaffold_61.3	GO:0003723; GO:0003735; GO:0006412; GO:0022625; GO:0051726
evm.TU.HiC_scaffold_42.7	GO:0003677; GO:0005634; GO:0007417
evm.TU.HiC_scaffold_42.8	GO:0005576
evm.TU.HiC_scaffold_27.2	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_102.6	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_52.2	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_52.3	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0016887
evm.TU.HiC_scaffold_68.2	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_24.1	GO:0007165; GO:0015031; GO:0030176
evm.TU.HiC_scaffold_21.3	GO:0005516; GO:0005737; GO:0005813; GO:0005819; GO:0005874; GO:0007026; GO:0007052; GO:0008017; GO:0030496; GO:0030507; GO:0031122; GO:0031175; GO:0035331; GO:0045167; GO:0051011; GO:0051298; GO:0061867; GO:0072686; GO:0120219
evm.TU.HiC_scaffold_62.1	GO:0000226; GO:0003779; GO:0005829; GO:0005874; GO:0005875; GO:0007409; GO:0008017; GO:0008088; GO:0008355; GO:0008582; GO:0015630; GO:0016358; GO:0019900; GO:0030424; GO:0030425; GO:0031114; GO:0031594; GO:0043025; GO:0043524; GO:0045202; GO:0048813; GO:0060052; GO:1901215
evm.TU.HiC_scaffold_8.1	GO:0003964
evm.TU.HiC_scaffold_42.11	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_42.12	GO:0003676; GO:0003964; GO:0004519; GO:0015074
evm.TU.HiC_scaffold_78.3	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_13.3	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_13.4	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_13.5	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_18.8	GO:0003964
evm.TU.HiC_scaffold_14.1	GO:0005829; GO:0009507; GO:0009570; GO:0046872; GO:0070006
evm.TU.HiC_scaffold_13.6	GO:0004109; GO:0005737; GO:0005739; GO:0005758; GO:0006782; GO:0006783; GO:0042803
evm.TU.HiC_scaffold_13.7	GO:0004333; GO:0005739; GO:0005759; GO:0006099; GO:0006106; GO:0006108; GO:0045239
evm.TU.HiC_scaffold_13.8	GO:0003964; GO:0004519; GO:0006310; GO:0046872
evm.TU.HiC_scaffold_13.9	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004533; GO:0005198; GO:0006310; GO:0008270; GO:0015074; GO:0016020; GO:0019013; GO:0020002; GO:0030430; GO:0039657; GO:0042025; GO:0044826; GO:0046718; GO:0075713; GO:0075732
evm.TU.HiC_scaffold_13.10	GO:0005654; GO:0005747; GO:0032981
evm.TU.HiC_scaffold_19.2	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_78.4	GO:0003964
evm.TU.HiC_scaffold_28.16	GO:0000398; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0007112; GO:0007140; GO:0007268; GO:0007283; GO:0007289; GO:0008143; GO:0008266; GO:0009953; GO:0010494; GO:0045202; GO:0045314; GO:0045727; GO:0048477; GO:0048599; GO:0071011; GO:0071013; GO:1901215; GO:1990904
evm.TU.HiC_scaffold_103.6	GO:0005249; GO:0005251; GO:0005886; GO:0006813; GO:0008076; GO:0016021; GO:0022843; GO:0030424; GO:0030431; GO:0032590; GO:0032809; GO:0034765; GO:0051260; GO:0071805
evm.TU.HiC_scaffold_103.7	GO:0005739; GO:0006730; GO:0006826; GO:0015194; GO:0015825; GO:0022857; GO:0022889; GO:0030218; GO:0031305; GO:0042942; GO:0042945; GO:0140300; GO:1990542
evm.TU.HiC_scaffold_13.11	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_77.2	GO:0003964
evm.TU.HiC_scaffold_79.6	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_2.3	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_79.9	GO:0003964; GO:0046872
evm.TU.HiC_scaffold_18.9	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_18.10	GO:0005739; GO:0016226; GO:0046872; GO:0051536
evm.TU.HiC_scaffold_18.11	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_18.12	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_18.13	GO:0003964
evm.TU.HiC_scaffold_18.15	GO:0002052; GO:0005158; GO:0005737; GO:0019901; GO:0046628
evm.TU.HiC_scaffold_68.3	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0022625; GO:0022626
evm.TU.HiC_scaffold_23.3	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_89.5	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_82.9	GO:0003964; GO:0006313
evm.TU.HiC_scaffold_9.2	GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
evm.TU.HiC_scaffold_6.9	GO:0003964
evm.TU.HiC_scaffold_65.2	GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0008233; GO:0008270; GO:0015074; GO:0032197
evm.TU.HiC_scaffold_67.6	GO:0005789; GO:0006659; GO:0012505; GO:0016021; GO:0016780; GO:0106245; GO:0106258
