Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Adrenomedullin signaling pathway	0.00E+00	-3.211586168	4.87E-01	"ADCY1,ADCY8,BRAF,CALCRL,CALM1 (includes others),CSK,CTH,GAD1,GNA11,GNAS,GSK3B,GUCY1A1,GUCY1B1,GUCY2C,GUCY2F,Gucy2g,HIF1A,KCNN2,MAP2K1,MAP2K4,MAP2K7,MAPK15,MRAS,NFKB1,NPR1,PIK3C2B,PIK3R3,PLCB1,PLCB3,PLCG1,PLCL2,PRKAG1,PRKG1,PTK2,RALA,RASD2,SHC2,TFAP2A,TTN"
Aldosterone Signaling in Epithelial Cells	0.00E+00	-1.386750491	5.00E-01	"AHCY,CRYAB,DNAJB11,DNAJB12,DNAJB4,DNAJB9,DNAJC1,DNAJC11,DNAJC12,DNAJC14,DNAJC19,DNAJC25,DNAJC3,DNAJC5,HSPA12A,HSPA12B,HSPA1L,HSPA5,HSPA8,HSPA9,HSPD1,KCNMA1,MAP2K1,ODF1,PDPK1,PIK3C2B,PIK3R3,PIKFYVE,PLCB1,PLCB3,PLCG1,PLCL2,PRKCE,SACS,SGK1,SLC9A1,SMO,TRAP1"
All-trans-decaprenyl Diphosphate Biosynthesis	0.00E+00		5.00E-01	PDSS2
Amyloid Processing	0.00E+00	-1.632993162	3.75E-01	"APP,BACE1,CAPN2,CAPN3,CAPN5,CSNK2B,GSK3B,PRKAG1,PRKCE"
Angiopoietin Signaling	0.00E+00	-0.832050294	5.16E-01	"ANGPT1,ANGPT2,ANGPT4,MRAS,NFKB1,PAK1,PIK3C2B,PIK3R3,PTK2,PTPN11,RALA,RASA1,RASD2,STAT5A,STAT5B,TIE1"
Antigen Presentation Pathway	0.00E+00		5.00E-01	PSMB6
Antioxidant Action of Vitamin C	0.00E+00	2.529822128	5.00E-01	"GSTO1,MAP2K4,NFKB1,PLA2G6,PLCB1,PLCB3,PLCG1,PLCL2,PLD1,PRDX6,SELENOT,SLC23A1,SLC2A1,SLC2A3,SLC2A8,STAT5A,STAT5B"
Antiproliferative Role of Somatostatin Receptor 2	0.00E+00	-2.333333333	5.43E-01	"BRAF,CDKN1B,CTH,GAD1,GNB5,GUCY1A1,GUCY1B1,GUCY2C,GUCY2F,Gucy2g,MAP2K1,MRAS,NOS1,NPR1,PIK3C2B,PIK3R3,PTPN11,RALA,RASD2"
Apelin Adipocyte Signaling Pathway	0.00E+00	2.667891875	5.68E-01	"ADCY1,ADCY8,CAT,GNA11,GPX1,GPX2,GPX4,GPX6,GPX7,GSTK1,GSTT1,GUCY1A1,GUCY1B1,HIF1A,MAPK15,MGST3,NCF2,PRDX6,PRKAG1,RAC1,RAC2"
Apelin Cardiac Fibroblast Signaling Pathway	0.00E+00		5.00E-01	"ANGPT2,PRKAG1"
Apelin Cardiomyocyte Signaling Pathway	0.00E+00	-0.942809042	4.62E-01	"ATP2A1,CAT,GNA11,HIF1A,MAPK15,MYL1,MYL9,PIK3C2B,PIK3R3,PLCB1,PLCB3,PLCG1,PLCL2,PRKCE,SLC8A1,SLC8A2,SLC9A1,SLC9A8"
Apelin Endothelial Signaling Pathway	0.00E+00	-1.705605731	5.29E-01	"ADCY1,ADCY8,ANGPT1,CALM1 (includes others),GNA11,GNA12,GNAO1,GNAS,GNB5,GUCY1A1,GUCY1B1,HIF1A,MAP2K1,MAP2K4,MEF2C,MRAS,NFKB1,PIK3C2B,PIK3R3,PLCB1,PLCB3,PRKAG1,PRKCE,RALA,RASD2,RPS6KB2,SP1"
Apelin Pancreas Signaling Pathway	0.00E+00	0.377964473	3.50E-01	"EIF2AK3,ERN1,MAP2K4,NFKB1,PIK3C2B,PIK3R3,PRKAG1"
April Mediated Signaling	0.00E+00		3.00E-01	"MAP2K4,MAP2K7,NFKB1"
Arsenate Detoxification I (Glutaredoxin)	0.00E+00		5.00E-01	GSTO1
Atherosclerosis Signaling	0.00E+00		4.29E-01	"APOD,COL2A1,ITGB2,NFKB1,PLA2G6,PRDX6"
Autophagy	0.00E+00	-3.394673699	5.53E-01	"ATG101,ATG14,ATR,BIRC6,CALM1 (includes others),CDKN1B,CHP1,CREB3L3,EIF2A,EIF2AK3,EPG5,ERN1,GABARAPL1,GORASP2,GSK3B,HIF1A,KAT5,MAP1LC3A,MAP2K1,MAP2K4,MAP2K7,MLST8,NFKB1,OPTN,PI4K2A,PIK3C2B,PIK3R3,PPP2R1A,PRKAG1,PTEN,PTPA,RAB7A,RALA,RB1CC1,RPTOR,SIRT1,SLC7A5,SQSTM1,TBK1,TSC2,VPS18,VPS41"
Axonal Guidance Signaling	0.00E+00		5.56E-01	"ABLIM3,ACE,ACTR2,ADAM10,ADAM15,ADAMTS12,ADAMTS3,ADAMTS6,ARPC1B,ARPC3,ARPC4,BAIAP2,BMP2,CDC42,CHMP1A,CHP1,COPS5,ECE2,EIF3F,EIF3H,EPHB1,FARP2,FZD5,FZD8,GLI2,GNA11,GNA12,GNAO1,GNAS,GNB5,GSK3B,HERC2,ITGA2B,ITGA6,ITGA8,ITGAV,ITGB1,ITGB2,L1CAM,MAP2K1,MRAS,MYL1,MYL9,NTN1,PAK1,PIK3C2B,PIK3R3,PLCB1,PLCB3,PLCG1,PLCL2,PLXNA2,PLXNB1,PMPCA,PMPCB,PRKAG1,PRKCE,PSMD14,PTCH1,PTK2,PTPN11,PXN,RAC1,RAC2,RALA,RASA1,RASD2,ROBO1,ROBO2,SDCBP,SEMA6B,SEMA6C,SEMA6D,SLIT2,SMO,SRGAP2,SUFU,TUBA1A,TUBA1B,TUBA3C/TUBA3D,TUBA3E,TUBA4A,TUBB2A,TUBB2B,TUBB4A,UNC5B,WNT11,WNT4,WNT5B,WNT9A"
B Cell Activating Factor Signaling	0.00E+00		3.00E-01	"MAP2K4,MAP2K7,NFKB1"
B Cell Receptor Signaling	0.00E+00	-1.975658322	5.30E-01	"BCL2L1,BCL6,CALM1 (includes others),CAMK2D,CD22,CDC42,CREB3L3,CSK,EBF1,ETS1,GSK3B,INPP5F,LYN,MAP2K1,MAP2K4,MAP2K7,MAP3K10,MAP3K12,MAP3K9,MEF2C,MRAS,NFKB1,PAX5,PDPK1,PIK3C2B,PIK3R3,PTEN,PTK2,PTPN11,PTPRC,RAC1,RAC2,RALA,RASD2,RPS6KB2"
BEX2 Signaling Pathway	0.00E+00	-0.707106781	4.50E-01	"GSK3B,HIF1A,MAP2K4,NFKB1,PPP2R1A,PTEN,PTPA,TCF7L1,TSC2"
BMP signaling pathway	0.00E+00	-2.309401077	4.19E-01	"BMP2,CHRD,MAP2K1,MAP2K4,MRAS,NFKB1,PRKAG1,RALA,RASD2,SMAD1,SMAD4,SMAD9,TAB1"
"Bile Acid Biosynthesis, Neutral Pathway"	0.00E+00		5.00E-01	"BAAT,CYP27A1,SCP2"
Bladder Cancer Signaling	0.00E+00	-2.449489743	5.00E-01	"E2F2,EGFR,FGF20,FGFR3,HDAC2,HDAC6,HDAC7,MAP2K1,MRAS,PA2G4,RALA,RASD2,RASSF1,RPS6KA5"
Breast Cancer Regulation by Stathmin1	0.00E+00	-4.006938427	5.03E-01	"ADGRA2,ADGRD1,ADGRL3,ADGRL4,ADRA2C,ARHGEF1,ARHGEF17,ARHGEF4,AURKB,CALCRL,CAMK2D,CCKAR,CCND2,CDK1,CDKN1B,CREB3L3,CRHR2,E2F2,FSHR,FZD5,FZD8,GABBR1,GABBR2,GNB5,GPR139,GPR155,GPR179,GPR180,GPR52,GPR84,GRM1,GRM3,GRM4,GRM6,HIF1A,HTR1A,HTR7,LHCGR,MAP2K1,MRAS,NFKB1,NMUR2,NPY5R,OXTR,PAK1,PIK3C2B,PIK3R3,PLCB1,PLCB3,PPP1CA,PPP1CC,PPP2R1A,PPP4C,PRKAG1,PRKCE,PTPA,RAC1,RAC2,RALA,RASD2,RB1CC1,RXFP1,RXFP2,SHC2,SMO,SPDEF,TSG101,TUBA1A,TUBA1B,TUBA3C/TUBA3D,TUBA3E,TUBA4A,TUBB2A,TUBB2B,TUBB4A"
CCR3 Signaling in Eosinophils	0.00E+00	-2.309401077	4.19E-01	"CALM1 (includes others),GNA11,GNA12,GNAO1,GNAS,GNB5,MAP2K1,MRAS,PAK1,PIK3C2B,PIK3R3,PLA2G6,PLCB1,PLCB3,PRKCE,RAC1,RALA,RASD2"
CD27 Signaling in Lymphocytes	0.00E+00	-2.828427125	4.74E-01	"BCL2L1,CYC1,MAP2K1,MAP2K4,MAP2K7,MAP3K10,MAP3K12,MAP3K9,NFKB1"
CD28 Signaling in T Helper Cells	0.00E+00	0.229415734	4.87E-01	"ACTR2,ARPC1B,ARPC3,ARPC4,CALM1 (includes others),CDC42,CHP1,CSK,MAP2K1,MAP2K4,NFKB1,PAK1,PDPK1,PIK3C2B,PIK3R3,PLCG1,PTPN11,PTPRC,RAC1"
CD40 Signaling	0.00E+00	-2.645751311	3.33E-01	"MAP2K1,MAP2K4,MAP2K7,MAPKAPK2,NFKB1,PIK3C2B,PIK3R3"
CDC42 Signaling	0.00E+00	0	5.78E-01	"ACTR2,APC,ARPC1B,ARPC3,ARPC4,BAIAP2,CDC42,CDC42BPA,CLIP1,EXOC3,FGD1,GSK3B,IQGAP1,ITGA2B,ITGA6,ITGA8,ITGAV,ITGB1,ITGB2,MAP2K4,MYL1,MYL9,PAK1,PARD3,RALA,RASA1"
CDK5 Signaling	0.00E+00	-0.5	4.38E-01	"ADCY1,ADCY8,CACNA1A,GNAS,GUCY1A1,GUCY1B1,ITGA6,ITGB1,LAMA1,LAMA5,LAMC1,MAP2K1,MAPK15,MRAS,PPP1CA,PPP1CC,PPP2R1A,PRKAG1,PTPA,RALA,RASD2"
CDP-diacylglycerol Biosynthesis I	0.00E+00	0	5.00E-01	"AGPAT1,GPAT3,GPAT4,LPCAT1,MBOAT7,TAMM41"
CLEAR Signaling Pathway	0.00E+00	-0.377964473	5.62E-01	"ATP6AP2,ATP6V0B,ATP6V0D1,ATP6V1A,ATP6V1B1,ATP6V1D,ATP6V1E1,ATP6V1G2,ATP6V1H,CHP1,CLCN7,CLN3,CREB3L3,CTNS,CTSF,EGFR,EIF2AK3,EP300,FGFR1,FGFR3,GAA,GALNS,GBA,GLB1,GNS,GSK3B,GUSB,HEXB,HIF1A,IGF1R,IGF2R,KCNIP3,MAP4K3,MAPK15,MLST8,MRAS,NAGLU,NPRL2,NPRL3,PDGFRB,PIP4P1,PLBD2,PLCG1,PPP2R1A,PRKAG1,PRKCE,PRKN,PTPA,RAB7A,RALA,RASD2,RPTOR,SCPEP1,SESN2,SLC36A1,SUMF1,TGFBR1,TLR3,TSC2,VPS18,VPS35,WDR59,YWHAB"
CNTF Signaling	0.00E+00	-2.828427125	4.29E-01	"MAP2K1,MRAS,PIK3C2B,PIK3R3,PTPN11,RALA,RASD2,RPS6KA5,RPS6KB2"
CREB Signaling in Neurons	0.00E+00	-4.798687035	5.33E-01	"ADCY1,ADCY8,ADGRA2,ADGRD1,ADGRL3,ADGRL4,ADRA2C,CACNA1A,CACNA1B,CACNA1G,CACNA2D4,CACNB2,CALCRL,CALM1 (includes others),CAMK2D,CCKAR,CREB3L3,CRHR2,EGFR,EP300,FGFR1,FGFR3,FSHR,FZD5,FZD8,GABBR1,GABBR2,GNA11,GNA12,GNAO1,GNAS,GNB5,GPR139,GPR155,GPR179,GPR180,GPR52,GPR84,GRIA2,GRIA3,GRID1,GRID2,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2D,GRM1,GRM3,GRM4,GRM6,GUCY1A1,GUCY1B1,HTR1A,HTR7,IGF1R,IGF2R,LHCGR,MAP2K1,MRAS,NMUR2,NPY5R,OXTR,PDGFRB,PIK3C2B,PIK3R3,PLCB1,PLCB3,PLCG1,PLCL2,POLR2B,POLR2D,POLR2H,POLR2I,POLR2J,POLR2L,PRKAG1,PRKCE,RALA,RASD2,RXFP1,RXFP2,SHC2,SMO,TBP,TGFBR1"
CSDE1 Signaling Pathway	0.00E+00	0.632455532	5.71E-01	"AGO1,AGO3,CNOT6,CTTN,EDC3,PTEN,PUM1,RAC1,RPL9,SNAI1,SYNCRIP,TNC"
CTLA4 Signaling in Cytotoxic T Lymphocytes	0.00E+00		3.57E-01	"AP1M1,AP2A1,AP2B1,AP2M1,PIK3C2B,PIK3R3,PLCG1,PPP2R1A,PTPA,PTPN11"
CXCR4 Signaling	0.00E+00	-0.447213595	5.08E-01	"ADCY1,ADCY8,CDC42,GNA11,GNA12,GNAO1,GNAS,GNB5,GUCY1A1,GUCY1B1,LYN,MAP2K1,MAP2K4,MRAS,MYL1,MYL9,PAK1,PIK3C2B,PIK3R3,PLCB1,PLCB3,PRKCE,PTK2,PXN,RAC1,RAC2,RALA,RASD2,RHOBTB2,RHOT1"
Calcium Signaling	0.00E+00	-2.611164839	5.84E-01	"ACTC1,ASPH,ATP2A1,ATP2B2,CABIN1,CACNA1A,CACNA1B,CACNA1G,CACNA2D4,CACNB2,CALM1 (includes others),CAMK2D,CHP1,CHRFAM7A,CHRNA10,CHRNA4,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CREB3L3,EP300,GRIA2,GRIA3,GRIK1,GRIN1,GRIN2D,GRIN3A,GRINA,HDAC2,HDAC6,HDAC7,LETM1,MEF2C,MYH10,MYH11,MYH4,MYH6,MYH7,MYL1,MYL9,MYO18A,MYO1H,PRKAG1,SLC8A1,SLC8A2,TNNC1,TNNC2,TPM4,TRPC4,TRPC5,TRPC7"
Cardiac Hypertrophy Signaling	0.00E+00	-2.873524466	5.16E-01	"ADCY1,ADCY8,ADRA2C,CACNA1A,CACNA1B,CACNA2D4,Cacnb1,CACNB2,CALM1 (includes others),CDC42,CHP1,EIF2B4,EP300,GATA4,GNA11,GNA12,GNAO1,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,IGF1R,MAP2K1,MAP2K4,MAP2K7,MAP3K10,MAP3K12,MAP3K9,MAPKAPK2,MEF2C,MRAS,MYL1,MYL9,PIK3C2B,PIK3R3,PLCB1,PLCB3,PLCG1,PLCL2,PRKAG1,RAC1,RAC2,RALA,RASD2,RHOBTB2,RHOT1,TAB1,TGFBR1"
Cardiac Hypertrophy Signaling (Enhanced)	0.00E+00	-4.242640687	5.28E-01	"ACE,ACVR2B,ADCY1,ADCY8,ADRA2C,APEX1,ATP2A1,CACNA1A,CACNA1B,CACNA2D4,Cacnb1,CACNB2,CALM1 (includes others),CAMK2D,CHP1,DLG1,DVL3,EIF2B4,EP300,FGF20,FGFR1,FGFR3,FZD5,FZD8,GATA4,GNA11,GNA12,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,HDAC2,HDAC6,HDAC7,IGF1R,INPP5F,ITGA2B,ITGA6,ITGA8,ITGAV,ITGB1,ITGB2,MAP2K1,MAP2K4,MAP2K7,MAP3K10,MAP3K12,MAP3K9,MAPKAPK2,MEF2C,MKNK2,MRAS,NFKB1,NPR1,PDE11A,PDE12,PDE3A,PDE4A,PDE4D,PDE8A,PDE9A,PDK1,PIK3C2B,PIK3R3,PLCB1,PLCB3,PLCG1,PLCL2,PRKAG1,PRKCE,PRKG1,PTEN,PTK2,RALA,RASD2,RPS6,RPS6KA5,RPS6KB2,SMO,TGFBR1,TSC2,WNT11,WNT4,WNT5B,WNT9A"
Cardiac β-adrenergic Signaling	0.00E+00	-1.605910137	4.71E-01	"ADCY1,ADCY8,AKAP1,APEX1,ATP2A1,CACNA1A,CACNA1B,CACNA2D4,Cacnb1,CACNB2,GNA11,GNA12,GNAO1,GNAS,GNB5,GRK3,GUCY1A1,GUCY1B1,MRAS,PDE11A,PDE12,PDE3A,PDE4A,PDE4D,PDE8A,PDE9A,PPP1CA,PPP1CC,PPP2R1A,PRKAG1,PTPA,SLC8A1,SLC8A2"
Cell Cycle Control of Chromosomal Replication	0.00E+00	2.836832573	5.68E-01	"CDK1,CDK17,CDK19,CDK20,CDK9,CDT1,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MCM9,ORC3,ORC4,PCNA,POLA1,POLA2,POLD1,RPA1,TOP2B"
Cell Cycle Regulation by BTG Family Proteins	0.00E+00		5.00E-01	"BTG2,CCNE1,E2F2,NOCT,PPP2R1A,PRMT1,PTPA"
Cellular Effects of Sildenafil (Viagra)	0.00E+00		5.47E-01	"ACTC1,ACTG1,ADCY1,ADCY8,CACNA1A,CACNA1B,CACNA2D4,Cacnb1,CACNB2,CALM1 (includes others),GNAS,GUCY1A1,GUCY1B1,GUCY2C,GUCY2F,KCNN2,MYH10,MYH11,MYH4,MYH6,MYH7,MYL1,MYL9,MYO18A,MYO1H,NPR1,PDE3A,PDE4A,PDE4D,PLCB1,PLCB3,PLCG1,PLCL2,PRKAG1,PRKG1"
Ceramide Biosynthesis	0.00E+00		5.00E-01	SPTLC3
Ceramide Signaling	0.00E+00	-1.507556723	4.12E-01	"CERK,KSR1,MAP2K1,MAP2K4,MRAS,NFKB1,PIK3C2B,PIK3R3,PPP2R1A,PTPA,RALA,RASD2,SMPD1,SMPD2"
Chemokine Signaling	0.00E+00	-1.666666667	4.35E-01	"CALM1 (includes others),CAMK2D,MAP2K1,MRAS,PLCB1,PLCB3,PLCG1,PTK2,RALA,RASD2"
Cholecystokinin/Gastrin-mediated Signaling	0.00E+00	-2.672612419	5.14E-01	"CDC42,CREM,EGFR,GNA12,MAP2K1,MAP2K4,MEF2C,MRAS,PLCB1,PLCB3,PRKCE,PTK2,PXN,RAC1,RAC2,RALA,RASD2,RHOBTB2,RHOT1"
Choline Degradation I	0.00E+00		5.00E-01	CHDH
Chronic Myeloid Leukemia Signaling	0.00E+00		5.00E-01	"BCL2L1,CCND2,CDKN1B,E2F2,HDAC2,HDAC6,HDAC7,MAP2K1,MRAS,NFKB1,PA2G4,PIK3C2B,PIK3R3,PTPN11,RALA,RASD2,SMAD4,STAT5A,STAT5B,TGFBR1"
Circadian Rhythm Signaling	0.00E+00		5.56E-01	"ADCY1,ADCY8,ARNTL,BLK,BRAF,CACNA1A,CACNA1B,CACNA1G,CACNA2D4,Cacnb1,CACNB2,CAMK2D,CLOCK,CREB3L3,CTH,FRK,GAD1,GNA11,GNAS,GNB5,GRIA2,GRIA3,GRIN1,GRIN2D,GRIN3A,GRINA,GSK3B,GUCY1A1,GUCY1B1,GUCY2C,GUCY2F,Gucy2g,HIF1A,HLF,HSF1,LYN,MAP2K1,MAP2K4,MAP2K7,MKNK2,MLST8,MRAS,NOS1,NPR1,NR1D1,PLCB1,PLCB3,PLCG1,PLCL2,PRKAG1,PRKCE,PRKG1,RACK1,RALA,RASD2,RORA,RPS6KA5,RPTOR,SIRT1,TRPC7"
Citrulline Biosynthesis	0.00E+00		5.00E-01	"ALDH18A1,ARG2"
Clathrin-mediated Endocytosis Signaling	0.00E+00		5.76E-01	"ACTC1,ACTG1,ACTR2,AP1M1,AP2A1,AP2B1,AP2M1,APOD,ARF6,ARPC1B,ARPC3,ARPC4,ARRB2,CDC42,CHP1,CSNK2B,CTTN,FGF20,HGS,HIP1R,HSPA8,ITGB1,ITGB2,LDLRAP1,MYO6,NUMB,PIK3C2B,PIK3R3,RAB11A,RAB7A,RAC1,RPS27A,SNAP91,SNX9,STAM,TSG101,UBA52,USP9X"
Coagulation System	0.00E+00	-1.341640786	5.56E-01	"A2M,F5,KLKB1,PLG,SERPINC1"
Colorectal Cancer Metastasis Signaling	0.00E+00	-2.556038602	5.65E-01	"ADCY1,ADCY8,APC,APPL1,AXIN1,BCL2L1,BRAF,CDC42,EGFR,FZD5,FZD8,GNA11,GNA12,GNAO1,GNAS,GNB5,GRK3,GSK3B,GUCY1A1,GUCY1B1,LRP1,LRP6,MAP2K1,MAP2K4,MRAS,MSH2,MSH3,MSH6,NFKB1,NOS2,PIK3C2B,PIK3R3,PRKAG1,RAC1,RAC2,RALA,RASD2,RHOBTB2,RHOT1,SMAD4,SMO,TCF7L1,TGFBR1,TLR3,WNT11,WNT4,WNT5B,WNT9A"
Complement System	0.00E+00		3.33E-01	ITGB2
Corticotropin Releasing Hormone Signaling	0.00E+00	-1.975658322	5.67E-01	"ADCY1,ADCY8,BRAF,CACNA1A,CACNA1B,CACNA1G,CACNA2D4,CACNB2,CALM1 (includes others),CREB3L3,CRHR2,CTH,GAD1,GLI2,GNAO1,GNAS,GUCY1A1,GUCY1B1,GUCY2C,GUCY2F,Gucy2g,IVL,KRT1,MAP2K1,MEF2C,NOS1,NOS2,NPR1,NR4A1,PLCG1,PRKAG1,PRKCE,PTCH1,SMO"
Cyclins and Cell Cycle Regulation	0.00E+00	2.138089935	5.71E-01	"ATR,CCNA2,CCNB2,CCNB3,CCND2,CCNE1,CCNH,CDK1,CDKN1B,E2F2,FBXL5,GSK3B,HDAC2,HDAC6,HDAC7,MYT1,PA2G4,PPP2R1A,PTPA,SKP1"
Cysteine Biosynthesis/Homocysteine Degradation	0.00E+00		5.00E-01	CTH
"D-myo-inositol (1,3,4)-trisphosphate Biosynthesis"	0.00E+00		3.33E-01	"INPP5F,PTEN"
"D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis"	0.00E+00	-2.449489743	4.00E-01	"PI4K2A,PI4KB,PIKFYVE,PLCB1,PLCB3,PLCG1"
"D-myo-inositol (1,4,5)-trisphosphate Degradation"	0.00E+00		5.00E-01	"BPNT1,IMPA1,INPP5F"
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	0.00E+00	-2.121320344	5.15E-01	"ALPL,DOT1L,DUSP10,DUSP12,DUSP8,ENTPD6,INPP5F,MDP1,NOCT,NUDT9,PGAM5,PIKFYVE,PPFIA3,PPIP5K1,PPP1CA,PPP1CC,PPP2R1A,PPP4C,PPP4R1,PPTC7,PRUNE1,PTEN,PTPA,PTPN1,PTPN11,PTPN12,PTPN23,PTPRC,PTPRF,PTPRJ,RASA1,RNGTT,SACM1L,SSH3,TPTE2"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	0.00E+00	-2.121320344	5.15E-01	"ALPL,DOT1L,DUSP10,DUSP12,DUSP8,ENTPD6,INPP5F,MDP1,NOCT,NUDT9,PGAM5,PIKFYVE,PPFIA3,PPIP5K1,PPP1CA,PPP1CC,PPP2R1A,PPP4C,PPP4R1,PPTC7,PRUNE1,PTEN,PTPA,PTPN1,PTPN11,PTPN12,PTPN23,PTPRC,PTPRF,PTPRJ,RASA1,RNGTT,SACM1L,SSH3,TPTE2"
D-myo-inositol-5-phosphate Metabolism	0.00E+00	-2.666666667	5.00E-01	"ALPL,DOT1L,DUSP10,DUSP12,DUSP8,ENTPD6,INPP5F,MDP1,NOCT,NUDT9,PGAM5,PIKFYVE,PIP4P1,PLCB1,PLCB3,PLCG1,PPFIA3,PPIP5K1,PPP1CA,PPP1CC,PPP2R1A,PPP4C,PPP4R1,PPTC7,PRUNE1,PTEN,PTPA,PTPN1,PTPN11,PTPN12,PTPN23,PTPRC,PTPRF,PTPRJ,RASA1,RNGTT,SACM1L,SSH3,TPTE2"
Dendritic Cell Maturation	0.00E+00	-1.807392228	4.69E-01	"COL2A1,CREB3L3,DDR2,FSCN2,IRF8,MAP2K4,NFKB1,PIK3C2B,PIK3R3,PLCB1,PLCB3,PLCG1,PLCL2,TAB1,TLR3"
Docosahexaenoic Acid (DHA) Signaling	0.00E+00		5.00E-01	"APP,BCL2L1,GSK3B,PDPK1,PIK3C2B,PIK3R3"
Dopamine Receptor Signaling	0.00E+00		3.94E-01	"ADCY1,ADCY8,GUCY1A1,GUCY1B1,PPP1CA,PPP1CC,PPP2R1A,PRKAG1,PTPA,QDPR,SLC18A2,SLC6A3,SMOX"
