© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.brown
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	MM.brown
Date	Tue Apr 26 16:05:16 PDT 2022
Analysis ID	39446106

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression pvalue
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression other	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.brown
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
B Cell Receptor Signaling	-0E00	0.0	3.33E-01	CALM1 (includes others),CAMK2D,CD22,CSK,EBF1,ETS1,GSK3B,INPP5F,MAP2K4,MAP3K10,MAP3K12,MEF2C,MRAS,NFKB1,OCRL,PDPK1,PIK3C2B,PIK3CA,PTEN,RASD2,RPS6KB1,SOS1	
BER (Base Excision Repair) Pathway	-0E00	1.7320508075688774	4.14E-01	APEX1,FEN1,LIG1,MAP2K4,MPG,PARP1,PCNA,PNKP,RFC2,RFC3,RPA1,TDG	
BMP signaling pathway	-0E00	-1.2649110640673518	3.55E-01	MAP2K4,MRAS,NFKB1,PRKAG1,PRKAR1A,PRKAR2A,RASD2,SMAD1,SMAD9,SOS1,TAB1	
Basal Cell Carcinoma Signaling	-0E00	-1.0	4.17E-01	APC,FZD8,GLI2,GSK3B,PTCH1,SUFU,TCF7L1,WNT4,WNT5B,WNT9A	
Bile Acid Biosynthesis, Neutral Pathway	-0E00		5.00E-01	BAAT,CYP27A1,SCP2	
Biotin-carboxyl Carrier Protein Assembly	-0E00		5.00E-01	ACACA	
Bladder Cancer Signaling	-0E00		4.29E-01	E2F2,EGFR,FGF20,FGFR3,HDAC2,HDAC6,HDAC7,MRAS,PA2G4,RASD2,RASSF1,RBL2	
Breast Cancer Regulation by Stathmin1	-0E00	-2.888741522913896	4.03E-01	ADGRD1,ADGRL1,ARHGEF1,AURKB,AVPR1A,CALCRL,CAMK2D,CCKAR,CDK1,CDKN1B,CRHR2,E2F2,FSHR,FZD8,GABBR1,GABBR2,GNB5,GPR84,GRM4,GRM6,HIF1A,LGR5,LHCGR,MRAS,NFKB1,NPY5R,OXTR,PAK1,PIK3C2B,PIK3CA,PLCB1,PLCB4,PPP1CA,PPP1CC,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PRKAG1,PRKAR1A,PRKAR2A,PTPA,RASD2,RLIM,RPS6KB1,RXFP1,RXFP2,SHC2,SOS1,TRHR,TUBA1A,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA3E,TUBA4A,TUBB2B,TUBB4A,TUBG1	
Bupropion Degradation	-0E00		3.75E-01	CYP2U1,CYP3A5,CYP4B1	
CCR3 Signaling in Eosinophils	-0E00	0.0	2.33E-01	CALM1 (includes others),GNA11,GNB5,MRAS,PAK1,PIK3C2B,PIK3CA,PLCB1,PLCB4,RASD2	
CCR5 Signaling in Macrophages	-0E00		4.00E-01	CACNA1A,CACNA1B,CACNA1G,CACNA2D1,CACNA2D4,CALM1 (includes others),GNA11,GNB5,MAP2K4,MRAS	
CD27 Signaling in Lymphocytes	-0E00	-2.0	2.63E-01	CYC1,MAP2K4,MAP3K10,MAP3K12,NFKB1	
CD28 Signaling in T Helper Cells	-0E00	2.138089935299395	3.59E-01	ACTR2,ARPC1B,ARPC2,ARPC3,ARPC4,CALM1 (includes others),CSK,MAP2K4,NFKB1,PAK1,PDPK1,PIK3C2B,PIK3CA,WAS	
CD40 Signaling	-0E00	-1.0	1.90E-01	MAP2K4,NFKB1,PIK3C2B,PIK3CA	
CDC42 Signaling	-0E00	1.5	4.67E-01	ACTR2,APC,ARPC1B,ARPC2,ARPC3,ARPC4,CDC42BPA,CLIP1,EXOC3,EXOC7,EXOC8,GSK3B,IQGAP1,ITGAV,ITGB1,MAP2K4,MYL1,MYL9,PAK1,PARD3,WAS	
CDK5 Signaling	-0E00	0.24253562503633297	4.38E-01	ADCY1,ADCY9,CACNA1A,GUCY1A1,ITGB1,LAMA1,LAMA5,LAMC1,MRAS,PPP1CA,PPP1CC,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PRKAG1,PRKAR1A,PRKAR2A,PTPA,RASD2	
CLEAR Signaling Pathway	-0E00	0.6622661785325219	5.09E-01	ATP6V1B1,ATP6V1D,ATP6V1E1,ATP6V1F,ATP6V1G2,ATP6V1H,CLCN7,CTSA,CTSF,EGFR,EIF2AK3,EP300,FGFR3,GAA,GBA,GLB1,GNS,GSK3B,GUSB,HEXB,HIF1A,IGF1R,KCNIP3,KDR,MLST8,MRAS,NAGLU,NPRL2,NPRL3,PDGFRB,PLBD2,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PRKAB2,PRKAG1,PRKN,PSAP,PTPA,RAB7A,RASD2,RRAGA,RXRA,SEC13,SESN2,STK11,SUMF1,TGFBR1,TLR3,TSC2,VPS33A,VPS35,WDR59,YWHAB,YWHAE	
CNTF Signaling	-0E00	0.4472135954999579	2.86E-01	MRAS,PIK3C2B,PIK3CA,RASD2,RPS6KB1,SOS1	
CREB Signaling in Neurons	-0E00	-5.077367528252131	4.55E-01	ADCY1,ADCY9,ADGRD1,ADGRL1,AVPR1A,CACNA1A,CACNA1B,CACNA1G,CACNA2D1,CACNA2D4,CALCRL,CALM1 (includes others),CAMK2D,CCKAR,CRHR2,EGFR,EP300,FGFR3,FSHR,FZD8,GABBR1,GABBR2,GNA11,GNB5,GPR84,GRIA1,GRIA3,GRIA4,GRID1,GRID2,GRIK1,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2C,GRIN2D,GRM4,GRM6,GUCY1A1,IGF1R,KDR,LGR5,LHCGR,MRAS,NPY5R,OXTR,PDGFRB,PIK3C2B,PIK3CA,PLCB1,PLCB4,PLCD3,PLCL2,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2H,POLR2I,POLR2J,POLR2L,PRKAG1,PRKAR1A,PRKAR2A,RASD2,RXFP1,RXFP2,SHC2,SOS1,TBP,TGFBR1,TRHR	
CSDE1 Signaling Pathway	-0E00	1.2649110640673518	4.76E-01	CDK11A,CNOT6,DDX6,EDC3,EDC4,PTEN,PUM1,RPL9,SNAI1,TNC	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		4.29E-01	AP1G1,AP1S1,AP2A1,AP2M1,PIK3C2B,PIK3CA,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PTPA	
CXCR4 Signaling	-0E00	0.8320502943378437	3.22E-01	ADCY1,ADCY9,Cdc42,DOCK1,GNA11,GNB5,GUCY1A1,MAP2K4,MRAS,MYL1,MYL9,PAK1,PIK3C2B,PIK3CA,PLCB1,PLCB4,RASD2,RHOBTB2,RHOC	
Calcium-induced T Lymphocyte Apoptosis	-0E00	-0.4472135954999579	4.38E-01	ATP2A1,CABIN1,CALM1 (includes others),CAPN2,EP300,HDAC2,NR4A1	
Cardiac Hypertrophy Signaling	-0E00	-0.8980265101338746	4.32E-01	ADCY1,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNA2D4,Cacnb1,CALM1 (includes others),Cdc42,EIF2B1,EP300,GATA4,GNA11,GNB5,GSK3B,GUCY1A1,HAND2,IGF1R,MAP2K4,MAP3K10,MAP3K12,MEF2C,MRAS,MYL1,MYL9,PIK3C2B,PIK3CA,PLCB1,PLCB4,PLCD3,PLCL2,PRKAG1,PRKAR1A,PRKAR2A,RASD2,RHOBTB2,RHOC,RPS6KB1,SOS1,TAB1,TGFBR1	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	-2.4735893086356535	4.17E-01	ACE,ACVR1,ADCY1,ADCY9,APEX1,ATP2A1,CACNA1A,CACNA1B,CACNA2D1,CACNA2D4,Cacnb1,CALM1 (includes others),CAMK2D,EIF2B1,EP300,FGF20,FGFR3,FZD8,GATA4,GNA11,GNB5,GSK3B,GUCY1A1,HAND2,HDAC2,HDAC6,HDAC7,IGF1R,INPP5F,ITGAV,ITGB1,MAP2K4,MAP3K10,MAP3K12,MEF2C,MKNK2,MRAS,NFKB1,NPR1,PDE10A,PDE12,PDE2A,PDE3A,PDE4A,PDE4D,PDE9A,PDK1,PIK3C2B,PIK3CA,PKN1,PLCB1,PLCB4,PLCD3,PLCL2,PRKAG1,PRKAR1A,PRKAR2A,PTEN,RASD2,RPS6,RPS6KB1,RYR1,RYR3,TGFBR1,TSC2,WNT4,WNT5B,WNT9A	
Cardiac β-adrenergic Signaling	-0E00	-1.0425720702853738	5.00E-01	ADCY1,ADCY9,AKAP1,APEX1,ATP2A1,CACNA1A,CACNA1B,CACNA2D1,CACNA2D4,Cacnb1,GNA11,GNB5,GRK3,GUCY1A1,MRAS,PDE10A,PDE12,PDE2A,PDE3A,PDE4A,PDE4D,PDE9A,PPP1CA,PPP1CC,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PRKAG1,PRKAR1A,PRKAR2A,PTPA,SLC8A1,SLC8A2	
Cardiomyocyte Differentiation via BMP Receptors	-0E00		4.00E-01	GATA4,MEF2C,SMAD1,SMAD9	
Cellular Effects of Sildenafil (Viagra)	-0E00		5.00E-01	ACTG1,ADCY1,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNA2D4,Cacnb1,CALM1 (includes others),GUCY1A1,GUCY2C,GUCY2D,GUCY2F,KCNN2,MYH10,MYH11,MYL1,MYL9,MYO18A,MYO1H,NPR1,PDE2A,PDE3A,PDE4A,PDE4D,PLCB1,PLCB4,PLCD3,PLCL2,PRKAG1,PRKAR1A,PRKAR2A	
Ceramide Signaling	-0E00	-0.5773502691896258	4.12E-01	CERK,KSR1,MAP2K4,MRAS,NFKB1,PIK3C2B,PIK3CA,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PTPA,RASD2	
Chemokine Signaling	-0E00	-0.4472135954999579	2.61E-01	CALM1 (includes others),CAMK2D,MRAS,PLCB1,PLCB4,RASD2	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	-1.414213562373095	2.97E-01	Cdc42,EGFR,MAP2K4,MEF2C,MRAS,PLCB1,PLCB4,RASD2,RHOBTB2,RHOC,SOS1	
Choline Degradation I	-0E00		5.00E-01	CHDH	
Chronic Myeloid Leukemia Signaling	-0E00		3.75E-01	CDKN1B,E2F2,HDAC2,HDAC6,HDAC7,MRAS,NFKB1,PA2G4,PIK3C2B,PIK3CA,RASD2,RBL2,SOS1,STAT5A,TGFBR1	
Circadian Rhythm Signaling	-0E00		4.81E-01	ADCY1,ADCY9,ARNTL,BLK,CACNA1A,CACNA1B,CACNA1G,CACNA2D1,CACNA2D4,Cacnb1,CAMK2D,CLOCK,CTH,FRK,GNA11,GNB5,GRIA1,GRIA3,GRIA4,GRIN1,GRIN2C,GRIN2D,GRIN3A,GRINA,GSK3B,GUCY1A1,GUCY2C,GUCY2D,GUCY2F,Gucy2g,HIF1A,MAP2K4,MKNK2,MLST8,MRAS,NOS1,NPR1,NR1D1,PLCB1,PLCB4,PLCD3,PLCL2,PRKAB2,PRKAG1,PRKAR1A,PRKAR2A,RACK1,RASD2,RORA,RYR1,RYR3,TRPC7	
Clathrin-mediated Endocytosis Signaling	-0E00		3.94E-01	ACTG1,ACTR2,AP1G1,AP1S1,AP2A1,AP2M1,APOD,ARPC1B,ARPC2,ARPC3,ARPC4,ARRB2,CSNK2B,FGF20,HIP1R,ITGB1,LDLRAP1,MYO6,NUMB,PIK3C2B,PIK3CA,RAB7A,RPS27A,SNAP91,UBA52,USP9X	
Colorectal Cancer Metastasis Signaling	-0E00	-1.4596008983995234	4.24E-01	ADCY1,ADCY9,APC,APPL1,Cdc42,EGFR,FZD8,GNA11,GNB5,GRK3,GSK3B,GUCY1A1,LRP1,LRP6,MAP2K4,MRAS,MSH2,MSH3,MSH6,NFKB1,NOS2,PIK3C2B,PIK3CA,PRKAG1,PRKAR1A,PRKAR2A,RASD2,RHOBTB2,RHOC,SOS1,TCF7L1,TGFBR1,TLR3,WNT4,WNT5B,WNT9A	
Corticotropin Releasing Hormone Signaling	-0E00	-1.0	4.50E-01	ADCY1,ADCY9,CACNA1A,CACNA1B,CACNA1G,CACNA2D1,CACNA2D4,CALM1 (includes others),CRHR2,CTH,GLI2,GUCY1A1,GUCY2C,GUCY2D,GUCY2F,Gucy2g,IVL,KRT1,MEF2C,NOS1,NOS2,NPR1,NR4A1,PRKAG1,PRKAR1A,PRKAR2A,PTCH1	
Cysteine Biosynthesis III (mammalia)	-0E00	2.4494897427831783	5.00E-01	AHCYL2,CTH,EEF1AKMT1,MAT2B,PRMT1,PRMT5	
Cysteine Biosynthesis/Homocysteine Degradation	-0E00		5.00E-01	CTH	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00		3.33E-01	CYC1	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	-0E00		5.00E-01	INPP5F,OCRL,PTEN	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	-0E00	-1.3416407864998738	3.33E-01	PI4K2A,PIP4K2A,PLCB1,PLCB4,PLCD3	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	0.0	4.41E-01	ALPL,ENTPD6,FIG4,IGBP1,INPP5F,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PPP4R1,PPP5C,PRUNE1,PSPH,PTEN,PTPA,PTPN1,PTPRF,PTPRN,RNGTT,SACM1L,SET,SSH3,WBP11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	0.0	4.41E-01	ALPL,ENTPD6,FIG4,IGBP1,INPP5F,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PPP4R1,PPP5C,PRUNE1,PSPH,PTEN,PTPA,PTPN1,PTPRF,PTPRN,RNGTT,SACM1L,SET,SSH3,WBP11	
D-myo-inositol-5-phosphate Metabolism	-0E00	-0.3779644730092272	4.36E-01	ALPL,ENTPD6,FIG4,IGBP1,INPP5F,OCRL,PGAM5,PIP4K2A,PLCB1,PLCB4,PLCD3,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PPP4R1,PPP5C,PRUNE1,PSPH,PTEN,PTPA,PTPN1,PTPRF,PTPRN,RNGTT,SACM1L,SET,SSH3,WBP11	
DNA Double-Strand Break Repair by Homologous Recombination	-0E00		5.00E-01	BRCA1,LIG1,MRE11,POLA1,RAD51,RPA1	
DNA Double-Strand Break Repair by Non-Homologous End Joining	-0E00		3.33E-01	MRE11,PARP1,XRCC5,XRCC6	
Death Receptor Signaling	-0E00	0.0	5.20E-01	ACIN1,ACTG1,CASP10,CASP2,CYC1,MAP2K4,NFKB1,PARP1,PARP3,SPTAN1,TBK1,TNKS,TNKS2	
Dendritic Cell Maturation	-0E00	-1.2909944487358056	4.69E-01	COL11A2,COL2A1,DDR2,FSCN2,IRF8,MAP2K4,NFKB1,PIK3C2B,PIK3CA,PLCB1,PLCB4,PLCD3,PLCL2,TAB1,TLR3	
