© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.darkgreen
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	MM.darkgreen
Date	Tue Apr 26 16:05:16 PDT 2022
Analysis ID	39446111

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression pvalue
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression other	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.darkgreen
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Acute Phase Response Signaling	-0E00	-1.1547005383792517	4.17E-01	A2M,ITIH3,ITIH4,KLKB1,MAP2K4,MAP2K7,MAP3K1,MAPK14,NFKB1,PDPK1,PIK3R3,RALA,SOCS7,SOD2,TAB1	
Adrenomedullin signaling pathway	-0E00	0.7844645405527362	3.62E-01	ADCY1,ADCY8,ADCY9,CALM1 (includes others),CSK,GAD1,GNA11,GNAS,GUCY1B1,GUCY2F,HIF1A,KCNN2,MAP2K4,MAP2K7,MAPK10,MAPK14,MYLK,NFKB1,NPR1,PIK3R3,PLCB1,PLCD3,PRKAG1,PRKAR2B,PRKG1,RALA,SHC2,TFAP2A,TTN	
Agrin Interactions at Neuromuscular Junction	-0E00	0.9045340337332909	4.29E-01	ACTC1,ACTG1,AGRN,ITGA4,ITGB1,LAMC1,MAP2K4,MAPK10,NRG1,PAK1,PXN,RALA	
Aldosterone Signaling in Epithelial Cells	-0E00	0.6324555320336759	3.95E-01	AHCY,CRYAB,DNAJB11,DNAJB12,DNAJB9,DNAJC11,DNAJC14,DNAJC21,DNAJC25,DNAJC7,DNAJC9,HSPA12A,HSPA12B,HSPA5,HSPA8,HSPA9,HSPD1,KCNMA1,PDPK1,PIK3R3,PIKFYVE,PLCB1,PLCD3,PRKCE,PRKCQ,SACS,SGK1,SLC9A1,SMO,TRAP1	
All-trans-decaprenyl Diphosphate Biosynthesis	-0E00		5.00E-01	PDSS2	
Amyloid Processing	-0E00	0.0	3.33E-01	BACE1,CAPN1,CAPN3,CSNK2B,MAPK14,PRKAG1,PRKAR2B,PRKCE	
Amyotrophic Lateral Sclerosis Signaling	-0E00	2.9824045403173027	3.82E-01	ALS2,CAPN1,CAPN3,CASP7,CAT,GLUL,GPX1,GRID1,GRID2,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2D,GRINA,HECW1,NAIP,NEFH,PAK1,PIK3R3	
Androgen Signaling	-0E00	-0.3333333333333333	3.90E-01	CALM1 (includes others),EP300,ERCC2,GNA11,GNAO1,GNAS,GNB5,GTF2H3,GTF2H4,NCOA2,NFKB1,POLR2A,POLR2B,POLR2D,POLR2H,PRKAG1,PRKAR2B,PRKCE,PRKCQ,TAF1,TAF2,TAF6,TBP	
Angiopoietin Signaling	-0E00	1.1338934190276817	2.58E-01	ANGPT1,NFKB1,PAK1,PIK3R3,RALA,STAT5A,STAT5B,TIE1	
Antigen Presentation Pathway	-0E00		5.00E-01	PSMB6	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	1.0	2.57E-01	CDKN1B,GAD1,GNB5,GUCY1B1,GUCY2F,NPR1,PIK3R3,PTPN6,RALA	
Apelin Cardiac Fibroblast Signaling Pathway	-0E00		2.50E-01	PRKAG1	
Apelin Cardiomyocyte Signaling Pathway	-0E00	0.0	4.10E-01	CAT,GNA11,HIF1A,MAPK10,MAPK14,MYL1,MYL9,MYLK,PIK3R3,PLCB1,PLCD3,PRKCE,PRKCQ,SLC8A1,SLC8A2,SLC9A1	
Apelin Endothelial Signaling Pathway	-0E00	1.1470786693528088	4.12E-01	ADCY1,ADCY8,ADCY9,ANGPT1,CALM1 (includes others),GNA11,GNAO1,GNAS,GNB5,GUCY1B1,HIF1A,MAP2K4,MAPK10,NFKB1,PIK3R3,PLCB1,PRKAG1,PRKCE,PRKCQ,RALA,RPS6KB2	
Apelin Muscle Signaling Pathway	-0E00		4.62E-01	GNA11,GNAO1,GNAS,GNB5,NRF1,PRKAG1	
Apelin Pancreas Signaling Pathway	-0E00	0.0	4.00E-01	EIF2AK3,ERN1,MAP2K4,MAPK10,NFKB1,PIK3R3,PRKAG1,PRKAR2B	
Apoptosis Signaling	-0E00	-1.1470786693528088	5.00E-01	ACIN1,AIFM1,BIRC6,CAPN1,CAPN3,CASP10,CASP2,CASP7,CDK1,ENDOG,MAP2K4,MAP2K7,NAIP,NFKB1,PARP1,PRKCE,PRKCQ,RALA,SPTAN1	
Assembly of RNA Polymerase II Complex	-0E00	-1.507556722888818	4.40E-01	ERCC2,GTF2H3,GTF2H4,POLR2A,POLR2B,POLR2D,POLR2H,TAF1,TAF2,TAF6,TBP	
Assembly of RNA Polymerase III Complex	-0E00		5.00E-01	GTF3C1,SF3A1,TBP	
Autophagy	-0E00	1.6222142113076254	5.00E-01	ATG101,ATR,BECN1,BIRC6,CALM1 (includes others),CDKN1B,CHP1,CREB3L3,EIF2A,EIF2AK3,EPG5,ERN1,GABARAPL1,HIF1A,MAP1LC3A,MAP2K4,MAP2K7,MAPK10,NFKB1,PI4K2A,PIK3R3,PPP2R5E,PRKAG1,PRKAR2B,PRKCQ,PTPA,RAB7A,RALA,RB1CC1,SLC7A5,SQSTM1,STK11,TBK1,TSC2,VPS18,VPS33A,VPS33B,VPS41	
Axonal Guidance Signaling	-0E00		4.20E-01	ACE,ACTR2,ADAM17,ADAMTS12,ADAMTS6,ARPC1B,ARPC3,ARPC4,BAIAP2,BMP2,CHMP1A,CHP1,EPHB1,FZD4,FZD5,FZD8,GLI2,GNA11,GNAO1,GNAS,GNB5,ITGA4,ITGA8,ITGAV,ITGB1,ITGB2,ITSN1,KCNJ12,L1CAM,MYL1,MYL9,NTN1,PAK1,PIK3R3,PLCB1,PLCD3,PLXNA2,PLXNB1,PMPCB,PRKAG1,PRKAR2B,PRKCE,PRKCQ,PSMD14,PTCH1,PXN,RALA,ROBO1,ROBO2,SDCBP,SEMA6B,SEMA6C,SLIT2,SMO,SUFU,TUBA1A,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA3E,TUBA4A,TUBB2B,TUBB4A,UNC5B,WAS,WNT11,WNT4,WNT5B	
B Cell Receptor Signaling	-0E00	0.8528028654224417	3.48E-01	BCL6,CALM1 (includes others),CAMK2D,CD22,CREB3L3,CSK,ETS1,LYN,MAP2K4,MAP2K7,MAP3K1,MAP3K12,MAP3K4,MAPK14,NFKB1,OCRL,PAX5,PDPK1,PIK3R3,PRKCQ,PTPN6,RALA,RPS6KB2	
BER (Base Excision Repair) Pathway	-0E00	-1.8073922282301278	5.17E-01	APEX1,FEN1,HUWE1,LIG1,MAP2K4,MAP2K7,MPG,PARP1,PCNA,POLG,RFC2,RFC3,RPA1,TDG,UNG	
BEX2 Signaling Pathway	-0E00	0.7071067811865475	4.00E-01	HIF1A,MAP2K4,MAPK10,NFKB1,PPP2R5E,PTPA,TCF7L1,TSC2	
BMP signaling pathway	-0E00	0.8320502943378437	4.19E-01	BMP2,CHRD,MAP2K4,MAPK10,MAPK14,NFKB1,PRKAG1,PRKAR2B,RALA,SMAD1,SMAD4,SMAD9,TAB1	
Basal Cell Carcinoma Signaling	-0E00	0.0	5.00E-01	BMP2,FZD4,FZD5,FZD8,GLI2,PTCH1,SMO,SUFU,TCF7L1,WNT11,WNT4,WNT5B	
Biotin-carboxyl Carrier Protein Assembly	-0E00		5.00E-01	ACACA	
Bladder Cancer Signaling	-0E00	2.0	3.57E-01	E2F2,FGF20,FGFR3,HDAC2,HDAC6,HDAC7,PA2G4,RALA,RASSF1,RPS6KA5	
Branched-chain α-keto acid Dehydrogenase Complex	-0E00		3.33E-01	DLD	
Breast Cancer Regulation by Stathmin1	-0E00	2.3937749957251055	4.43E-01	ADGRD1,ADGRL1,ADGRL4,ARHGEF1,ARHGEF17,ARHGEF4,AURKB,AVPR1A,CAMK2D,CCKAR,CCND2,CDK1,CDKN1B,CREB3L3,E2F2,FSHR,FZD4,FZD5,FZD8,GABBR1,GABBR2,GNB5,GPR139,GPR179,GPR52,GPR84,GRM2,GRM3,HIF1A,HRH2,HTR7,LGR4,LHCGR,NFKB1,NMUR2,OXTR,PAK1,PIK3R3,PLCB1,PPP1CA,PPP1CC,PPP1R3D,PPP2R5E,PRKAG1,PRKAR2B,PRKCE,PRKCQ,PTPA,RALA,RB1CC1,RXFP1,RXFP2,SHC2,SMO,SSTR4,TACR2,TSG101,TSHR,TUBA1A,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA3E,TUBA4A,TUBB2B,TUBB4A	
CCR3 Signaling in Eosinophils	-0E00	1.8973665961010275	3.49E-01	CALM1 (includes others),GNA11,GNAO1,GNAS,GNB5,MAPK14,MYLK,PAK1,PIK3R3,PLA2G3,PLA2G4A,PLCB1,PRKCE,PRKCQ,RALA	
CCR5 Signaling in Macrophages	-0E00	-0.3779644730092272	4.00E-01	CALM1 (includes others),GNA11,GNAO1,GNAS,GNB5,MAP2K4,MAPK10,MAPK14,PRKCE,PRKCQ	
CD27 Signaling in Lymphocytes	-0E00	1.1338934190276817	3.68E-01	MAP2K4,MAP2K7,MAP3K1,MAP3K12,MAP3K4,MAPK10,NFKB1	
CD28 Signaling in T Helper Cells	-0E00	-1.212678125181665	4.36E-01	ACTR2,ARPC1B,ARPC3,ARPC4,CALM1 (includes others),CHP1,CSK,MAP2K4,MAP3K1,MAPK10,NFKB1,PAK1,PDPK1,PIK3R3,PRKCQ,PTPN6,WAS	
CD40 Signaling	-0E00	0.8164965809277261	2.86E-01	MAP2K4,MAP2K7,MAPK10,MAPK14,NFKB1,PIK3R3	
CDK5 Signaling	-0E00	0.24253562503633297	4.17E-01	ADCY1,ADCY8,ADCY9,CAPN1,GNAS,GUCY1B1,ITGB1,LAMA1,LAMA5,LAMC1,MAPK10,MAPK14,PPP1CA,PPP1CC,PPP1R3D,PPP2R5E,PRKAG1,PRKAR2B,PTPA,RALA	
CDP-diacylglycerol Biosynthesis I	-0E00		8.33E-02	GPAT3	
CLEAR Signaling Pathway	-0E00	-0.7001400420140048	4.55E-01	ATP6V1B1,ATP6V1F,BECN1,CHP1,CLCN7,CLN3,CREB3L3,CTNS,CTSF,EIF2AK3,EP300,FGFR1,FGFR3,FLT1,GALNS,GBA,GLB1,GNS,GUSB,HEXB,HIF1A,IGF1R,IGF2R,M6PR,MAP4K3,MAPK14,NAGLU,NPRL2,NPRL3,PDGFRB,PLBD2,PPP2R5E,PRKAG1,PRKCE,PRKCQ,PRKN,PTPA,RAB7A,RALA,SCPEP1,SESN2,SLC36A1,STK11,TGFBR1,TLR3,TSC2,VPS18,VPS33A,VPS35,WDR59,YWHAE	
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes)	-0E00		5.00E-01	NAGK	
CNTF Signaling	-0E00	2.0	1.90E-01	PIK3R3,RALA,RPS6KA5,RPS6KB2	
CREB Signaling in Neurons	-0E00	2.7339671305973012	4.24E-01	ADCY1,ADCY8,ADCY9,ADGRD1,ADGRL1,ADGRL4,AVPR1A,CALM1 (includes others),CAMK2D,CCKAR,CREB3L3,EP300,FGFR1,FGFR3,FLT1,FSHR,FZD4,FZD5,FZD8,GABBR1,GABBR2,GNA11,GNAO1,GNAS,GNB5,GPR139,GPR179,GPR52,GPR84,GRID1,GRID2,GRIK2,GRIK3,GRIK4,GRIK5,GRIN1,GRIN2D,GRM2,GRM3,GUCY1B1,HRH2,HTR7,IGF1R,IGF2R,LGR4,LHCGR,NMUR2,OXTR,PDGFRB,PIK3R3,PLCB1,PLCD3,POLR2A,POLR2B,POLR2D,POLR2H,PRKAG1,PRKAR2B,PRKCE,PRKCQ,RALA,RXFP1,RXFP2,SHC2,SMO,SSTR4,TACR2,TBP,TGFBR1,TSHR	
CSDE1 Signaling Pathway	-0E00	-0.3779644730092272	3.81E-01	AGO3,CDK11A,CNOT6,EDC3,PABPC3,PUM1,SNAI1,SYNCRIP	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		2.50E-01	AP1S1,AP2A1,AP2M1,PIK3R3,PPP2R5E,PTPA,PTPN6	
CXCR4 Signaling	-0E00	0.7276068751089989	3.73E-01	ADCY1,ADCY8,ADCY9,GNA11,GNAO1,GNAS,GNB5,GUCY1B1,LYN,MAP2K4,MAPK10,MYL1,MYL9,PAK1,PIK3R3,PLCB1,PRKCE,PRKCQ,PXN,RALA,RHOBTB2,RHOT1	
Calcium Signaling	-0E00	1.3416407864998738	4.38E-01	ACTC1,ASPH,ATP2B2,CABIN1,CALM1 (includes others),CAMK2D,CHP1,CHRFAM7A,CHRNA7,CHRNB2,CREB3L3,EP300,GRIN1,GRIN2D,GRINA,HDAC2,HDAC6,HDAC7,LETM1,MYH10,MYH11,MYH4,MYH7,MYL1,MYL9,MYO18A,MYO1H,PRKAG1,PRKAR2B,RYR1,RYR2,RYR3,SLC8A1,SLC8A2,TNNT3,TP63,TRPC5,TRPC7,TRPV6	
Calcium Transport I	-0E00		3.33E-01	ATP2B2	
Calcium-induced T Lymphocyte Apoptosis	-0E00	1.6329931618554523	5.00E-01	CABIN1,CALM1 (includes others),CHP1,EP300,HDAC2,NR4A1,PRKCE,PRKCQ	
Cancer Drug Resistance By Drug Efflux	-0E00		4.55E-01	ABCB1,ABCC1,ABCC10,ABCG2,FOXO6,NFKB1,PDK1,PIK3R3,RALA,YBX1	
Cardiac Hypertrophy Signaling	-0E00	-0.3651483716701107	3.58E-01	ADCY1,ADCY8,ADCY9,CALM1 (includes others),CHP1,EIF2B2,EIF2B4,EP300,GATA4,GNA11,GNAO1,GNAS,GNB5,GUCY1B1,IGF1R,MAP2K4,MAP2K7,MAP3K1,MAP3K12,MAP3K4,MAPK10,MAPK14,MYL1,MYL9,PIK3R3,PLCB1,PLCD3,PRKAG1,PRKAR2B,RALA,RHOBTB2,RHOT1,TAB1,TGFBR1	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	2.4618298195866544	4.48E-01	ACE,ACVR1,ACVR2B,ADCY1,ADCY8,ADCY9,APEX1,CALM1 (includes others),CAMK2D,CHP1,EIF2B2,EIF2B4,EP300,FGF20,FGFR1,FGFR3,FZD4,FZD5,FZD8,GATA4,GDPD3,GNA11,GNAS,GNB5,GUCY1B1,HDAC2,HDAC6,HDAC7,IGF1R,ITGA4,ITGA8,ITGAV,ITGB1,ITGB2,MAP2K4,MAP2K7,MAP3K1,MAP3K12,MAP3K4,MAPK10,MAPK14,MKNK2,NFKB1,NPR1,PDE11A,PDE12,PDE2A,PDE3A,PDE4A,PDE4D,PDE7A,PDK1,PIK3R3,PLCB1,PLCD3,PRKAG1,PRKAR2B,PRKCE,PRKCQ,PRKG1,RALA,RPS6KA5,RPS6KB2,RYR1,RYR2,RYR3,SMO,TDP2,TGFBR1,TSC2,WNT11,WNT4,WNT5B	
Cardiac β-adrenergic Signaling	-0E00	-0.22941573387056174	4.29E-01	ADCY1,ADCY8,ADCY9,AKAP1,AKAP17A,APEX1,GDPD3,GNA11,GNAO1,GNAS,GNB5,GUCY1B1,PDE11A,PDE12,PDE2A,PDE3A,PDE4A,PDE4D,PDE7A,PPP1CA,PPP1CC,PPP1R3D,PPP2R5E,PRKAG1,PRKAR2B,PTPA,RYR2,SLC8A1,SLC8A2,TDP2	
Cell Cycle Regulation by BTG Family Proteins	-0E00		5.00E-01	BTG2,CCNE1,E2F2,NOCT,PPP2R5E,PRMT1,PTPA	
Cellular Effects of Sildenafil (Viagra)	-0E00		4.53E-01	ACTC1,ACTG1,ADCY1,ADCY8,ADCY9,CALM1 (includes others),GNAS,GUCY1B1,GUCY2F,KCNN2,MYH10,MYH11,MYH4,MYH7,MYL1,MYL9,MYLK,MYO18A,MYO1H,NPR1,PDE2A,PDE3A,PDE4A,PDE4D,PLCB1,PLCD3,PRKAG1,PRKAR2B,PRKG1	
Ceramide Biosynthesis	-0E00		5.00E-01	SPTLC3	
Ceramide Signaling	-0E00	1.414213562373095	2.94E-01	CERK,KSR1,MAP2K4,MAP3K1,NFKB1,PIK3R3,PPP2R5E,PTPA,RALA,SMPD1	
Chemokine Signaling	-0E00	0.4472135954999579	2.17E-01	CALM1 (includes others),CAMK2D,MAPK14,PLCB1,RALA	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	1.0	2.70E-01	MAP2K4,MAPK10,MAPK14,PLCB1,PRKCE,PRKCQ,PXN,RALA,RHOBTB2,RHOT1	
Choline Degradation I	-0E00		5.00E-01	CHDH	
Chronic Myeloid Leukemia Signaling	-0E00		3.75E-01	CCND2,CDKN1B,CTBP1,E2F2,HDAC2,HDAC6,HDAC7,NFKB1,PA2G4,PIK3R3,RALA,SMAD4,STAT5A,STAT5B,TGFBR1	
Circadian Rhythm Signaling	-0E00		3.80E-01	ADCY1,ADCY8,ADCY9,ARNTL,BLK,CAMK2D,CLOCK,CREB3L3,FRK,GAD1,GNA11,GNAS,GNB5,GRIN1,GRIN2D,GRINA,GUCY1B1,GUCY2F,HIF1A,HLF,HSF1,LYN,MAP2K4,MAP2K7,MKNK2,NPR1,NR1D1,PLCB1,PLCD3,PRKAG1,PRKAR2B,PRKCE,PRKCQ,PRKG1,RALA,RORA,RPS6KA5,RYR1,RYR2,RYR3,TRPC7	
Citrulline-Nitric Oxide Cycle	-0E00		2.50E-01	ASL	
Clathrin-mediated Endocytosis Signaling	-0E00		4.39E-01	AAK1,ACTC1,ACTG1,ACTR2,AP1S1,AP2A1,AP2M1,APOD,ARPC1B,ARPC3,ARPC4,ARRB1,CHP1,CSNK2B,DNM1L,FGF20,HIP1,HSPA8,ITGB1,ITGB2,LDLRAP1,MYO6,PIK3R3,RAB7A,SH3GLB1,SNAP91,STAM,TSG101,USP9X	
Coagulation System	-0E00	1.0	4.44E-01	A2M,F5,KLKB1,SERPINC1	
Colorectal Cancer Metastasis Signaling	-0E00	0.6255432421712244	4.24E-01	ADCY1,ADCY8,ADCY9,APPL1,ARRB1,FZD4,FZD5,FZD8,GNA11,GNAO1,GNAS,GNB5,GUCY1B1,LRP1,LRP5,LRP6,MAP2K4,MAPK10,MSH2,MSH3,MSH6,NFKB1,PIK3R3,PRKAG1,PRKAR2B,RALA,RHOBTB2,RHOT1,SMAD4,SMO,TCF7L1,TGFBR1,TLR3,WNT11,WNT4,WNT5B	
Coronavirus Pathogenesis Pathway	-0E00	-0.19245008972987526	4.62E-01	ACE,ADAM17,CCNE1,CTSL,DPP9,E2F2,EIF2A,EIF2AK3,EP300,FURIN,HDAC2,HDAC6,HDAC7,HIF1A,MAP2K4,MAPK10,MAPK14,NFKB1,NLRP3,NPC1,NUP98,PA2G4,PIKFYVE,RAB7A,SMAD4,TBK1,TGFBR1,TLR3,TNPO2,TOMM70	
Corticotropin Releasing Hormone Signaling	-0E00	0.0	3.67E-01	ADCY1,ADCY8,ADCY9,CALM1 (includes others),CREB3L3,GAD1,GLI2,GNAO1,GNAS,GUCY1B1,GUCY2F,IVL,KRT1,MAPK14,NPR1,NR4A1,PRKAG1,PRKAR2B,PRKCE,PRKCQ,PTCH1,SMO	
Cyclins and Cell Cycle Regulation	-0E00	-2.1105794120443453	5.14E-01	ATR,CCNA2,CCNB2,CCNB3,CCND2,CCNE1,CDK1,CDKN1B,E2F2,FBXL5,HDAC2,HDAC6,HDAC7,MYT1,PA2G4,PPP2R5E,PTPA,SKP1	
Cysteine Biosynthesis III (mammalia)	-0E00	-2.4494897427831783	5.00E-01	AHCY,AHCYL2,EEF1AKMT1,FTSJ1,PRMT1,PRMT5	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	-0E00		3.33E-01	ITPKB,OCRL	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	-0E00	2.0	2.67E-01	PI4K2A,PIKFYVE,PLCB1,PLCD3	
D-myo-inositol (1,4,5)-trisphosphate Degradation	-0E00		3.33E-01	BPNT1,OCRL	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	1.8	4.41E-01	ALPL,DUSP10,DUSP12,DUSP8,ENTPD6,MDP1,NOCT,OCRL,PGAM5,PIKFYVE,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP1R3D,PPP2R5E,PPP4R1,PRUNE1,PSPH,PTPA,PTPN1,PTPN13,PTPN23,PTPN6,PTPRF,PTPRJ,RNGTT,SACM1L,SSH3,UBLCP1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	1.8	4.41E-01	ALPL,DUSP10,DUSP12,DUSP8,ENTPD6,MDP1,NOCT,OCRL,PGAM5,PIKFYVE,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP1R3D,PPP2R5E,PPP4R1,PRUNE1,PSPH,PTPA,PTPN1,PTPN13,PTPN23,PTPN6,PTPRF,PTPRJ,RNGTT,SACM1L,SSH3,UBLCP1	
D-myo-inositol-5-phosphate Metabolism	-0E00	2.116950987028628	4.10E-01	ALPL,DUSP10,DUSP12,DUSP8,ENTPD6,MDP1,NOCT,OCRL,PGAM5,PIKFYVE,PLCB1,PLCD3,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP1R3D,PPP2R5E,PPP4R1,PRUNE1,PSPH,PTPA,PTPN1,PTPN13,PTPN23,PTPN6,PTPRF,PTPRJ,RNGTT,SACM1L,SSH3,UBLCP1	
DNA Double-Strand Break Repair by Non-Homologous End Joining	-0E00		5.00E-01	LIG4,NBN,PARP1,RAD50,XRCC5,XRCC6	
Dendritic Cell Maturation	-0E00	0.8320502943378437	4.06E-01	COL2A1,CREB3L3,DDR2,IRF8,MAP2K4,MAPK10,MAPK14,NFKB1,PIK3R3,PLCB1,PLCD3,TAB1,TLR3	
Diphthamide Biosynthesis	-0E00		3.33E-01	DPH6	
Docosahexaenoic Acid (DHA) Signaling	-0E00		1.67E-01	PDPK1,PIK3R3	
Dolichyl-diphosphooligosaccharide Biosynthesis	-0E00		3.33E-01	ALG3,ALG5	
Dopamine Receptor Signaling	-0E00	-0.4472135954999579	4.55E-01	ADCY1,ADCY8,ADCY9,GUCY1B1,PPP1CA,PPP1CC,PPP1R3D,PPP2R5E,PRKAG1,PRKAR2B,PTPA,PTS,QDPR,SLC6A3,SMOX	
