Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	0.00E+00		1.32E-01	"ALPL,ENTPD6,INPP5F,NUDT11,OCRL,PTPA,PTPN11,RASA1,RNGTT"
D-myo-inositol-5-phosphate Metabolism	0.00E+00		1.54E-01	"ALPL,ENTPD6,INPP5F,NUDT11,OCRL,PLCD3,PLCG1,PLCZ1,PTPA,PTPN11,RASA1,RNGTT"
DNA Double-Strand Break Repair by Homologous Recombination	0.00E+00		2.50E-01	"ATRX,RAD50,RAD51"
DNA Methylation and Transcriptional Repression Signaling	0.00E+00		2.31E-01	"DNMT1,HDAC2,RBBP7"
Dendritic Cell Maturation	0.00E+00		1.56E-01	"COL2A1,FSCN2,PLCD3,PLCG1,PLCZ1"
Dilated Cardiomyopathy Signaling Pathway	0.00E+00		2.50E-01	"ABCC9,ACTC1,ACTG1,ADCY1,CACNA1A,CACNA1G,CAMK2D,GUCY1B1,LAMA4,MYL1,MYL9,MYO1H,PTPN11,SCN5A"
Dopamine Receptor Signaling	0.00E+00		9.09E-02	"ADCY1,GUCY1B1,PTPA"
Dopamine-DARPP32 Feedback in cAMP Signaling	0.00E+00		1.67E-01	"ADCY1,ATP2A1,CACNA1A,CALM1 (includes others),CAMKK1,GRIN2D,GUCY1B1,PLCD3,PLCG1,PLCZ1,PRKG1,PTPA"
EGF Signaling	0.00E+00		2.27E-01	"CSNK2B,EGFR,PLCG1,RASA1,SOS1"
ERB2-ERBB3 Signaling	0.00E+00		1.60E-01	"CCND1,MRAS,RASD2,SOS1"
ERBB Signaling	0.00E+00		1.71E-01	"EGFR,MRAS,PAK1,PLCG1,RASD2,SOS1"
ERBB4 Signaling	0.00E+00		1.48E-01	"MRAS,PLCG1,RASD2,SOS1"
ERK/MAPK Signaling	0.00E+00		2.08E-01	"BRAF,ETS1,ITGA2B,ITGA8,KSR1,MKNK2,MRAS,PAK1,PLCG1,PTPA,RAPGEF4,RASD2,SOS1,TLN1,VRK2"
Endocannabinoid Cancer Inhibition Pathway	0.00E+00		1.96E-01	"ADCY1,CASP2,CASQ1,CCND1,EIF2A,GUCY1B1,MLST8,PRKAB2,SMPD1,SMPD2,TRIB3"
Endocannabinoid Developing Neuron Pathway	0.00E+00		1.32E-01	"ADCY1,BRAF,CCND1,GUCY1B1,MLST8,MRAS,RASD2"
Endocannabinoid Neuronal Synapse Pathway	0.00E+00		2.13E-01	"ADCY1,CACNA1A,CACNA1G,GRIA2,GRIA3,GRIA4,GRIN2D,GUCY1B1,NDUFS2,PLCD3,PLCG1,PLCZ1,RIMS1"
Endometrial Cancer Signaling	0.00E+00		1.67E-01	"CCND1,MRAS,RASD2,SOS1"
Endoplasmic Reticulum Stress Pathway	0.00E+00		1.25E-01	DNAJC3
Ephrin A Signaling	0.00E+00		1.11E-01	"PAK1,PTPN11"
Ephrin B Signaling	0.00E+00		1.74E-01	"EPHB1,ITSN2,MRAS,PAK1"
Ephrin Receptor Signaling	0.00E+00		2.12E-01	"ANGPT1,ARPC1B,ARPC3,ARPC4,EPHB1,GRIN2D,ITGA2B,ITGA8,MRAS,PAK1,PTPN11,RASA1,RASD2,SOS1"
Epithelial Adherens Junction Signaling	0.00E+00		1.97E-01	"ARPC1B,ARPC3,ARPC4,EGFR,FGFR1,MRAS,NOTCH1,NOTCH2,PAK1,PRKAB2,PTPA,RASD2,TGFBR1,VCL"
Erythropoietin Signaling Pathway	0.00E+00		1.62E-01	"CCND1,MRAS,PLCG1,RASD2,SHC2,SOS1"
Estrogen-Dependent Breast Cancer Signaling	0.00E+00		2.41E-01	"CCND1,EGFR,HSD17B12,HSD17B4,HSD17B8,MRAS,RASD2"
Extrinsic Prothrombin Activation Pathway	0.00E+00		2.50E-01	SERPINC1
FAK Signaling	0.00E+00		2.04E-01	"ARPC1B,ARPC3,ARPC4,CAPN3,CAPN7,CCKAR,CCND1,COL2A1,EGFR,ETS1,FSHR,GABBR2,GIT2,GPR84,GRM6,HTR1A,HTR7,ITGA2B,ITGA8,LHCGR,MRAS,NPY5R,PAK1,PLCG1,RASA1,RASD2,RXFP2,SOS1,SPARCL1,TACR2,TGFBR1"
FAT10 Cancer Signaling Pathway	0.00E+00		1.82E-01	"PCNA,TGFBR1"
FAT10 Signaling Pathway	0.00E+00		2.42E-01	"PSMA1,PSMA2,PSMA6,PSMB10,PSMC2,PSMC4,PSME4,UBA1"
FGF Signaling	0.00E+00		2.33E-01	"FGF20,FGF6,FGFR1,FGFRL1,PLCG1,PTPN11,SOS1"
FLT3 Signaling in Hematopoietic Progenitor Cells	0.00E+00		1.60E-01	"MRAS,PTPN11,RASD2,SOS1"
Factors Promoting Cardiogenesis in Vertebrates	0.00E+00		2.22E-01	"CAMK2D,CCND1,GATA4,LRP1,LRP6,PLCD3,PLCG1,PLCZ1,SCN5A,TBX5,TGFBR1,WNT4"
Fatty Acid β-oxidation I	0.00E+00		1.67E-01	"ECI2,HSD17B4,SCP2"
Fc Epsilon RI Signaling	0.00E+00		1.71E-01	"INPP5F,MRAS,OCRL,PLCG1,PTPN11,RASD2,SOS1"
FcγRIIB Signaling in B Lymphocytes	0.00E+00		1.92E-01	"CACNA1A,CACNA1G,MRAS,RASD2,SOS1"
Folate Transformations I	0.00E+00		2.00E-01	MTR
G Beta Gamma Signaling	0.00E+00		2.25E-01	"ADCY1,CACNA1A,CACNA1G,EGFR,MRAS,PAK1,PLCG1,RASD2,SOS1"
G Protein Signaling Mediated by Tubby	0.00E+00		1.43E-01	"MRAS,PLCG1"
G-Protein Coupled Receptor Signaling	0.00E+00		1.78E-01	"ADCY1,APEX1,BRAF,CALM1 (includes others),CAMK2D,CCKAR,CCND1,CNGA3,CNGB3,FSHR,GABBR2,GPR84,GRM6,GUCY1B1,HTR1A,HTR7,KCNN2,LHCGR,MRAS,MRTFA,MYL1,MYL9,NPY5R,PAK1,PDE1B,PDE8A,PLCG1,RAPGEF4,RASA1,RASD2,RXFP2,SHC2,SMPDL3B,SOS1,TACR2"
GDNF Family Ligand-Receptor Interactions	0.00E+00		2.40E-01	"MRAS,PLCG1,RASA1,RASD2,RET,SOS1"
GDP-glucose Biosynthesis	0.00E+00		2.50E-01	PGM1
GNRH Signaling	0.00E+00		1.62E-01	"ADCY1,CACNA1A,CACNA1G,CALM1 (includes others),CAMK2D,EGFR,GUCY1B1,MRAS,PAK1,RASD2,SOS1"
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	0.00E+00		2.00E-01	"ADCY1,CCKAR,GUCY1B1,PLCD3,PLCG1,PLCZ1"
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	0.00E+00		2.05E-01	"ADCY1,CACNA1A,CACNA1G,GUCY1B1,PLCD3,PLCG1,PLCZ1,RAPGEF4"
Germ Cell-Sertoli Cell Junction Signaling	0.00E+00		2.25E-01	"A2M,ACTC1,ACTG1,LAMC3,MRAS,PAK1,RASD2,RHOT1,TGFBR1,TUBA1A,TUBA1B,TUBA3E,TUBA4A,TUBB2B,TUBB4A,VCL"
Glioblastoma Multiforme Signaling	0.00E+00		2.17E-01	"CCND1,EGFR,MRAS,NF1,PLCD3,PLCG1,PLCZ1,RASD2,RHOT1,SHC2,SOS1,TSC2,WNT4"
Glioma Invasiveness Signaling	0.00E+00		1.54E-01	"MRAS,PLG,RASD2,RHOT1"
Glutamate Degradation III (via 4-aminobutyrate)	0.00E+00		2.50E-01	ABAT
Glutaryl-CoA Degradation	0.00E+00		1.82E-01	"GCDH,HSD17B4"
Granulocyte Adhesion and Diapedesis	0.00E+00		9.09E-02	MMP17
Growth Hormone Signaling	0.00E+00		1.11E-01	"A2M,PLCG1,RPS6KB2"
Guanosine Nucleotides Degradation III	0.00E+00		1.67E-01	NT5C3B
Gustation Pathway	0.00E+00		2.50E-01	"ABCC9,ADCY1,CACNA1A,CACNA1G,GABRA6,GABRR2,GUCY1B1,HTR1A,KCNN2,LIPA,ORAI2,PNLIP,SCN5A"
Gα12/13 Signaling	0.00E+00		1.39E-01	"MRAS,MYL1,MYL9,RASA1,RASD2"
Gαi Signaling	0.00E+00		2.05E-01	"ADCY1,GABBR2,GRM6,GUCY1B1,HTR1A,MRAS,RASD2,SHC2,SOS1"
Gαq Signaling	0.00E+00		1.37E-01	"ARHGEF25,CALM1 (includes others),GYS2,MRAS,PLCG1,PLD1,RHOT1"
Gαs Signaling	0.00E+00		2.33E-01	"ADCY1,BRAF,CNGA3,CNGB3,FSHR,GUCY1B1,HTR7,LHCGR,MRAS,RAPGEF4"
HER-2 Signaling in Breast Cancer	0.00E+00		2.47E-01	"BLK,BRAF,CCND1,COPS6,COX15,EGFR,ETS1,KPNB1,MLST8,MRAS,NUP37,NUP43,NUP93,PLCG1,RASD2,RPS6,RPS6KB2,SOS1,TSC2"
HGF Signaling	0.00E+00		1.92E-01	"CCND1,ETS1,ITGA2B,ITGA8,MRAS,PAK1,PLCG1,PTPN11,RASD2,SOS1"
HIF1α Signaling	0.00E+00		1.97E-01	"APEX1,BRAF,CAMK2D,HSPA8,MKNK2,MMP17,MRAS,NAA10,PLCG1,RACK1,RASD2,RPS6,RPS6KB2"
HIPPO signaling	0.00E+00		1.89E-01	"DLG1,DLG5,PATJ,PTPA,RASSF1,SCRIB,SKP1"
HMGB1 Signaling	0.00E+00		1.14E-01	"MRAS,RASD2,RBBP7,RHOT1"
HOTAIR Regulatory Pathway	0.00E+00		1.50E-01	"HDAC2,MMP17,MRTFA,RBBP7,WIF1,WNT4"
Hepatic Cholestasis	0.00E+00		2.27E-01	"ABCC1,ABCC2,ADCY1,CYP27A1,GUCY1B1,IRAK4,NR1I2,NR5A2,SLC22A6,SLC4A2"
Hepatic Fibrosis Signaling Pathway	0.00E+00		1.77E-01	"BRAF,CACNA1A,CALM1 (includes others),CCND1,COL2A1,FGFR1,IRAK4,ITGA2B,ITGA8,LRP1,LRP6,MRAS,MYL1,MYL9,PLCG1,RASD2,RHOT1,RPS6KB2,SOD2,SOS1,TGFBR1,WNT4"
Histidine Degradation VI	0.00E+00		1.43E-01	HAL
Human Embryonic Stem Cell Pluripotency	0.00E+00		1.16E-01	"FGFR1,FGFRL1,MRAS,TGFBR1,WNT4"
Hypoxia Signaling in the Cardiovascular System	0.00E+00		1.56E-01	"P4HB,UBE2E3,UBE2Q2,UBE2R2,UBE2W"
ICOS-ICOSL Signaling in T Helper Cells	0.00E+00		1.20E-01	"CALM1 (includes others),CAMK2D,PLCG1"
ID1 Signaling Pathway	0.00E+00		2.43E-01	"BLK,BRAF,CCND1,CDC20,CHRNA7,CHRNA9,CHRNB2,CUL3,EGFR,ETS1,FGFR1,FGFRL1,MRAS,RASD2,TGFBR1,TYMS,WDR48"
IGF-1 Signaling	0.00E+00		2.16E-01	"CCN1,CSNK2B,MRAS,PTPN11,RASA1,RASD2,RPS6KB2,SOS1"
IL-1 Signaling	0.00E+00		1.08E-01	"ADCY1,GUCY1B1,IRAK4,MRAS"
IL-13 Signaling Pathway	0.00E+00		2.00E-01	"ANO1,BLK,CLCA1,SPDEF"
IL-15 Production	0.00E+00		2.25E-01	"BLK,CLK2,EGFR,EPHB1,FGFR1,RET,SRMS,TIE1,TXK"
IL-15 Signaling	0.00E+00		1.60E-01	"MLST8,MRAS,RASD2,RPS6KB2"
IL-17 Signaling	0.00E+00		1.07E-01	"Chil3/Chil4,MRAS,RASD2"
IL-17A Signaling in Gastric Cells	0.00E+00		1.67E-01	EGFR
IL-2 Signaling	0.00E+00		2.50E-01	"CSNK2B,MRAS,PTPN11,RASD2,SOS1"
IL-23 Signaling Pathway	0.00E+00		8.33E-02	RORA
IL-3 Signaling	0.00E+00		1.38E-01	"MRAS,PAK1,RASD2,SOS1"
IL-6 Signaling	0.00E+00		1.82E-01	"A2M,CSNK2B,MRAS,PTPN11,RASD2,SOS1"
IL-7 Signaling Pathway	0.00E+00		1.60E-01	"BCL6,CCND1,EBF1,SOS1"
IL-8 Signaling	0.00E+00		1.59E-01	"ANGPT1,BRAF,CCND1,EGFR,IRAK4,MRAS,MYL9,PLD1,RASD2,RHOT1"
ILK Signaling	0.00E+00		1.67E-01	"ACTC1,ACTG1,CCND1,FLNA,FLNC,MYL1,MYL9,MYO1H,PTPA,RHOT1,VCL"
Inflammasome pathway	0.00E+00		2.00E-01	NAIP
Inhibition of ARE-Mediated mRNA Degradation Pathway	0.00E+00		1.58E-01	"CNOT2,CNOT4,CNOT8,EXOSC6,PSMA1,PSMA2,PSMA6,PSMB10,PSMC2,PSMC4,PSME4,PTPA"
Insulin Receptor Signaling	0.00E+00		2.04E-01	"ACLY,EIF2B2,GYS2,INPP5F,MRAS,OCRL,PTPN11,RASD2,RPS6KB2,SOS1,TSC2"
Insulin Secretion Signaling Pathway	0.00E+00		2.32E-01	"ABCC9,ADCY1,CACNA1A,CACNA1G,CAMK2D,CCKAR,DLD,EIF2A,EIF2B2,EIF4G1,GUCY1B1,NALCN,NAPA,NSF,PCSK2,PDHA1,PDHB,PDHX,PLCD3,PLCG1,PLCZ1,RAPGEF4,RPS6KB2,SEC61G,SPCS3,SRP72"
Integrin Signaling	0.00E+00		2.44E-01	"ACTC1,ACTG1,ARPC1B,ARPC3,ARPC4,BRAF,CAPN3,CAPN7,ITGA2B,ITGA8,MRAS,MYL9,PAK1,PLCG1,RASD2,RHOT1,SOS1,TLN1,TSPAN5,VCL"
Isoleucine Degradation I	0.00E+00		1.82E-01	"DLD,HSD17B4"
JAK/STAT Signaling	0.00E+00		1.60E-01	"MRAS,PTPN11,RASD2,SOS1"
Ketogenesis	0.00E+00		2.50E-01	"BDH1,HMGCS1"
Ketolysis	0.00E+00		1.43E-01	BDH1
Kinetochore Metaphase Signaling Pathway	0.00E+00		2.29E-01	"AURKB,CDC16,CDC20,CDK1,H2AZ1,KAT5,KNTC1,PLK1"
LPS-stimulated MAPK Signaling	0.00E+00		9.38E-02	"MRAS,PAK1,RASD2"
Leptin Signaling in Obesity	0.00E+00		1.76E-01	"ADCY1,GUCY1B1,PLCD3,PLCG1,PLCZ1,PTPN11"
Leukocyte Extravasation Signaling	0.00E+00		1.57E-01	"ACTC1,ACTG1,MMP17,PLCG1,PTPN11,RAPGEF4,TXK,VCL"
Lipid Antigen Presentation by CD1	0.00E+00		1.43E-01	AP2A1
Lymphotoxin β Receptor Signaling	0.00E+00		6.25E-02	CYC1
MSP-RON Signaling In Cancer Cells Pathway	0.00E+00		2.25E-01	"BRAF,CCND1,EGFR,ETS1,F11,FLNA,MRAS,RASD2,SOS1"
MSP-RON Signaling In Macrophages Pathway	0.00E+00		1.67E-01	"F11,MRAS,RASD2,SOS1"
MSP-RON Signaling Pathway	0.00E+00		2.00E-01	"ACTC1,ACTG1,F11"
MYC Mediated Apoptosis Signaling	0.00E+00		8.33E-02	CASP2
Macropinocytosis Signaling	0.00E+00		1.72E-01	"MRAS,MRC1,PAK1,PLCG1,RASD2"
Maturity Onset Diabetes of Young (MODY) Signaling	0.00E+00		2.22E-01	"ABCC9,BLK,CACNA1A,GAPDH"
Mechanisms of Viral Exit from Host Cells	0.00E+00		2.50E-01	"ACTC1,ACTG1,LMNB2,SNF8"
Melanocyte Development and Pigmentation Signaling	0.00E+00		1.90E-01	"ADCY1,GUCY1B1,MRAS,PLCG1,PTPN11,RASD2,RPS6KB2,SOS1"
Melanoma Signaling	0.00E+00		2.22E-01	"BRAF,CCND1,MRAS,RASD2"
Melatonin Signaling	0.00E+00		2.26E-01	"BRAF,CALM1 (includes others),CAMK2D,PLCD3,PLCG1,PLCZ1,RORA"
Methylglyoxal Degradation III	0.00E+00		1.67E-01	AKR1B1
Methylmalonyl Pathway	0.00E+00		2.50E-01	MCEE
Mevalonate Pathway I	0.00E+00		1.43E-01	HMGCS1
Mitotic Roles of Polo-Like Kinase	0.00E+00		2.19E-01	"CCNB2,CCNB3,CDC16,CDC20,CDK1,PLK1,PTPA"
Molecular Mechanisms of Cancer	0.00E+00		1.80E-01	"ADCY1,BRAF,CAMK2D,CCND1,CDK1,CDK10,CDK8,DAXX,GUCY1B1,HDAC2,HDAC7,ITGA2B,ITGA8,LRP1,LRP6,MRAS,NAIP,NF1,NLK,NOTCH1,PAK1,PTPN11,RASA1,RASD2,RHOT1,SHC2,SOS1,TGFBR1,WNT4"
Mouse Embryonic Stem Cell Pluripotency	0.00E+00		1.14E-01	"MRAS,PTPN11,RASD2,SOS1"
NAD Salvage Pathway II	0.00E+00		1.67E-01	NT5C3B
NAD Signaling Pathway	0.00E+00		2.21E-01	"ACADL,AIFM1,ETFA,NADSYN1,PARP1,PARP11,PARP2,POLR2B,POLR2C,PRKAB2,SIRT7,SLC5A8,SLC7A5,SOD2,TNKS2"
NAD biosynthesis II (from tryptophan)	0.00E+00		1.43E-01	NADSYN1
NF-κB Activation by Viruses	0.00E+00		1.07E-01	"MRAS,RASD2,TBP"
NF-κB Signaling	0.00E+00		1.96E-01	"BRAF,CSNK2B,EGFR,FGFR1,HDAC2,IRAK4,MRAS,RASD2,TGFBR1"
