© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->GS.pco2
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	GS.pco2
Date	Tue Apr 26 16:05:16 PDT 2022
Analysis ID	39446105

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression pvalue
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression other	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->GS.pco2
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
CDK5 Signaling	-0E00	0.4472135954999579	1.46E-01	ADCY1,CACNA1A,GUCY1B1,LAMC1,MRAS,PTPA,RASD2	
CDP-diacylglycerol Biosynthesis I	-0E00		8.33E-02	MBOAT1	
CLEAR Signaling Pathway	-0E00	-0.4082482904638631	2.14E-01	ATP6V1B1,ATP6V1F,ATP6V1G2,ATP6V1H,CTSF,EGFR,FGFR1,GBA,GLB1,GUSB,HEXB,MLST8,MRAS,NPRL3,PLCG1,PRKAB2,PRKN,PTPA,RASD2,SLC36A1,SUMF1,TGFBR1,TSC2,WDR59	
CNTF Signaling	-0E00	1.0	2.38E-01	MRAS,PTPN11,RASD2,RPS6KB2,SOS1	
CREB Signaling in Neurons	-0E00	2.82842712474619	2.30E-01	ADCY1,CACNA1A,CACNA1G,CALM1 (includes others),CAMK2D,CCKAR,EGFR,FGFR1,FSHR,GABBR2,GPR84,GRIA2,GRIA3,GRIA4,GRID1,GRID2,GRIK1,GRIK2,GRIN2D,GRM6,GUCY1B1,HTR1A,HTR7,LHCGR,MRAS,NPY5R,PLCD3,PLCG1,PLCZ1,POLR2B,POLR2C,RASD2,RXFP2,SHC2,SOS1,TACR2,TBP,TGFBR1	
CSDE1 Signaling Pathway	-0E00		9.52E-02	PIWIL1,RPL9	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		1.43E-01	AP2A1,PLCG1,PTPA,PTPN11	
CXCR4 Signaling	-0E00	-1.6329931618554523	1.36E-01	ADCY1,GUCY1B1,MRAS,MYL1,MYL9,PAK1,RASD2,RHOT1	
Calcium-induced T Lymphocyte Apoptosis	-0E00		2.50E-01	ATP2A1,CALM1 (includes others),HDAC2,PLCG1	
Cardiac Hypertrophy Signaling	-0E00	0.5345224838248488	1.79E-01	ADCY1,CACNA1A,CALM1 (includes others),EIF2B2,GATA4,GUCY1B1,HAND2,MRAS,MYL1,MYL9,PLCD3,PLCG1,PLCZ1,RASD2,RHOT1,SOS1,TGFBR1	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	0.7071067811865475	2.21E-01	ADCY1,APEX1,ATP2A1,CACNA1A,CALM1 (includes others),CAMK2D,DLG1,EIF2B2,FGF20,FGF6,FGFR1,FGFRL1,GATA4,GUCY1B1,HAND2,HDAC2,HDAC7,INPP5F,ITGA2B,ITGA8,MKNK2,MRAS,NPR1,PDE1B,PDE8A,PLCD3,PLCG1,PLCZ1,PRKG1,RASD2,RPS6,RPS6KB2,SMPDL3B,TGFBR1,TSC2,WNT4	
Cardiac β-adrenergic Signaling	-0E00	-1.0	1.71E-01	ADCY1,AKAP1,APEX1,ATP2A1,CACNA1A,GUCY1B1,MRAS,PDE1B,PDE8A,PTPA,SLC8A2,SMPDL3B	
Cardiomyocyte Differentiation via BMP Receptors	-0E00		1.00E-01	GATA4	
Cell Cycle Regulation by BTG Family Proteins	-0E00		1.43E-01	CCND1,PTPA	
Cell Cycle: G1/S Checkpoint Regulation	-0E00	-0.4472135954999579	2.31E-01	CCND1,HDAC2,HDAC7,RPL11,RPL5,SKP1	
Ceramide Signaling	-0E00		1.76E-01	KSR1,MRAS,PTPA,RASD2,SMPD1,SMPD2	
Chemokine Signaling	-0E00	0.0	2.17E-01	CALM1 (includes others),CAMK2D,MRAS,PLCG1,RASD2	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	0.0	1.35E-01	EGFR,MRAS,RASD2,RHOT1,SOS1	
Chronic Myeloid Leukemia Signaling	-0E00		2.00E-01	CCND1,HDAC2,HDAC7,MRAS,PTPN11,RASD2,SOS1,TGFBR1	
Citrulline-Nitric Oxide Cycle	-0E00		2.50E-01	ASL	
Clathrin-mediated Endocytosis Signaling	-0E00		2.12E-01	ACTC1,ACTG1,AP2A1,ARPC1B,ARPC3,ARPC4,CSNK2B,DNM1,DNM1L,FGF20,FGF6,HSPA8,RPS27A,UBA52	
Colorectal Cancer Metastasis Signaling	-0E00	0.6324555320336759	2.00E-01	ADCY1,BRAF,CCND1,DCC,EGFR,GUCY1B1,LRP1,LRP6,MMP17,MRAS,MSH2,MSH6,RASD2,RHOT1,SOS1,TGFBR1,WNT4	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	0.7071067811865475	1.32E-01	ALPL,ENTPD6,INPP5F,NUDT11,OCRL,PTPA,PTPN11,RASA1,RNGTT	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	0.7071067811865475	1.32E-01	ALPL,ENTPD6,INPP5F,NUDT11,OCRL,PTPA,PTPN11,RASA1,RNGTT	
D-myo-inositol-5-phosphate Metabolism	-0E00	0.9045340337332909	1.54E-01	ALPL,ENTPD6,INPP5F,NUDT11,OCRL,PLCD3,PLCG1,PLCZ1,PTPA,PTPN11,RASA1,RNGTT	
DNA Double-Strand Break Repair by Homologous Recombination	-0E00		2.50E-01	ATRX,RAD50,RAD51	
DNA Methylation and Transcriptional Repression Signaling	-0E00		2.31E-01	DNMT1,HDAC2,RBBP7	
Dendritic Cell Maturation	-0E00	-0.4472135954999579	1.56E-01	COL2A1,FSCN2,PLCD3,PLCG1,PLCZ1	
Dilated Cardiomyopathy Signaling Pathway	-0E00	1.2649110640673518	2.50E-01	ABCC9,ACTC1,ACTG1,ADCY1,CACNA1A,CACNA1G,CAMK2D,GUCY1B1,LAMA4,MYL1,MYL9,MYO1H,PTPN11,SCN5A	
Dopamine Receptor Signaling	-0E00		9.09E-02	ADCY1,GUCY1B1,PTPA	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	1.507556722888818	1.67E-01	ADCY1,ATP2A1,CACNA1A,CALM1 (includes others),CAMKK1,GRIN2D,GUCY1B1,PLCD3,PLCG1,PLCZ1,PRKG1,PTPA	
EGF Signaling	-0E00	-0.4472135954999579	2.27E-01	CSNK2B,EGFR,PLCG1,RASA1,SOS1	
ERB2-ERBB3 Signaling	-0E00		1.60E-01	CCND1,MRAS,RASD2,SOS1	
ERBB Signaling	-0E00	-0.4472135954999579	1.71E-01	EGFR,MRAS,PAK1,PLCG1,RASD2,SOS1	
ERBB4 Signaling	-0E00		1.48E-01	MRAS,PLCG1,RASD2,SOS1	
ERK/MAPK Signaling	-0E00	0.0	2.08E-01	BRAF,ETS1,ITGA2B,ITGA8,KSR1,MKNK2,MRAS,PAK1,PLCG1,PTPA,RAPGEF4,RASD2,SOS1,TLN1,VRK2	
Endocannabinoid Cancer Inhibition Pathway	-0E00	0.6324555320336759	1.96E-01	ADCY1,CASP2,CASQ1,CCND1,EIF2A,GUCY1B1,MLST8,PRKAB2,SMPD1,SMPD2,TRIB3	
Endocannabinoid Developing Neuron Pathway	-0E00	-1.3416407864998738	1.32E-01	ADCY1,BRAF,CCND1,GUCY1B1,MLST8,MRAS,RASD2	
Endocannabinoid Neuronal Synapse Pathway	-0E00	1.1547005383792517	2.13E-01	ADCY1,CACNA1A,CACNA1G,GRIA2,GRIA3,GRIA4,GRIN2D,GUCY1B1,NDUFS2,PLCD3,PLCG1,PLCZ1,RIMS1	
Endometrial Cancer Signaling	-0E00		1.67E-01	CCND1,MRAS,RASD2,SOS1	
Endoplasmic Reticulum Stress Pathway	-0E00		1.25E-01	DNAJC3	
Ephrin A Signaling	-0E00		1.11E-01	PAK1,PTPN11	
Ephrin B Signaling	-0E00	0.0	1.74E-01	EPHB1,ITSN2,MRAS,PAK1	
Ephrin Receptor Signaling	-0E00	-0.7071067811865475	2.12E-01	ANGPT1,ARPC1B,ARPC3,ARPC4,EPHB1,GRIN2D,ITGA2B,ITGA8,MRAS,PAK1,PTPN11,RASA1,RASD2,SOS1	
Epithelial Adherens Junction Signaling	-0E00	-2.138089935299395	1.97E-01	ARPC1B,ARPC3,ARPC4,EGFR,FGFR1,MRAS,NOTCH1,NOTCH2,PAK1,PRKAB2,PTPA,RASD2,TGFBR1,VCL	
Erythropoietin Signaling Pathway	-0E00	0.4472135954999579	1.62E-01	CCND1,MRAS,PLCG1,RASD2,SHC2,SOS1	
Estrogen-Dependent Breast Cancer Signaling	-0E00		2.41E-01	CCND1,EGFR,HSD17B12,HSD17B4,HSD17B8,MRAS,RASD2	
Extrinsic Prothrombin Activation Pathway	-0E00		2.50E-01	SERPINC1	
FAK Signaling	-0E00	0.1796053020267749	2.04E-01	ARPC1B,ARPC3,ARPC4,CAPN3,CAPN7,CCKAR,CCND1,COL2A1,EGFR,ETS1,FSHR,GABBR2,GIT2,GPR84,GRM6,HTR1A,HTR7,ITGA2B,ITGA8,LHCGR,MRAS,NPY5R,PAK1,PLCG1,RASA1,RASD2,RXFP2,SOS1,SPARCL1,TACR2,TGFBR1	
FAT10 Cancer Signaling Pathway	-0E00		1.82E-01	PCNA,TGFBR1	
FAT10 Signaling Pathway	-0E00		2.42E-01	PSMA1,PSMA2,PSMA6,PSMB10,PSMC2,PSMC4,PSME4,UBA1	
FGF Signaling	-0E00	2.6457513110645903	2.33E-01	FGF20,FGF6,FGFR1,FGFRL1,PLCG1,PTPN11,SOS1	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00		1.60E-01	MRAS,PTPN11,RASD2,SOS1	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	0.6324555320336759	2.22E-01	CAMK2D,CCND1,GATA4,LRP1,LRP6,PLCD3,PLCG1,PLCZ1,SCN5A,TBX5,TGFBR1,WNT4	
Fatty Acid β-oxidation I	-0E00		1.67E-01	ECI2,HSD17B4,SCP2	
Fc Epsilon RI Signaling	-0E00	0.8164965809277261	1.71E-01	INPP5F,MRAS,OCRL,PLCG1,PTPN11,RASD2,SOS1	
FcγRIIB Signaling in B Lymphocytes	-0E00		1.92E-01	CACNA1A,CACNA1G,MRAS,RASD2,SOS1	
Folate Transformations I	-0E00		2.00E-01	MTR	
G Beta Gamma Signaling	-0E00	0.0	2.25E-01	ADCY1,CACNA1A,CACNA1G,EGFR,MRAS,PAK1,PLCG1,RASD2,SOS1	
G Protein Signaling Mediated by Tubby	-0E00		1.43E-01	MRAS,PLCG1	
G-Protein Coupled Receptor Signaling	-0E00	0.8451542547285166	1.78E-01	ADCY1,APEX1,BRAF,CALM1 (includes others),CAMK2D,CCKAR,CCND1,CNGA3,CNGB3,FSHR,GABBR2,GPR84,GRM6,GUCY1B1,HTR1A,HTR7,KCNN2,LHCGR,MRAS,MRTFA,MYL1,MYL9,NPY5R,PAK1,PDE1B,PDE8A,PLCG1,RAPGEF4,RASA1,RASD2,RXFP2,SHC2,SMPDL3B,SOS1,TACR2	
GDNF Family Ligand-Receptor Interactions	-0E00	1.0	2.40E-01	MRAS,PLCG1,RASA1,RASD2,RET,SOS1	
GDP-glucose Biosynthesis	-0E00		2.50E-01	PGM1	
GNRH Signaling	-0E00	0.0	1.62E-01	ADCY1,CACNA1A,CACNA1G,CALM1 (includes others),CAMK2D,EGFR,GUCY1B1,MRAS,PAK1,RASD2,SOS1	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	-0.4472135954999579	2.00E-01	ADCY1,CCKAR,GUCY1B1,PLCD3,PLCG1,PLCZ1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	1.1338934190276817	2.05E-01	ADCY1,CACNA1A,CACNA1G,GUCY1B1,PLCD3,PLCG1,PLCZ1,RAPGEF4	
Germ Cell-Sertoli Cell Junction Signaling	-0E00		2.25E-01	A2M,ACTC1,ACTG1,LAMC3,MRAS,PAK1,RASD2,RHOT1,TGFBR1,TUBA1A,TUBA1B,TUBA3E,TUBA4A,TUBB2B,TUBB4A,VCL	
Glioblastoma Multiforme Signaling	-0E00	0.0	2.17E-01	CCND1,EGFR,MRAS,NF1,PLCD3,PLCG1,PLCZ1,RASD2,RHOT1,SHC2,SOS1,TSC2,WNT4	
Glioma Invasiveness Signaling	-0E00		1.54E-01	MRAS,PLG,RASD2,RHOT1	
Glutamate Degradation III (via 4-aminobutyrate)	-0E00		2.50E-01	ABAT	
Glutaryl-CoA Degradation	-0E00		1.82E-01	GCDH,HSD17B4	
Granulocyte Adhesion and Diapedesis	-0E00		9.09E-02	MMP17	
Growth Hormone Signaling	-0E00		1.11E-01	A2M,PLCG1,RPS6KB2	
Guanosine Nucleotides Degradation III	-0E00		1.67E-01	NT5C3B	
Gustation Pathway	-0E00	1.7320508075688774	2.50E-01	ABCC9,ADCY1,CACNA1A,CACNA1G,GABRA6,GABRR2,GUCY1B1,HTR1A,KCNN2,LIPA,ORAI2,PNLIP,SCN5A	
Gα12/13 Signaling	-0E00	-2.0	1.39E-01	MRAS,MYL1,MYL9,RASA1,RASD2	
Gαi Signaling	-0E00	0.8164965809277261	2.05E-01	ADCY1,GABBR2,GRM6,GUCY1B1,HTR1A,MRAS,RASD2,SHC2,SOS1	
Gαq Signaling	-0E00	0.3779644730092272	1.37E-01	ARHGEF25,CALM1 (includes others),GYS2,MRAS,PLCG1,PLD1,RHOT1	
Gαs Signaling	-0E00	1.1338934190276817	2.33E-01	ADCY1,BRAF,CNGA3,CNGB3,FSHR,GUCY1B1,HTR7,LHCGR,MRAS,RAPGEF4	
HER-2 Signaling in Breast Cancer	-0E00	0.0	2.47E-01	BLK,BRAF,CCND1,COPS6,COX15,EGFR,ETS1,KPNB1,MLST8,MRAS,NUP37,NUP43,NUP93,PLCG1,RASD2,RPS6,RPS6KB2,SOS1,TSC2	
HGF Signaling	-0E00	0.0	1.92E-01	CCND1,ETS1,ITGA2B,ITGA8,MRAS,PAK1,PLCG1,PTPN11,RASD2,SOS1	
HIF1α Signaling	-0E00	1.386750490563073	1.97E-01	APEX1,BRAF,CAMK2D,HSPA8,MKNK2,MMP17,MRAS,NAA10,PLCG1,RACK1,RASD2,RPS6,RPS6KB2	
HIPPO signaling	-0E00	0.0	1.89E-01	DLG1,DLG5,PATJ,PTPA,RASSF1,SCRIB,SKP1	
HMGB1 Signaling	-0E00		1.14E-01	MRAS,RASD2,RBBP7,RHOT1	
HOTAIR Regulatory Pathway	-0E00	0.0	1.50E-01	HDAC2,MMP17,MRTFA,RBBP7,WIF1,WNT4	
Hepatic Cholestasis	-0E00		2.27E-01	ABCC1,ABCC2,ADCY1,CYP27A1,GUCY1B1,IRAK4,NR1I2,NR5A2,SLC22A6,SLC4A2	
Hepatic Fibrosis Signaling Pathway	-0E00	0.9428090415820635	1.77E-01	BRAF,CACNA1A,CALM1 (includes others),CCND1,COL2A1,FGFR1,IRAK4,ITGA2B,ITGA8,LRP1,LRP6,MRAS,MYL1,MYL9,PLCG1,RASD2,RHOT1,RPS6KB2,SOD2,SOS1,TGFBR1,WNT4	
Histidine Degradation VI	-0E00		1.43E-01	HAL	
Human Embryonic Stem Cell Pluripotency	-0E00		1.16E-01	FGFR1,FGFRL1,MRAS,TGFBR1,WNT4	
Hypoxia Signaling in the Cardiovascular System	-0E00		1.56E-01	P4HB,UBE2E3,UBE2Q2,UBE2R2,UBE2W	
ICOS-ICOSL Signaling in T Helper Cells	-0E00		1.20E-01	CALM1 (includes others),CAMK2D,PLCG1	
ID1 Signaling Pathway	-0E00	0.7276068751089989	2.43E-01	BLK,BRAF,CCND1,CDC20,CHRNA7,CHRNA9,CHRNB2,CUL3,EGFR,ETS1,FGFR1,FGFRL1,MRAS,RASD2,TGFBR1,TYMS,WDR48	
IGF-1 Signaling	-0E00	0.0	2.16E-01	CCN1,CSNK2B,MRAS,PTPN11,RASA1,RASD2,RPS6KB2,SOS1	
IL-1 Signaling	-0E00		1.08E-01	ADCY1,GUCY1B1,IRAK4,MRAS	
IL-13 Signaling Pathway	-0E00	0.0	2.00E-01	ANO1,BLK,CLCA1,SPDEF	
IL-15 Production	-0E00	1.6666666666666667	2.25E-01	BLK,CLK2,EGFR,EPHB1,FGFR1,RET,SRMS,TIE1,TXK	
IL-15 Signaling	-0E00	0.0	1.60E-01	MLST8,MRAS,RASD2,RPS6KB2	
IL-17 Signaling	-0E00		1.07E-01	Chil3/Chil4,MRAS,RASD2	
IL-17A Signaling in Gastric Cells	-0E00		1.67E-01	EGFR	
IL-2 Signaling	-0E00		2.50E-01	CSNK2B,MRAS,PTPN11,RASD2,SOS1	
IL-23 Signaling Pathway	-0E00		8.33E-02	RORA	
IL-3 Signaling	-0E00		1.38E-01	MRAS,PAK1,RASD2,SOS1	
IL-6 Signaling	-0E00	0.4472135954999579	1.82E-01	A2M,CSNK2B,MRAS,PTPN11,RASD2,SOS1	
IL-7 Signaling Pathway	-0E00		1.60E-01	BCL6,CCND1,EBF1,SOS1	
IL-8 Signaling	-0E00	-1.6666666666666667	1.59E-01	ANGPT1,BRAF,CCND1,EGFR,IRAK4,MRAS,MYL9,PLD1,RASD2,RHOT1	
ILK Signaling	-0E00	-0.6324555320336759	1.67E-01	ACTC1,ACTG1,CCND1,FLNA,FLNC,MYL1,MYL9,MYO1H,PTPA,RHOT1,VCL	
Inflammasome pathway	-0E00		2.00E-01	NAIP	
Inhibition of ARE-Mediated mRNA Degradation Pathway	-0E00	-1.6329931618554523	1.58E-01	CNOT2,CNOT4,CNOT8,EXOSC6,PSMA1,PSMA2,PSMA6,PSMB10,PSMC2,PSMC4,PSME4,PTPA	
Insulin Receptor Signaling	-0E00	-0.6324555320336759	2.04E-01	ACLY,EIF2B2,GYS2,INPP5F,MRAS,OCRL,PTPN11,RASD2,RPS6KB2,SOS1,TSC2	
Insulin Secretion Signaling Pathway	-0E00	0.6	2.32E-01	ABCC9,ADCY1,CACNA1A,CACNA1G,CAMK2D,CCKAR,DLD,EIF2A,EIF2B2,EIF4G1,GUCY1B1,NALCN,NAPA,NSF,PCSK2,PDHA1,PDHB,PDHX,PLCD3,PLCG1,PLCZ1,RAPGEF4,RPS6KB2,SEC61G,SPCS3,SRP72	
Integrin Signaling	-0E00	-1.885618083164127	2.44E-01	ACTC1,ACTG1,ARPC1B,ARPC3,ARPC4,BRAF,CAPN3,CAPN7,ITGA2B,ITGA8,MRAS,MYL9,PAK1,PLCG1,RASD2,RHOT1,SOS1,TLN1,TSPAN5,VCL	
Isoleucine Degradation I	-0E00		1.82E-01	DLD,HSD17B4	
JAK/STAT Signaling	-0E00		1.60E-01	MRAS,PTPN11,RASD2,SOS1	
Ketogenesis	-0E00		2.50E-01	BDH1,HMGCS1	
Ketolysis	-0E00		1.43E-01	BDH1	
Kinetochore Metaphase Signaling Pathway	-0E00	-0.7071067811865475	2.29E-01	AURKB,CDC16,CDC20,CDK1,H2AZ1,KAT5,KNTC1,PLK1	
LPS-stimulated MAPK Signaling	-0E00		9.38E-02	MRAS,PAK1,RASD2	
