Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Aldosterone Signaling in Epithelial Cells	0.00E+00	3	2.50E-01	"AHCY,DNAJC13,DNAJC19,DNAJC2,DNAJC7,HSPA12A,HSPA12B,HSPD1,ITPR1,MAPK3,ODF1,PDPK1,PIK3CA,Sacs,SCNN1G,SGK1,SLC12A1,SLC12A2,TRAP1"
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	0.00E+00		3.33E-01	NFKB1
Amyloid Processing	0.00E+00		2.08E-01	"BACE1,CAPN2,CSNK2B,MAPK3,PRKAG1"
Angiopoietin Signaling	0.00E+00	1.341640786	1.94E-01	"ANGPT1,MRAS,NFKB1,PAK1,PIK3CA,STAT5A"
Antioxidant Action of Vitamin C	0.00E+00	-1.341640786	2.35E-01	"MAPK3,NFKB1,PLAAT4,PLD1,PRDX6,SLC23A1,STAT5A,TXNRD3"
Antiproliferative Role of Somatostatin Receptor 2	0.00E+00	1	2.86E-01	"GNB5,GUCY1A1,GUCY2F,Gucy2g,MAPK3,MRAS,NOS1,NPR1,PIK3CA,SLC39A7"
Apelin Cardiac Fibroblast Signaling Pathway	0.00E+00		2.50E-01	PRKAG1
Apelin Cardiomyocyte Signaling Pathway	0.00E+00	2.828427125	2.05E-01	"CAT,ITPR1,MAPK3,MYL1,MYL9,PIK3CA,SLC8A2,SLC9A3"
Apelin Endothelial Signaling Pathway	0.00E+00	0.904534034	2.55E-01	"ADCY1,ADCY6,ADCY9,ANGPT1,CALM1 (includes others),GNAO1,GNB5,GUCY1A1,MAPK3,MRAS,NFKB1,PIK3CA,PRKAG1"
Apelin Muscle Signaling Pathway	0.00E+00		3.08E-01	"GNAO1,GNB5,MRAS,PRKAG1"
Apelin Pancreas Signaling Pathway	0.00E+00	1.341640786	2.50E-01	"EIF2AK3,ERN1,NFKB1,PIK3CA,PRKAG1"
April Mediated Signaling	0.00E+00		1.00E-01	NFKB1
Arginine Biosynthesis IV	0.00E+00		3.33E-01	ASL
Assembly of RNA Polymerase II Complex	0.00E+00	2.121320344	3.20E-01	"CDK7,ERCC2,POLR2B,POLR2D,POLR2H,TAF2,TAF6,TBP"
Autophagy	0.00E+00	-0.688247202	2.50E-01	"ATR,BIRC6,CALM1 (includes others),EIF2A,EIF2AK3,EPG5,ERN1,MAP1LC3A,MAPK3,NFKB1,PIK3CA,PPP2R3A,PPP2R5E,PPP3CA,PRKAG1,RAB7A,SLC7A5,TBK1,VPS41"
Axonal Guidance Signaling	0.00E+00		3.02E-01	"ACE,ACTR2,ADAMTS16,ADAMTS6,ARPC1B,ARPC2,ARPC3,ARPC4,CHMP1A,ECE2,EPHB1,GNAO1,GNB5,ITGA7,ITGAV,ITGB1,ITGB2,KCNJ12,L1CAM,MAPK3,MRAS,MYL1,MYL9,PAK1,PIK3CA,PLXNA2,PMPCA,PMPCB,PPP3CA,PRKAG1,PSMD14,PTCH1,PTCH2,RAC1,RAC2,ROBO1,ROBO2,SEMA6B,SEMA6C,SEMA6D,SLIT3,SUFU,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA4A,TUBB2B,TUBB4A,WNT9A"
B Cell Activating Factor Signaling	0.00E+00		1.00E-01	NFKB1
B Cell Receptor Signaling	0.00E+00	1	2.58E-01	"CALM1 (includes others),CAMK2D,CD22,CSK,EBF1,INPP5F,LYN,MAP3K10,MAPK3,MRAS,NFKB1,OCRL,PDPK1,PIK3CA,PPP3CA,RAC1,RAC2"
BER (Base Excision Repair) Pathway	0.00E+00	1.889822365	2.41E-01	"APEX1,FEN1,MAPK3,MPG,PARP1,PCNA,RPA1"
BEX2 Signaling Pathway	0.00E+00	0.447213595	2.50E-01	"CCND1,NFKB1,PPP2R3A,PPP2R5E,SMARCB1"
BMP signaling pathway	0.00E+00	-0.816496581	2.26E-01	"MAGED1,MAPK3,MRAS,NFKB1,PRKAG1,SMAD1,SMAD9"
Basal Cell Carcinoma Signaling	0.00E+00		1.67E-01	"PTCH1,PTCH2,SUFU,WNT9A"
Bladder Cancer Signaling	0.00E+00	0.447213595	3.21E-01	"CCND1,E2F2,EGFR,FGF20,FGFR3,HDAC2,HDAC7,MAPK3,MRAS"
Breast Cancer Regulation by Stathmin1	0.00E+00	-1.639783183	3.22E-01	"ADGRD1,ADGRL1,ARHGEF1,AURKB,AVPR1A,CALCRL,CAMK2D,CCKAR,CCND1,CCND2,CDK1,E2F2,FSHR,GABBR2,GNB5,GPR84,GRM4,GRM6,HTR1A,LGR4,LGR5,LHCGR,MAPK3,MRAS,NFKB1,NPY2R,NPY5R,PAK1,PIK3CA,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PRKAG1,PTGER4,RAC1,RAC2,RLIM,RXFP1,RXFP2,SHC2,TACR2,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA4A,TUBB2B,TUBB4A"
CCR3 Signaling in Eosinophils	0.00E+00	2.236067977	2.09E-01	"CALM1 (includes others),GNAO1,GNB5,ITPR1,MAPK3,MRAS,PAK1,PIK3CA,RAC1"
CCR5 Signaling in Macrophages	0.00E+00		3.60E-01	"CACNA1A,CACNA1B,CACNA2D1,CACNB2,CALM1 (includes others),GNAO1,GNB5,ITPR1,MRAS"
CD27 Signaling in Lymphocytes	0.00E+00		1.58E-01	"CYC1,MAP3K10,NFKB1"
CD28 Signaling in T Helper Cells	0.00E+00	2.672612419	3.59E-01	"ACTR2,ARPC1B,ARPC2,ARPC3,ARPC4,CALM1 (includes others),CSK,ITPR1,NFKB1,PAK1,PDPK1,PIK3CA,PPP3CA,RAC1"
CD40 Signaling	0.00E+00		1.90E-01	"MAPK3,NFKB1,PIK3CA,PTGS1"
CDK5 Signaling	0.00E+00	0	3.12E-01	"ADCY1,ADCY6,ADCY9,CACNA1A,GUCY1A1,ITGB1,LAMA5,LAMC1,MAPK3,MRAS,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PRKAG1"
CDP-diacylglycerol Biosynthesis I	0.00E+00		8.33E-02	TAMM41
CLEAR Signaling Pathway	0.00E+00	0.324442842	3.39E-01	"ATP6V0C,ATP6V1B1,CLCN7,CTNS,CTSF,EGFR,EIF2AK3,EP300,FGFR1,FGFR3,FLT1,GBA,GLB1,GUSB,HEXB,ITPR1,M6PR,MAPK3,MRAS,NAGLU,NPRL3,PDGFRB,PLBD2,PPP2R3A,PPP2R5E,PPP3CA,PRKAG1,PRKN,PSAP,RAB7A,RRAGA,RXRA,SCPEP1,SEC13,TGFBR1,VPS35,WDR59,YWHAB"
CNTF Signaling	0.00E+00		1.43E-01	"MAPK3,MRAS,PIK3CA"
CSDE1 Signaling Pathway	0.00E+00	1.341640786	2.38E-01	"CNOT6,CTTN,EDC3,PUM1,RAC1"
CTLA4 Signaling in Cytotoxic T Lymphocytes	0.00E+00		2.14E-01	"AP1S1,AP2A1,AP2M1,PIK3CA,PPP2R3A,PPP2R5E"
CXCR4 Signaling	0.00E+00	2.496150883	3.05E-01	"ADCY1,ADCY6,ADCY9,Cdc42,GNAO1,GNB5,GUCY1A1,ITPR1,LYN,MAPK3,MRAS,MYL1,MYL9,PAK1,PIK3CA,RAC1,RAC2,RHOC"
Cardiac Hypertrophy Signaling	0.00E+00	1.212678125	2.84E-01	"ADCY1,ADCY6,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNB2,CALM1 (includes others),Cdc42,EP300,GATA4,GNAO1,GNB5,GUCY1A1,HAND2,MAP3K10,MAPK3,MRAS,MYL1,MYL9,PIK3CA,PPP3CA,PRKAG1,RAC1,RAC2,RHOC,TGFBR1"
Cardiac Hypertrophy Signaling (Enhanced)	0.00E+00	-1.297771369	2.88E-01	"ACE,ADCY1,ADCY6,ADCY9,APEX1,CACNA1A,CACNA1B,CACNA2D1,CACNB2,CALM1 (includes others),CAMK2D,EP300,FGF20,FGFR1,FGFR3,FGFRL1,GATA4,GDPD1,GNB5,GUCY1A1,HAND2,HDAC2,HDAC7,INPP5F,ITGA7,ITGAV,ITGB1,ITGB2,ITPR1,MAP3K10,MAPK3,MKNK2,MRAS,NFKB1,NPR1,PDE12,PDE3A,PDE4A,PDE4D,PDE7A,PDE9A,PIK3CA,PPP3CA,PRKAG1,RPS6,TGFBR1,WNT9A"
Cardiomyocyte Differentiation via BMP Receptors	0.00E+00		3.00E-01	"GATA4,SMAD1,SMAD9"
Cell Cycle: G1/S Checkpoint Regulation	0.00E+00	0	3.46E-01	"ATR,CCND1,CCND2,CCNE1,E2F2,HDAC2,HDAC7,RPL11,SKP1"
Ceramide Signaling	0.00E+00	-1.133893419	2.65E-01	"CERK,KSR1,MAPK3,MRAS,NFKB1,PIK3CA,PPP2R3A,PPP2R5E,SMPD1"
Chemokine Signaling	0.00E+00	1	1.74E-01	"CALM1 (includes others),CAMK2D,MAPK3,MRAS"
Cholecystokinin/Gastrin-mediated Signaling	0.00E+00	1.341640786	2.16E-01	"Cdc42,EGFR,ITPR1,MAPK3,MRAS,RAC1,RAC2,RHOC"
Cholesterol Biosynthesis I	0.00E+00		3.33E-01	DHCR24
"Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)"	0.00E+00		3.33E-01	DHCR24
Cholesterol Biosynthesis III (via Desmosterol)	0.00E+00		3.33E-01	DHCR24
Chronic Myeloid Leukemia Signaling	0.00E+00		2.75E-01	"CCND1,CCND2,E2F2,HDAC2,HDAC7,MAPK3,MRAS,NFKB1,PIK3CA,STAT5A,TGFBR1"
Circadian Rhythm Signaling	0.00E+00		3.15E-01	"ADCY1,ADCY6,ADCY9,BLK,CACNA1A,CACNA1B,CACNA2D1,CACNB2,CAMK2D,CLOCK,FRK,GNB5,GRIA1,GRIA2,GRIA3,GRIA4,GRIN2D,GRIN3A,GUCY1A1,GUCY2F,Gucy2g,HLF,ITPR1,LYN,MAPK3,MKNK2,MRAS,NOS1,NPR1,NR1D1,PRKAG1,RORA,SLC39A7,TRPC7"
Citrulline Biosynthesis	0.00E+00		2.50E-01	ALDH18A1
Clathrin-mediated Endocytosis Signaling	0.00E+00		3.48E-01	"ACTG1,ACTR2,AP1S1,AP2A1,AP2M1,APOD,ARPC1B,ARPC2,ARPC3,ARPC4,CSNK2B,CTTN,DNM1L,FGF20,HIP1,ITGB1,ITGB2,MYO6,PIK3CA,PPP3CA,RAB7A,RAC1,UBA52"
Coenzyme A Biosynthesis	0.00E+00		3.33E-01	COASY
Colorectal Cancer Metastasis Signaling	0.00E+00	0	3.18E-01	"ADCY1,ADCY6,ADCY9,APPL1,CCND1,Cdc42,EGFR,GNAO1,GNB5,GUCY1A1,LRP1,LRP6,MAPK3,MRAS,MSH2,MSH3,MSH6,NFKB1,NOS2,PIK3CA,PRKAG1,PTGER4,RAC1,RAC2,RHOC,TGFBR1,WNT9A"
Complement System	0.00E+00		3.33E-01	ITGB2
"D-myo-inositol (1,3,4)-trisphosphate Biosynthesis"	0.00E+00		3.33E-01	"INPP5F,OCRL"
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	0.00E+00	0	3.09E-01	"ALPL,ENTPD6,FIG4,INPP5F,NOCT,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRUNE1,PTPN1,PTPN23,PTPRF,PTPRJ,PTPRN,SACM1L,STYX"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	0.00E+00	0	3.09E-01	"ALPL,ENTPD6,FIG4,INPP5F,NOCT,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRUNE1,PTPN1,PTPN23,PTPRF,PTPRJ,PTPRN,SACM1L,STYX"
D-myo-inositol-5-phosphate Metabolism	0.00E+00	0	2.69E-01	"ALPL,ENTPD6,FIG4,INPP5F,NOCT,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRUNE1,PTPN1,PTPN23,PTPRF,PTPRJ,PTPRN,SACM1L,STYX"
DNA Double-Strand Break Repair by Homologous Recombination	0.00E+00		3.33E-01	"BRCA1,POLA1,RAD51,RPA1"
DNA Double-Strand Break Repair by Non-Homologous End Joining	0.00E+00		1.67E-01	"PARP1,XRCC5"
DNA Methylation and Transcriptional Repression Signaling	0.00E+00		3.08E-01	"CHD4,HDAC2,MBD1,RBBP7"
Dendritic Cell Maturation	0.00E+00	0.377964473	2.19E-01	"COL11A2,COL2A1,DDR2,IRF8,MAPK3,NFKB1,PIK3CA"
Dermatan Sulfate Biosynthesis	0.00E+00	2.828427125	3.33E-01	"B4GALT7,CHST4,CHST7,CSGALNACT1,CSGALNACT2,SULT1B1,SULT1E1,SULT2B1"
Dermatan Sulfate Biosynthesis (Late Stages)	0.00E+00	2.236067977	2.78E-01	"CHST4,CHST7,SULT1B1,SULT1E1,SULT2B1"
Docosahexaenoic Acid (DHA) Signaling	0.00E+00		1.67E-01	"PDPK1,PIK3CA"
Dolichyl-diphosphooligosaccharide Biosynthesis	0.00E+00		1.67E-01	ALG3
Dopamine Receptor Signaling	0.00E+00	0	3.03E-01	"ADCY1,ADCY6,ADCY9,GUCY1A1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PRKAG1,SMOX"
Dopamine-DARPP32 Feedback in cAMP Signaling	0.00E+00	-1	2.92E-01	"ADCY1,ADCY6,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNB2,CALM1 (includes others),CSNK1G1,GRIN2D,GRIN3A,GUCY1A1,ITPR1,KCNJ12,NOS1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRKAG1"
EGF Signaling	0.00E+00	1.341640786	2.27E-01	"CSNK2B,EGFR,ITPR1,MAPK3,PIK3CA"
ERB2-ERBB3 Signaling	0.00E+00	2.449489743	2.40E-01	"CCND1,MAPK3,MRAS,PDPK1,PIK3CA,STAT5A"
ERBB Signaling	0.00E+00	1.632993162	1.71E-01	"EGFR,MAPK3,MRAS,PAK1,PDPK1,PIK3CA"
ERBB4 Signaling	0.00E+00	2	1.85E-01	"MAPK3,MRAS,PDPK1,PIK3CA,YAP1"
ERK/MAPK Signaling	0.00E+00	0.5	2.92E-01	"ELF2,ETS2,ITGA7,ITGAV,ITGB1,ITGB2,KSR1,MAPK3,MKNK2,MRAS,PAK1,PIK3CA,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PRKAG1,RAC1,RAC2,VRK2,YWHAB"
ERK5 Signaling	0.00E+00	1	2.11E-01	"EGFR,MRAS,SGK1,YWHAB"
Endocannabinoid Cancer Inhibition Pathway	0.00E+00	0.471404521	3.39E-01	"ADCY1,ADCY6,ADCY9,CASP10,CASP2,CASQ1,CCND1,CCND2,CCNE1,EIF2A,GNAO1,GUCY1A1,MAPK3,NOS1,NOS2,PIK3CA,PRKAG1,SMPD1,TRIB3"
Endocannabinoid Developing Neuron Pathway	0.00E+00	1.732050808	2.83E-01	"ADCY1,ADCY6,ADCY9,BRCA1,CCND1,GNAO1,GNB5,GUCY1A1,MAPK3,MRAS,PAX6,PIK3CA,PRKAG1,RAC1,RAC2"
Endocannabinoid Neuronal Synapse Pathway	0.00E+00	-1.147078669	3.44E-01	"ADCY1,ADCY6,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNB2,GNAO1,GNB5,GRIA1,GRIA2,GRIA3,GRIA4,GRIN2D,GRIN3A,GUCY1A1,ITPR1,MAPK3,PPP3CA,PRKAG1,RIMS1"
Endometrial Cancer Signaling	0.00E+00	2.236067977	2.08E-01	"CCND1,MAPK3,MRAS,PDPK1,PIK3CA"
Endoplasmic Reticulum Stress Pathway	0.00E+00		2.50E-01	"EIF2AK3,ERN1"
Endothelin-1 Signaling	0.00E+00	1.605910137	3.38E-01	"ADCY1,ADCY6,ADCY9,CASP10,CASP2,CASQ1,ECE1,ECE2,GNAO1,GUCY1A1,GUCY2F,ITPR1,MAPK3,MRAS,NOS1,NOS2,NPR1,PIK3CA,PLAAT4,PLD1,PRDX6,PTGS1,SHC2"
Ephrin A Signaling	0.00E+00		1.67E-01	"PAK1,PIK3CA,RAC1"
Ephrin Receptor Signaling	0.00E+00	1.697749375	3.33E-01	"ACTR2,ANGPT1,ARPC1B,ARPC2,ARPC3,ARPC4,EPHB1,GNAO1,GNB5,GRIN2D,GRIN3A,ITGA7,ITGAV,ITGB1,ITGB2,MAPK3,MRAS,PAK1,RAC1,RAC2,SH2D3C,SORBS1"
Epithelial Adherens Junction Signaling	0.00E+00	1.568929081	3.66E-01	"ACTR2,AFDN,ARPC1B,ARPC2,ARPC3,ARPC4,EGFR,FGFR1,IQGAP1,LATS1,MRAS,MYH10,MYH4,NOTCH1,PAK1,PPP2R3A,PPP2R5E,PRKAG1,RAC1,RACGAP1,STK3,TGFBR1,TIAM1,VCL,YAP1,YWHAB"
Erythropoietin Signaling Pathway	0.00E+00	2.110579412	3.24E-01	"CCND1,CCND2,ITPR1,MAPK3,MRAS,NFKB1,PDPK1,PIK3CA,RAC1,RAC2,SHC2,STAT5A"
FAK Signaling	0.00E+00	-0.282842712	3.29E-01	"ACTR2,ADGRD1,ADGRL1,ARPC1B,ARPC2,ARPC3,ARPC4,AVPR1A,CALCRL,CAPN2,CCKAR,CCND1,COL11A2,COL2A1,CSK,EGFR,ELF2,ETS2,FLT1,FSHR,GABBR2,GPR84,GRM4,GRM6,HTR1A,ITGA7,ITGAV,ITGB1,ITGB2,LGR4,LGR5,LHCGR,MAPK3,MRAS,NFKB1,NPY2R,NPY5R,PAK1,PDGFRB,PDPK1,PIK3CA,PTGER4,PTPRA,RAC1,RXFP1,RXFP2,SOCS7,SPARCL1,TACR2,TGFBR1"
FAT10 Cancer Signaling Pathway	0.00E+00		2.73E-01	"NFKB1,PCNA,TGFBR1"
FGF Signaling	0.00E+00	0	2.67E-01	"FGF20,FGFR1,FGFR3,FGFRL1,ITPR1,MAPK3,PIK3CA,RAC1"
FLT3 Signaling in Hematopoietic Progenitor Cells	0.00E+00	2.236067977	2.00E-01	"MAPK3,MRAS,PDPK1,PIK3CA,STAT5A"
Factors Promoting Cardiogenesis in Vertebrates	0.00E+00	-1.414213562	1.85E-01	"CAMK2D,CCND1,GATA4,LRP1,LRP6,SCN5A,SMAD1,SMAD9,TGFBR1,WNT9A"
Fc Epsilon RI Signaling	0.00E+00	2.333333333	2.20E-01	"INPP5F,LYN,MAPK3,MRAS,OCRL,PDPK1,PIK3CA,RAC1,RAC2"
FcγRIIB Signaling in B Lymphocytes	0.00E+00	2	3.46E-01	"CACNA1A,CACNA1B,CACNA2D1,CACNB2,ITPR1,LYN,MRAS,PDPK1,PIK3CA"
Ferroptosis Signaling Pathway	0.00E+00	-1.414213562	3.67E-01	"ARF1,BAP1,CBS/CBSL,EIF2A,EIF2AK3,FTH1,FTMT,GCLC,GPX4,H2AZ1,MAPK3,MRAS,PRKAG1,SLC7A11,STEAP3,VDAC2,WWTR1,YAP1"
Folate Polyglutamylation	0.00E+00		2.50E-01	FPGS
G Beta Gamma Signaling	0.00E+00	0.577350269	3.50E-01	"ADCY1,CACNA1A,CACNA1B,CACNA2D1,CACNB2,EGFR,GNAO1,GNB5,ITPR1,MAPK3,MRAS,PAK1,PDPK1,PRKAG1"
G Protein Signaling Mediated by Tubby	0.00E+00		2.14E-01	"GNAO1,GNB5,MRAS"
G-Protein Coupled Receptor Signaling	0.00E+00	-0.89625816	3.10E-01	"ADCY1,ADCY6,ADCY9,ADGRD1,ADGRL1,APEX1,AVPR1A,CALCRL,CALM1 (includes others),CAMK2D,CCKAR,CCND1,FOXO6,FSHR,GABBR2,GDPD1,GNAO1,GNB5,GPR84,GRM4,GRM6,GUCY1A1,HTR1A,KCNN2,LATS1,LGR4,LGR5,LHCGR,MAP3K10,MAPK3,MEGF6,MRAS,MYL1,MYL9,NFKB1,NPY2R,NPY5R,PAK1,PDE12,PDE3A,PDE4A,PDE4D,PDE7A,PDE9A,PDPK1,PIK3CA,PPP3CA,PRKAG1,PTGER4,RAC1,RAC2,RGS12,RGS7,RXFP1,RXFP2,SHC2,SYNGAP1,TACR2,TTN,WWTR1,YAP1"
GDNF Family Ligand-Receptor Interactions	0.00E+00	2	2.00E-01	"ITPR1,MAPK3,MRAS,PIK3CA,RAC1"
GDP-mannose Biosynthesis	0.00E+00		2.00E-01	GMPPA
GM-CSF Signaling	0.00E+00	1.632993162	2.69E-01	"CAMK2D,CCND1,LYN,MAPK3,MRAS,PIK3CA,PPP3CA"
GNRH Signaling	0.00E+00	0.832050294	2.94E-01	"ADCY1,ADCY6,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNB2,CALM1 (includes others),CAMK2D,EGFR,GNB5,GUCY1A1,ITPR1,MAP3K10,MAPK3,MRAS,NFKB1,PAK1,PRKAG1,RAC1"
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	0.00E+00	1.133893419	2.67E-01	"ADCY1,ADCY6,ADCY9,CCKAR,GUCY1A1,ITPR1,NPY2R,PRKAG1"
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	0.00E+00	-0.333333333	2.56E-01	"ADCY1,ADCY6,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNB2,GUCY1A1,ITPR1,PRKAG1"
Gap Junction Signaling	0.00E+00		3.45E-01	"ACTG1,ADCY1,ADCY6,ADCY9,CSNK1G1,EGFR,GRIA1,GRIA2,GRIA3,GRIA4,GRIK1,GRIK2,GRIK3,GUCY1A1,GUCY2F,Gucy2g,ITPR1,MAPK3,MRAS,NPR1,PIK3CA,PPP3CA,PRKAG1,SLC39A7,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA4A,TUBB2B,TUBB4A"
Germ Cell-Sertoli Cell Junction Signaling	0.00E+00		3.52E-01	"A2M,ACTG1,AFDN,Cdc42,IQGAP1,ITGB1,LAMC3,MAP3K10,MAPK3,MRAS,PAK1,PDPK1,PIK3CA,RAC1,RAC2,RHOC,SORBS1,TGFBR1,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA4A,TUBB2B,TUBB4A,VCL"
Glioblastoma Multiforme Signaling	0.00E+00	1.897366596	2.67E-01	"CCND1,CCND2,CCNE1,Cdc42,E2F2,EGFR,ITPR1,MAPK3,MRAS,PDGFRB,PIK3CA,RAC1,RAC2,RHOC,SHC2,WNT9A"
Glioma Invasiveness Signaling	0.00E+00	2.236067977	3.08E-01	"Cdc42,ITGAV,MAPK3,MRAS,PIK3CA,RAC1,RAC2,RHOC"
Glioma Signaling	0.00E+00	1.133893419	3.41E-01	"CALM1 (includes others),CAMK2D,CCND1,CCND2,E2F2,EGFR,HDAC2,HDAC7,IDH1,IDH3B,IDH3G,MAPK3,MRAS,PDGFRB,PIK3CA"
Glutathione Biosynthesis	0.00E+00		3.33E-01	GCLC
Glycoaminoglycan-protein Linkage Region Biosynthesis	0.00E+00		2.50E-01	B4GALT7
Glycogen Degradation II	0.00E+00		2.86E-01	"MTAP,PGM2"
Glycogen Degradation III	0.00E+00		3.33E-01	"MGAM,MTAP,PGM2"
Granulocyte Adhesion and Diapedesis	0.00E+00		3.64E-01	"EZR,ITGB1,ITGB2,RDX"
Growth Hormone Signaling	0.00E+00	1.889822365	2.59E-01	"A2M,IGFALS,MAPK3,PDPK1,PIK3CA,SOCS7,STAT5A"
Gα12/13 Signaling	0.00E+00	1	2.50E-01	"ARHGEF1,CDH11,CDH23,MAPK3,MRAS,MYL1,MYL9,NFKB1,PIK3CA"
Gαi Signaling	0.00E+00	0	3.64E-01	"ADCY1,ADCY6,ADCY9,GABBR2,GNAO1,GNB5,GRM4,GRM6,GUCY1A1,HTR1A,MAPK3,MRAS,PRKAG1,RGS12,RGS7,SHC2"
Gαs Signaling	0.00E+00	-0.632455532	3.02E-01	"ADCY1,ADCY6,ADCY9,FSHR,GNAO1,GNB5,GUCY1A1,LHCGR,MAPK3,MRAS,PRKAG1,PTGER4,RAPGEF2"
HGF Signaling	0.00E+00	2.121320344	2.50E-01	"CCND1,ELF2,ETS2,ITGA7,ITGAV,ITGB1,ITGB2,MAP3K10,MAPK3,MRAS,PAK1,PIK3CA,RAC1"
HIF1α Signaling	0.00E+00	1.154700538	2.27E-01	"APEX1,CAMK2D,EP300,FLT1,HK1,MAPK3,MKNK2,MRAS,NOS2,PIK3CA,PPP3CA,RAC1,RAC2,RAN,RPS6"
HMGB1 Signaling	0.00E+00	1.666666667	3.14E-01	"Cdc42,KAT2A,KAT6B,MAPK3,MRAS,NFKB1,PIK3CA,RAC1,RAC2,RBBP7,RHOC"
HOTAIR Regulatory Pathway	0.00E+00	1.264911064	2.50E-01	"EP300,EZH2,HDAC2,NFKB1,PIK3CA,RBBP7,REST,RHOC,WIF1,WNT9A"
Heparan Sulfate Biosynthesis	0.00E+00	2.828427125	2.81E-01	"ALDH2,B4GALT7,Ces1b/Ces1c,CHST4,CHST7,PRDX6,SULT1B1,SULT1E1,SULT2B1"
