© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.lightcyan1
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	MM.lightcyan1
Date	Tue Apr 26 16:05:16 PDT 2022
Analysis ID	39446108

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression pvalue
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression other	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.lightcyan1
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Autophagy	-0E00	-0.6882472016116852	2.50E-01	ATR,BIRC6,CALM1 (includes others),EIF2A,EIF2AK3,EPG5,ERN1,MAP1LC3A,MAPK3,NFKB1,PIK3CA,PPP2R3A,PPP2R5E,PPP3CA,PRKAG1,RAB7A,SLC7A5,TBK1,VPS41	
Axonal Guidance Signaling	-0E00		3.02E-01	ACE,ACTR2,ADAMTS16,ADAMTS6,ARPC1B,ARPC2,ARPC3,ARPC4,CHMP1A,ECE2,EPHB1,GNAO1,GNB5,ITGA7,ITGAV,ITGB1,ITGB2,KCNJ12,L1CAM,MAPK3,MRAS,MYL1,MYL9,PAK1,PIK3CA,PLXNA2,PMPCA,PMPCB,PPP3CA,PRKAG1,PSMD14,PTCH1,PTCH2,RAC1,RAC2,ROBO1,ROBO2,SEMA6B,SEMA6C,SEMA6D,SLIT3,SUFU,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA4A,TUBB2B,TUBB4A,WNT9A	
B Cell Activating Factor Signaling	-0E00		1.00E-01	NFKB1	
B Cell Receptor Signaling	-0E00	1.0	2.58E-01	CALM1 (includes others),CAMK2D,CD22,CSK,EBF1,INPP5F,LYN,MAP3K10,MAPK3,MRAS,NFKB1,OCRL,PDPK1,PIK3CA,PPP3CA,RAC1,RAC2	
BER (Base Excision Repair) Pathway	-0E00	1.889822365046136	2.41E-01	APEX1,FEN1,MAPK3,MPG,PARP1,PCNA,RPA1	
BEX2 Signaling Pathway	-0E00	0.4472135954999579	2.50E-01	CCND1,NFKB1,PPP2R3A,PPP2R5E,SMARCB1	
BMP signaling pathway	-0E00	-0.8164965809277261	2.26E-01	MAGED1,MAPK3,MRAS,NFKB1,PRKAG1,SMAD1,SMAD9	
Basal Cell Carcinoma Signaling	-0E00		1.67E-01	PTCH1,PTCH2,SUFU,WNT9A	
Bladder Cancer Signaling	-0E00	0.4472135954999579	3.21E-01	CCND1,E2F2,EGFR,FGF20,FGFR3,HDAC2,HDAC7,MAPK3,MRAS	
Breast Cancer Regulation by Stathmin1	-0E00	-1.6397831834998458	3.22E-01	ADGRD1,ADGRL1,ARHGEF1,AURKB,AVPR1A,CALCRL,CAMK2D,CCKAR,CCND1,CCND2,CDK1,E2F2,FSHR,GABBR2,GNB5,GPR84,GRM4,GRM6,HTR1A,LGR4,LGR5,LHCGR,MAPK3,MRAS,NFKB1,NPY2R,NPY5R,PAK1,PIK3CA,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PRKAG1,PTGER4,RAC1,RAC2,RLIM,RXFP1,RXFP2,SHC2,TACR2,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA4A,TUBB2B,TUBB4A	
CCR3 Signaling in Eosinophils	-0E00	2.23606797749979	2.09E-01	CALM1 (includes others),GNAO1,GNB5,ITPR1,MAPK3,MRAS,PAK1,PIK3CA,RAC1	
CCR5 Signaling in Macrophages	-0E00		3.60E-01	CACNA1A,CACNA1B,CACNA2D1,CACNB2,CALM1 (includes others),GNAO1,GNB5,ITPR1,MRAS	
CD27 Signaling in Lymphocytes	-0E00		1.58E-01	CYC1,MAP3K10,NFKB1	
CD28 Signaling in T Helper Cells	-0E00	2.6726124191242437	3.59E-01	ACTR2,ARPC1B,ARPC2,ARPC3,ARPC4,CALM1 (includes others),CSK,ITPR1,NFKB1,PAK1,PDPK1,PIK3CA,PPP3CA,RAC1	
CD40 Signaling	-0E00		1.90E-01	MAPK3,NFKB1,PIK3CA,PTGS1	
CDK5 Signaling	-0E00	0.0	3.12E-01	ADCY1,ADCY6,ADCY9,CACNA1A,GUCY1A1,ITGB1,LAMA5,LAMC1,MAPK3,MRAS,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PRKAG1	
CDP-diacylglycerol Biosynthesis I	-0E00		8.33E-02	TAMM41	
CLEAR Signaling Pathway	-0E00	0.3244428422615251	3.39E-01	ATP6V0C,ATP6V1B1,CLCN7,CTNS,CTSF,EGFR,EIF2AK3,EP300,FGFR1,FGFR3,FLT1,GBA,GLB1,GUSB,HEXB,ITPR1,M6PR,MAPK3,MRAS,NAGLU,NPRL3,PDGFRB,PLBD2,PPP2R3A,PPP2R5E,PPP3CA,PRKAG1,PRKN,PSAP,RAB7A,RRAGA,RXRA,SCPEP1,SEC13,TGFBR1,VPS35,WDR59,YWHAB	
CNTF Signaling	-0E00		1.43E-01	MAPK3,MRAS,PIK3CA	
CSDE1 Signaling Pathway	-0E00	1.3416407864998738	2.38E-01	CNOT6,CTTN,EDC3,PUM1,RAC1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		2.14E-01	AP1S1,AP2A1,AP2M1,PIK3CA,PPP2R3A,PPP2R5E	
CXCR4 Signaling	-0E00	2.4961508830135313	3.05E-01	ADCY1,ADCY6,ADCY9,Cdc42,GNAO1,GNB5,GUCY1A1,ITPR1,LYN,MAPK3,MRAS,MYL1,MYL9,PAK1,PIK3CA,RAC1,RAC2,RHOC	
Cardiac Hypertrophy Signaling	-0E00	1.212678125181665	2.84E-01	ADCY1,ADCY6,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNB2,CALM1 (includes others),Cdc42,EP300,GATA4,GNAO1,GNB5,GUCY1A1,HAND2,MAP3K10,MAPK3,MRAS,MYL1,MYL9,PIK3CA,PPP3CA,PRKAG1,RAC1,RAC2,RHOC,TGFBR1	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	-1.2977713690461004	2.88E-01	ACE,ADCY1,ADCY6,ADCY9,APEX1,CACNA1A,CACNA1B,CACNA2D1,CACNB2,CALM1 (includes others),CAMK2D,EP300,FGF20,FGFR1,FGFR3,FGFRL1,GATA4,GDPD1,GNB5,GUCY1A1,HAND2,HDAC2,HDAC7,INPP5F,ITGA7,ITGAV,ITGB1,ITGB2,ITPR1,MAP3K10,MAPK3,MKNK2,MRAS,NFKB1,NPR1,PDE12,PDE3A,PDE4A,PDE4D,PDE7A,PDE9A,PIK3CA,PPP3CA,PRKAG1,RPS6,TGFBR1,WNT9A	
Cardiomyocyte Differentiation via BMP Receptors	-0E00		3.00E-01	GATA4,SMAD1,SMAD9	
Cell Cycle: G1/S Checkpoint Regulation	-0E00	0.0	3.46E-01	ATR,CCND1,CCND2,CCNE1,E2F2,HDAC2,HDAC7,RPL11,SKP1	
Ceramide Signaling	-0E00	-1.1338934190276817	2.65E-01	CERK,KSR1,MAPK3,MRAS,NFKB1,PIK3CA,PPP2R3A,PPP2R5E,SMPD1	
Chemokine Signaling	-0E00	1.0	1.74E-01	CALM1 (includes others),CAMK2D,MAPK3,MRAS	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	1.3416407864998738	2.16E-01	Cdc42,EGFR,ITPR1,MAPK3,MRAS,RAC1,RAC2,RHOC	
Cholesterol Biosynthesis I	-0E00		3.33E-01	DHCR24	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	-0E00		3.33E-01	DHCR24	
Cholesterol Biosynthesis III (via Desmosterol)	-0E00		3.33E-01	DHCR24	
Chronic Myeloid Leukemia Signaling	-0E00		2.75E-01	CCND1,CCND2,E2F2,HDAC2,HDAC7,MAPK3,MRAS,NFKB1,PIK3CA,STAT5A,TGFBR1	
Circadian Rhythm Signaling	-0E00		3.15E-01	ADCY1,ADCY6,ADCY9,BLK,CACNA1A,CACNA1B,CACNA2D1,CACNB2,CAMK2D,CLOCK,FRK,GNB5,GRIA1,GRIA2,GRIA3,GRIA4,GRIN2D,GRIN3A,GUCY1A1,GUCY2F,Gucy2g,HLF,ITPR1,LYN,MAPK3,MKNK2,MRAS,NOS1,NPR1,NR1D1,PRKAG1,RORA,SLC39A7,TRPC7	
Citrulline Biosynthesis	-0E00		2.50E-01	ALDH18A1	
Clathrin-mediated Endocytosis Signaling	-0E00		3.48E-01	ACTG1,ACTR2,AP1S1,AP2A1,AP2M1,APOD,ARPC1B,ARPC2,ARPC3,ARPC4,CSNK2B,CTTN,DNM1L,FGF20,HIP1,ITGB1,ITGB2,MYO6,PIK3CA,PPP3CA,RAB7A,RAC1,UBA52	
Coenzyme A Biosynthesis	-0E00		3.33E-01	COASY	
Colorectal Cancer Metastasis Signaling	-0E00	0.0	3.18E-01	ADCY1,ADCY6,ADCY9,APPL1,CCND1,Cdc42,EGFR,GNAO1,GNB5,GUCY1A1,LRP1,LRP6,MAPK3,MRAS,MSH2,MSH3,MSH6,NFKB1,NOS2,PIK3CA,PRKAG1,PTGER4,RAC1,RAC2,RHOC,TGFBR1,WNT9A	
Complement System	-0E00		3.33E-01	ITGB2	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	-0E00		3.33E-01	INPP5F,OCRL	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	0.0	3.09E-01	ALPL,ENTPD6,FIG4,INPP5F,NOCT,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRUNE1,PTPN1,PTPN23,PTPRF,PTPRJ,PTPRN,SACM1L,STYX	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	0.0	3.09E-01	ALPL,ENTPD6,FIG4,INPP5F,NOCT,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRUNE1,PTPN1,PTPN23,PTPRF,PTPRJ,PTPRN,SACM1L,STYX	
D-myo-inositol-5-phosphate Metabolism	-0E00	0.0	2.69E-01	ALPL,ENTPD6,FIG4,INPP5F,NOCT,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRUNE1,PTPN1,PTPN23,PTPRF,PTPRJ,PTPRN,SACM1L,STYX	
DNA Double-Strand Break Repair by Homologous Recombination	-0E00		3.33E-01	BRCA1,POLA1,RAD51,RPA1	
DNA Double-Strand Break Repair by Non-Homologous End Joining	-0E00		1.67E-01	PARP1,XRCC5	
DNA Methylation and Transcriptional Repression Signaling	-0E00		3.08E-01	CHD4,HDAC2,MBD1,RBBP7	
Dendritic Cell Maturation	-0E00	0.3779644730092272	2.19E-01	COL11A2,COL2A1,DDR2,IRF8,MAPK3,NFKB1,PIK3CA	
Dermatan Sulfate Biosynthesis	-0E00	2.82842712474619	3.33E-01	B4GALT7,CHST4,CHST7,CSGALNACT1,CSGALNACT2,SULT1B1,SULT1E1,SULT2B1	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	2.23606797749979	2.78E-01	CHST4,CHST7,SULT1B1,SULT1E1,SULT2B1	
Docosahexaenoic Acid (DHA) Signaling	-0E00		1.67E-01	PDPK1,PIK3CA	
Dolichyl-diphosphooligosaccharide Biosynthesis	-0E00		1.67E-01	ALG3	
Dopamine Receptor Signaling	-0E00	0.0	3.03E-01	ADCY1,ADCY6,ADCY9,GUCY1A1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PRKAG1,SMOX	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	-1.0	2.92E-01	ADCY1,ADCY6,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNB2,CALM1 (includes others),CSNK1G1,GRIN2D,GRIN3A,GUCY1A1,ITPR1,KCNJ12,NOS1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRKAG1	
EGF Signaling	-0E00	1.3416407864998738	2.27E-01	CSNK2B,EGFR,ITPR1,MAPK3,PIK3CA	
ERB2-ERBB3 Signaling	-0E00	2.4494897427831783	2.40E-01	CCND1,MAPK3,MRAS,PDPK1,PIK3CA,STAT5A	
ERBB Signaling	-0E00	1.6329931618554523	1.71E-01	EGFR,MAPK3,MRAS,PAK1,PDPK1,PIK3CA	
ERBB4 Signaling	-0E00	2.0	1.85E-01	MAPK3,MRAS,PDPK1,PIK3CA,YAP1	
ERK/MAPK Signaling	-0E00	0.5	2.92E-01	ELF2,ETS2,ITGA7,ITGAV,ITGB1,ITGB2,KSR1,MAPK3,MKNK2,MRAS,PAK1,PIK3CA,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PRKAG1,RAC1,RAC2,VRK2,YWHAB	
ERK5 Signaling	-0E00	1.0	2.11E-01	EGFR,MRAS,SGK1,YWHAB	
Endocannabinoid Cancer Inhibition Pathway	-0E00	0.47140452079103173	3.39E-01	ADCY1,ADCY6,ADCY9,CASP10,CASP2,CASQ1,CCND1,CCND2,CCNE1,EIF2A,GNAO1,GUCY1A1,MAPK3,NOS1,NOS2,PIK3CA,PRKAG1,SMPD1,TRIB3	
Endocannabinoid Developing Neuron Pathway	-0E00	1.7320508075688774	2.83E-01	ADCY1,ADCY6,ADCY9,BRCA1,CCND1,GNAO1,GNB5,GUCY1A1,MAPK3,MRAS,PAX6,PIK3CA,PRKAG1,RAC1,RAC2	
Endocannabinoid Neuronal Synapse Pathway	-0E00	-1.1470786693528088	3.44E-01	ADCY1,ADCY6,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNB2,GNAO1,GNB5,GRIA1,GRIA2,GRIA3,GRIA4,GRIN2D,GRIN3A,GUCY1A1,ITPR1,MAPK3,PPP3CA,PRKAG1,RIMS1	
Endometrial Cancer Signaling	-0E00	2.23606797749979	2.08E-01	CCND1,MAPK3,MRAS,PDPK1,PIK3CA	
Endoplasmic Reticulum Stress Pathway	-0E00		2.50E-01	EIF2AK3,ERN1	
Endothelin-1 Signaling	-0E00	1.6059101370939322	3.38E-01	ADCY1,ADCY6,ADCY9,CASP10,CASP2,CASQ1,ECE1,ECE2,GNAO1,GUCY1A1,GUCY2F,ITPR1,MAPK3,MRAS,NOS1,NOS2,NPR1,PIK3CA,PLAAT4,PLD1,PRDX6,PTGS1,SHC2	
Ephrin A Signaling	-0E00		1.67E-01	PAK1,PIK3CA,RAC1	
Ephrin Receptor Signaling	-0E00	1.697749375254331	3.33E-01	ACTR2,ANGPT1,ARPC1B,ARPC2,ARPC3,ARPC4,EPHB1,GNAO1,GNB5,GRIN2D,GRIN3A,ITGA7,ITGAV,ITGB1,ITGB2,MAPK3,MRAS,PAK1,RAC1,RAC2,SH2D3C,SORBS1	
Epithelial Adherens Junction Signaling	-0E00	1.5689290811054724	3.66E-01	ACTR2,AFDN,ARPC1B,ARPC2,ARPC3,ARPC4,EGFR,FGFR1,IQGAP1,LATS1,MRAS,MYH10,MYH4,NOTCH1,PAK1,PPP2R3A,PPP2R5E,PRKAG1,RAC1,RACGAP1,STK3,TGFBR1,TIAM1,VCL,YAP1,YWHAB	
Erythropoietin Signaling Pathway	-0E00	2.1105794120443453	3.24E-01	CCND1,CCND2,ITPR1,MAPK3,MRAS,NFKB1,PDPK1,PIK3CA,RAC1,RAC2,SHC2,STAT5A	
FAK Signaling	-0E00	-0.282842712474619	3.29E-01	ACTR2,ADGRD1,ADGRL1,ARPC1B,ARPC2,ARPC3,ARPC4,AVPR1A,CALCRL,CAPN2,CCKAR,CCND1,COL11A2,COL2A1,CSK,EGFR,ELF2,ETS2,FLT1,FSHR,GABBR2,GPR84,GRM4,GRM6,HTR1A,ITGA7,ITGAV,ITGB1,ITGB2,LGR4,LGR5,LHCGR,MAPK3,MRAS,NFKB1,NPY2R,NPY5R,PAK1,PDGFRB,PDPK1,PIK3CA,PTGER4,PTPRA,RAC1,RXFP1,RXFP2,SOCS7,SPARCL1,TACR2,TGFBR1	
FAT10 Cancer Signaling Pathway	-0E00		2.73E-01	NFKB1,PCNA,TGFBR1	
FGF Signaling	-0E00	0.0	2.67E-01	FGF20,FGFR1,FGFR3,FGFRL1,ITPR1,MAPK3,PIK3CA,RAC1	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00	2.23606797749979	2.00E-01	MAPK3,MRAS,PDPK1,PIK3CA,STAT5A	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	-1.414213562373095	1.85E-01	CAMK2D,CCND1,GATA4,LRP1,LRP6,SCN5A,SMAD1,SMAD9,TGFBR1,WNT9A	
Fc Epsilon RI Signaling	-0E00	2.3333333333333335	2.20E-01	INPP5F,LYN,MAPK3,MRAS,OCRL,PDPK1,PIK3CA,RAC1,RAC2	
FcγRIIB Signaling in B Lymphocytes	-0E00	2.0	3.46E-01	CACNA1A,CACNA1B,CACNA2D1,CACNB2,ITPR1,LYN,MRAS,PDPK1,PIK3CA	
Ferroptosis Signaling Pathway	-0E00	-1.4142135623730951	3.67E-01	ARF1,BAP1,CBS/CBSL,EIF2A,EIF2AK3,FTH1,FTMT,GCLC,GPX4,H2AZ1,MAPK3,MRAS,PRKAG1,SLC7A11,STEAP3,VDAC2,WWTR1,YAP1	
Folate Polyglutamylation	-0E00		2.50E-01	FPGS	
G Beta Gamma Signaling	-0E00	0.5773502691896258	3.50E-01	ADCY1,CACNA1A,CACNA1B,CACNA2D1,CACNB2,EGFR,GNAO1,GNB5,ITPR1,MAPK3,MRAS,PAK1,PDPK1,PRKAG1	
G Protein Signaling Mediated by Tubby	-0E00		2.14E-01	GNAO1,GNB5,MRAS	
G-Protein Coupled Receptor Signaling	-0E00	-0.8962581595302719	3.10E-01	ADCY1,ADCY6,ADCY9,ADGRD1,ADGRL1,APEX1,AVPR1A,CALCRL,CALM1 (includes others),CAMK2D,CCKAR,CCND1,FOXO6,FSHR,GABBR2,GDPD1,GNAO1,GNB5,GPR84,GRM4,GRM6,GUCY1A1,HTR1A,KCNN2,LATS1,LGR4,LGR5,LHCGR,MAP3K10,MAPK3,MEGF6,MRAS,MYL1,MYL9,NFKB1,NPY2R,NPY5R,PAK1,PDE12,PDE3A,PDE4A,PDE4D,PDE7A,PDE9A,PDPK1,PIK3CA,PPP3CA,PRKAG1,PTGER4,RAC1,RAC2,RGS12,RGS7,RXFP1,RXFP2,SHC2,SYNGAP1,TACR2,TTN,WWTR1,YAP1	
GDNF Family Ligand-Receptor Interactions	-0E00	2.0	2.00E-01	ITPR1,MAPK3,MRAS,PIK3CA,RAC1	
GDP-mannose Biosynthesis	-0E00		2.00E-01	GMPPA	
GM-CSF Signaling	-0E00	1.6329931618554523	2.69E-01	CAMK2D,CCND1,LYN,MAPK3,MRAS,PIK3CA,PPP3CA	
GNRH Signaling	-0E00	0.8320502943378437	2.94E-01	ADCY1,ADCY6,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNB2,CALM1 (includes others),CAMK2D,EGFR,GNB5,GUCY1A1,ITPR1,MAP3K10,MAPK3,MRAS,NFKB1,PAK1,PRKAG1,RAC1	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	1.1338934190276817	2.67E-01	ADCY1,ADCY6,ADCY9,CCKAR,GUCY1A1,ITPR1,NPY2R,PRKAG1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	-0.3333333333333333	2.56E-01	ADCY1,ADCY6,ADCY9,CACNA1A,CACNA1B,CACNA2D1,CACNB2,GUCY1A1,ITPR1,PRKAG1	
Gap Junction Signaling	-0E00		3.45E-01	ACTG1,ADCY1,ADCY6,ADCY9,CSNK1G1,EGFR,GRIA1,GRIA2,GRIA3,GRIA4,GRIK1,GRIK2,GRIK3,GUCY1A1,GUCY2F,Gucy2g,ITPR1,MAPK3,MRAS,NPR1,PIK3CA,PPP3CA,PRKAG1,SLC39A7,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA4A,TUBB2B,TUBB4A	
Germ Cell-Sertoli Cell Junction Signaling	-0E00		3.52E-01	A2M,ACTG1,AFDN,Cdc42,IQGAP1,ITGB1,LAMC3,MAP3K10,MAPK3,MRAS,PAK1,PDPK1,PIK3CA,RAC1,RAC2,RHOC,SORBS1,TGFBR1,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA4A,TUBB2B,TUBB4A,VCL	
Glioblastoma Multiforme Signaling	-0E00	1.8973665961010275	2.67E-01	CCND1,CCND2,CCNE1,Cdc42,E2F2,EGFR,ITPR1,MAPK3,MRAS,PDGFRB,PIK3CA,RAC1,RAC2,RHOC,SHC2,WNT9A	
Glioma Invasiveness Signaling	-0E00	2.23606797749979	3.08E-01	Cdc42,ITGAV,MAPK3,MRAS,PIK3CA,RAC1,RAC2,RHOC	
