Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Axonal Guidance Signaling	0.00E+00		1.25E-01	"ACE,ARPC1B,ARPC3,ARPC4,ECE2,ITGA8,ITGB2,L1CAM,MRAS,PAK1,PLCZ1,PMPCB,ROBO1,ROBO2,SOS1,TUBA1B,TUBA3C/TUBA3D,TUBA3E,TUBB2B,TUBB4A"
B Cell Receptor Signaling	0.00E+00	0	7.58E-02	"CALM1 (includes others),CAMK2D,EBF1,MRAS,SOS1"
BAG2 Signaling Pathway	0.00E+00		6.67E-02	"CHRNA7,PRKN,PSMC2"
BEX2 Signaling Pathway	0.00E+00		1.00E-01	"CCND1,PTPA"
BMP signaling pathway	0.00E+00		6.45E-02	"MRAS,SOS1"
Breast Cancer Regulation by Stathmin1	0.00E+00	-2.523573073	1.28E-01	"AURKB,CAMK2D,CCKAR,CCND1,CDK1,FSHR,GPR84,HTR1A,LHCGR,MRAS,PAK1,PTPA,SOS1,SPDEF,TUBA1B,TUBA3C/TUBA3D,TUBA3E,TUBB2B,TUBB4A"
CCR3 Signaling in Eosinophils	0.00E+00		6.98E-02	"CALM1 (includes others),MRAS,PAK1"
CCR5 Signaling in Macrophages	0.00E+00		1.20E-01	"CACNA1A,CALM1 (includes others),MRAS"
CD27 Signaling in Lymphocytes	0.00E+00		5.26E-02	CYC1
CD28 Signaling in T Helper Cells	0.00E+00	2.236067977	1.28E-01	"ARPC1B,ARPC3,ARPC4,CALM1 (includes others),PAK1"
CDK5 Signaling	0.00E+00	-0.447213595	1.25E-01	"ADCY1,CACNA1A,GUCY1B1,LAMC1,MRAS,PTPA"
CNTF Signaling	0.00E+00		9.52E-02	"MRAS,SOS1"
CREB Signaling in Neurons	0.00E+00	-0.774596669	1.15E-01	"ADCY1,CACNA1A,CALM1 (includes others),CAMK2D,CCKAR,EP300,FGFR1,FSHR,GPR84,GRID1,GRIK2,GUCY1B1,HTR1A,LHCGR,MRAS,PLCZ1,SOS1,TBP,TGFBR1"
CSDE1 Signaling Pathway	0.00E+00		4.76E-02	RPL9
CTLA4 Signaling in Cytotoxic T Lymphocytes	0.00E+00		7.14E-02	"AP2A1,PTPA"
CXCR4 Signaling	0.00E+00		6.78E-02	"ADCY1,GUCY1B1,MRAS,PAK1"
Calcium Signaling	0.00E+00	-0.377964473	1.35E-01	"ACTC1,ATP2C1,CACNA1A,CALM1 (includes others),CAMK2D,CASQ1,CHRNA7,EP300,HDAC2,HDAC7,SLC8A2,TRPC5"
Cancer Drug Resistance By Drug Efflux	0.00E+00		9.09E-02	"MRAS,YBX1"
Cardiac Hypertrophy Signaling	0.00E+00	0.333333333	1.06E-01	"ADCY1,CACNA1A,CALM1 (includes others),EP300,GATA4,GUCY1B1,MRAS,PLCZ1,SOS1,TGFBR1"
Cardiac Hypertrophy Signaling (Enhanced)	0.00E+00	0	1.24E-01	"ACE,ADCY1,CACNA1A,CALM1 (includes others),CAMK2D,DLG1,EP300,FGFR1,GATA4,GUCY1B1,HDAC2,HDAC7,ITGA8,ITGB2,MRAS,NPR1,PDE8A,PLCZ1,SMPDL3B,TGFBR1"
Cardiac β-adrenergic Signaling	0.00E+00	0	1.32E-01	"ADCY1,AKAP1,CACNA1A,GUCY1B1,MRAS,PDE8A,PTPA,SLC8A2,SMPDL3B"
Cardiomyocyte Differentiation via BMP Receptors	0.00E+00		1.00E-01	GATA4
Chemokine Signaling	0.00E+00		1.30E-01	"CALM1 (includes others),CAMK2D,MRAS"
Cholecystokinin/Gastrin-mediated Signaling	0.00E+00		5.41E-02	"MRAS,SOS1"
Chondroitin Sulfate Biosynthesis	0.00E+00		8.33E-02	"CHST13,SULT1E1"
Chondroitin Sulfate Biosynthesis (Late Stages)	0.00E+00		1.00E-01	"CHST13,SULT1E1"
Colorectal Cancer Metastasis Signaling	0.00E+00	0	9.41E-02	"ADCY1,CCND1,GUCY1B1,LRP1,LRP6,MRAS,SOS1,TGFBR1"
"D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis"	0.00E+00		6.67E-02	PLCZ1
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	0.00E+00		6.06E-02	"ALPL,ENTPD6,NUDT11,PTPA"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	0.00E+00		6.06E-02	"ALPL,ENTPD6,NUDT11,PTPA"
D-myo-inositol-5-phosphate Metabolism	0.00E+00	0	6.58E-02	"ALPL,ENTPD6,NUDT11,PLCZ1,PTPA"
DNA Double-Strand Break Repair by Non-Homologous End Joining	0.00E+00		8.33E-02	PARP1
Dendritic Cell Maturation	0.00E+00		6.25E-02	"COL2A1,PLCZ1"
Dermatan Sulfate Biosynthesis	0.00E+00		8.33E-02	"CHST13,SULT1E1"
Dermatan Sulfate Biosynthesis (Late Stages)	0.00E+00		1.11E-01	"CHST13,SULT1E1"
Dilated Cardiomyopathy Signaling Pathway	0.00E+00	-2	1.25E-01	"ACTC1,ACTG1,ADCY1,CACNA1A,CAMK2D,GUCY1B1,SCN5A"
Dopamine Receptor Signaling	0.00E+00		9.09E-02	"ADCY1,GUCY1B1,PTPA"
Dopamine-DARPP32 Feedback in cAMP Signaling	0.00E+00	0	8.45E-02	"ADCY1,CACNA1A,CALM1 (includes others),GUCY1B1,PLCZ1,PTPA"
EGF Signaling	0.00E+00		9.09E-02	"CSNK2B,SOS1"
ERB2-ERBB3 Signaling	0.00E+00		1.20E-01	"CCND1,MRAS,SOS1"
ERBB Signaling	0.00E+00		8.57E-02	"MRAS,PAK1,SOS1"
ERBB4 Signaling	0.00E+00		7.41E-02	"MRAS,SOS1"
ERK/MAPK Signaling	0.00E+00	1.133893419	1.25E-01	"ITGA8,ITGB2,KSR1,MRAS,PAK1,PTPA,RAPGEF4,SOS1,VRK2"
ERK5 Signaling	0.00E+00		5.26E-02	MRAS
Endocannabinoid Developing Neuron Pathway	0.00E+00	2	9.43E-02	"ADCY1,CCND1,GUCY1B1,MLST8,MRAS"
Endocannabinoid Neuronal Synapse Pathway	0.00E+00	0.447213595	9.84E-02	"ADCY1,CACNA1A,GUCY1B1,NDUFS2,PLCZ1,RIMS1"
Endometrial Cancer Signaling	0.00E+00		1.25E-01	"CCND1,MRAS,SOS1"
Ephrin A Signaling	0.00E+00		5.56E-02	PAK1
Ephrin B Signaling	0.00E+00		1.30E-01	"ITSN2,MRAS,PAK1"
Ephrin Receptor Signaling	0.00E+00	1.632993162	1.36E-01	"ANGPT1,ARPC1B,ARPC3,ARPC4,ITGA8,ITGB2,MRAS,PAK1,SOS1"
Erythropoietin Signaling Pathway	0.00E+00		8.11E-02	"CCND1,MRAS,SOS1"
FAK Signaling	0.00E+00	1.212678125	1.12E-01	"ARPC1B,ARPC3,ARPC4,CCKAR,CCND1,COL2A1,FSHR,GPR84,HTR1A,ITGA8,ITGB2,LHCGR,MRAS,PAK1,SOS1,SPARCL1,TGFBR1"
FAT10 Signaling Pathway	0.00E+00		3.03E-02	PSMC2
FGF Signaling	0.00E+00		6.67E-02	"FGFR1,SOS1"
FLT3 Signaling in Hematopoietic Progenitor Cells	0.00E+00		8.00E-02	"MRAS,SOS1"
FXR/RXR Activation	0.00E+00		1.20E-01	"FBP1,MTTP,NR5A2"
Fc Epsilon RI Signaling	0.00E+00		4.88E-02	"MRAS,SOS1"
FcγRIIB Signaling in B Lymphocytes	0.00E+00		1.15E-01	"CACNA1A,MRAS,SOS1"
G Beta Gamma Signaling	0.00E+00	0.447213595	1.25E-01	"ADCY1,CACNA1A,MRAS,PAK1,SOS1"
G Protein Signaling Mediated by Tubby	0.00E+00		7.14E-02	MRAS
G-Protein Coupled Receptor Signaling	0.00E+00	0.688247202	9.69E-02	"ADCY1,CALM1 (includes others),CAMK2D,CCKAR,CCND1,CNGA3,CNGB3,FSHR,GPR84,GUCY1B1,HTR1A,KCNN2,LHCGR,MRAS,PAK1,PDE8A,RAPGEF4,SMPDL3B,SOS1"
GDNF Family Ligand-Receptor Interactions	0.00E+00		1.20E-01	"MRAS,RET,SOS1"
GNRH Signaling	0.00E+00	-0.447213595	1.18E-01	"ADCY1,CACNA1A,CALM1 (includes others),CAMK2D,GUCY1B1,MRAS,PAK1,SOS1"
GP6 Signaling Pathway	0.00E+00	2.236067977	1.19E-01	"CALM1 (includes others),COL2A1,COL7A1,LAMC1,LAMC3"
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	0.00E+00		1.33E-01	"ADCY1,CCKAR,GUCY1B1,PLCZ1"
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	0.00E+00	0	1.28E-01	"ADCY1,CACNA1A,GUCY1B1,PLCZ1,RAPGEF4"
Glioblastoma Multiforme Signaling	0.00E+00	1	6.67E-02	"CCND1,MRAS,PLCZ1,SOS1"
Glioma Invasiveness Signaling	0.00E+00		3.85E-02	MRAS
Glutamate Receptor Signaling	0.00E+00		1.08E-01	"CALM1 (includes others),GLUL,GRID1,GRIK2"
Granulocyte Adhesion and Diapedesis	0.00E+00		9.09E-02	ITGB2
Growth Hormone Signaling	0.00E+00		3.70E-02	A2M
Gα12/13 Signaling	0.00E+00		2.78E-02	MRAS
Gαi Signaling	0.00E+00	0	1.14E-01	"ADCY1,GUCY1B1,HTR1A,MRAS,SOS1"
Gαq Signaling	0.00E+00		5.88E-02	"ARHGEF25,CALM1 (includes others),MRAS"
HER-2 Signaling in Breast Cancer	0.00E+00	1.133893419	1.17E-01	"BLK,CCND1,COPS6,ITGB2,MLST8,MRAS,NUP37,NUP93,SOS1"
HGF Signaling	0.00E+00	1	1.15E-01	"CCND1,ITGA8,ITGB2,MRAS,PAK1,SOS1"
HIF1α Signaling	0.00E+00	-0.447213595	7.58E-02	"CAMK2D,EP300,MRAS,NAA10,RACK1"
HMGB1 Signaling	0.00E+00		2.86E-02	MRAS
HOTAIR Regulatory Pathway	0.00E+00		5.00E-02	"EP300,HDAC2"
Hepatic Cholestasis	0.00E+00		1.14E-01	"ADCY1,CYP3A5,GUCY1B1,NR5A2,SLC22A6"
Hepatic Fibrosis Signaling Pathway	0.00E+00	-0.333333333	1.06E-01	"CACNA1A,CALM1 (includes others),CCND1,COL2A1,FGFR1,ITGA8,ITGB2,LRP1,LRP6,MRAS,SOD2,SOS1,TGFBR1"
Human Embryonic Stem Cell Pluripotency	0.00E+00		6.98E-02	"FGFR1,MRAS,TGFBR1"
Huntington's Disease Signaling	0.00E+00	0	1.19E-01	"ATP5F1A,ATP5F1B,ATP5F1C,ATP5PB,CASQ1,EP300,HDAC2,HDAC7,NAPA,NSF,PSMC2,RPS27A,SOS1,TBP,UBA52"
Hypoxia Signaling in the Cardiovascular System	0.00E+00		1.25E-01	"EP300,P4HB,UBE2Q2,UBE2W"
ICOS-ICOSL Signaling in T Helper Cells	0.00E+00		8.00E-02	"CALM1 (includes others),CAMK2D"
ID1 Signaling Pathway	0.00E+00	0	1.14E-01	"BLK,CCND1,CHRNA7,EP300,FGFR1,MRAS,TGFBR1,TYMS"
IGF-1 Signaling	0.00E+00		1.08E-01	"CCN1,CSNK2B,MRAS,SOS1"
IL-1 Signaling	0.00E+00		8.11E-02	"ADCY1,GUCY1B1,MRAS"
IL-10 Signaling	0.00E+00		8.33E-02	ARG2
IL-12 Signaling and Production in Macrophages	0.00E+00		3.45E-02	EP300
IL-15 Production	0.00E+00	-0.447213595	1.25E-01	"BLK,FGFR1,RET,ROR1,SRMS"
IL-15 Signaling	0.00E+00		8.00E-02	"MLST8,MRAS"
IL-17 Signaling	0.00E+00		3.57E-02	MRAS
IL-23 Signaling Pathway	0.00E+00		8.33E-02	RORA
IL-3 Signaling	0.00E+00		1.03E-01	"MRAS,PAK1,SOS1"
IL-4 Signaling	0.00E+00		9.09E-02	"MRAS,SOS1"
IL-6 Signaling	0.00E+00	0	1.21E-01	"A2M,CSNK2B,MRAS,SOS1"
IL-7 Signaling Pathway	0.00E+00		1.20E-01	"CCND1,EBF1,SOS1"
IL-8 Signaling	0.00E+00	2	6.35E-02	"ANGPT1,CCND1,ITGB2,MRAS"
ILK Signaling	0.00E+00	1.133893419	1.06E-01	"ACTC1,ACTG1,CCND1,FLNC,ITGB2,PTPA,VCL"
Inhibition of ARE-Mediated mRNA Degradation Pathway	0.00E+00		3.95E-02	"CNOT8,PSMC2,PTPA"
Insulin Receptor Signaling	0.00E+00		5.56E-02	"ACLY,MRAS,SOS1"
JAK/STAT Signaling	0.00E+00		8.00E-02	"MRAS,SOS1"
Kinetochore Metaphase Signaling Pathway	0.00E+00	2	1.11E-01	"AURKB,CDC16,CDK1,H2AZ1"
LPS-stimulated MAPK Signaling	0.00E+00		6.25E-02	"MRAS,PAK1"
LXR/RXR Activation	0.00E+00		5.00E-02	ARG2
Leptin Signaling in Obesity	0.00E+00		8.82E-02	"ADCY1,GUCY1B1,PLCZ1"
Leukocyte Extravasation Signaling	0.00E+00	2	9.80E-02	"ACTC1,ACTG1,ITGB2,RAPGEF4,VCL"
Lymphotoxin β Receptor Signaling	0.00E+00		1.25E-01	"CYC1,EP300"
MSP-RON Signaling In Cancer Cells Pathway	0.00E+00		7.50E-02	"CCND1,MRAS,SOS1"
MSP-RON Signaling In Macrophages Pathway	0.00E+00		1.25E-01	"ITGB2,MRAS,SOS1"
Macropinocytosis Signaling	0.00E+00		1.38E-01	"ITGB2,MRAS,MRC1,PAK1"
Melanocyte Development and Pigmentation Signaling	0.00E+00	0	1.19E-01	"ADCY1,EP300,GUCY1B1,MRAS,SOS1"
Melanoma Signaling	0.00E+00		1.11E-01	"CCND1,MRAS"
Melatonin Signaling	0.00E+00	1	1.29E-01	"CALM1 (includes others),CAMK2D,PLCZ1,RORA"
Mitotic Roles of Polo-Like Kinase	0.00E+00		1.25E-01	"CCNB3,CDC16,CDK1,PTPA"
Molecular Mechanisms of Cancer	0.00E+00		1.06E-01	"ADCY1,CAMK2D,CCND1,CDK1,CDK8,EP300,GUCY1B1,HDAC2,HDAC7,ITGA8,ITGB2,LRP1,LRP6,MRAS,PAK1,SOS1,TGFBR1"
Mouse Embryonic Stem Cell Pluripotency	0.00E+00		5.71E-02	"MRAS,SOS1"
NAD Signaling Pathway	0.00E+00	0.816496581	8.82E-02	"ACADL,ETFA,NADSYN1,PARP1,SIRT7,SOD2"
NF-κB Activation by Viruses	0.00E+00		7.14E-02	"MRAS,TBP"
NF-κB Signaling	0.00E+00	0	1.30E-01	"CSNK2B,EP300,FGFR1,HDAC2,MRAS,TGFBR1"
NGF Signaling	0.00E+00	0	9.30E-02	"MRAS,SMPD1,SMPD2,SOS1"
Natural Killer Cell Signaling	0.00E+00	0	7.55E-02	"COL2A1,MRAS,PAK1,SOS1"
Netrin Signaling	0.00E+00		3.23E-02	CACNA1A
Neuregulin Signaling	0.00E+00		9.30E-02	"ITGA8,ITGB2,MRAS,SOS1"
Neuroinflammation Signaling Pathway	0.00E+00		8.57E-02	"GABRA6,GABRR2,GLUL,IDE,SOD2,TGFBR1"
Neuropathic Pain Signaling In Dorsal Horn Neurons	0.00E+00		6.00E-02	"CAMK2D,KCNN2,PLCZ1"
Neurotrophin/TRK Signaling	0.00E+00		8.00E-02	"MRAS,SOS1"
Nitric Oxide Signaling in the Cardiovascular System	0.00E+00	0	1.33E-01	"ARG2,CACNA1A,CALM1 (includes others),GUCY1B1,GUCY2C,NPR1"
Notch Signaling	0.00E+00		6.67E-02	NOTCH2
Opioid Signaling Pathway	0.00E+00	-0.707106781	9.71E-02	"ADCY1,AP2A1,BLK,CACNA1A,CALM1 (includes others),CAMK2D,EP300,GUCY1B1,MRAS,SOS1"
Osteoarthritis Pathway	0.00E+00	1.341640786	1.29E-01	"ALPL,CASQ1,COL2A1,FGFR1,ITGA8,ITGB2,LRP1,TGFBR1"
Ovarian Cancer Signaling	0.00E+00		9.68E-02	"CCND1,FSHR,HDAC2,HDAC7,LHCGR,MRAS"
Oxytocin In Brain Signaling Pathway	0.00E+00	0.816496581	1.11E-01	"CACNA1A,CALM1 (includes others),EIF2A,MRAS,PLAAT4,PRDX6"
Oxytocin Signaling Pathway	0.00E+00	0.333333333	9.00E-02	"CACNA1A,CALM1 (includes others),CTH,GUCY1B1,GUCY2C,Gucy2d,MRAS,NPR1,SOS1"
P2Y Purigenic Receptor Signaling Pathway	0.00E+00		8.33E-02	"ADCY1,GUCY1B1,MRAS,PLCZ1"
PAK Signaling	0.00E+00		1.19E-01	"ITGA8,ITGB2,MRAS,PAK1,SOS1"
"PD-1, PD-L1 cancer immunotherapy pathway"	0.00E+00		4.35E-02	CSNK2B
PDGF Signaling	0.00E+00		9.68E-02	"CSNK2B,MRAS,SOS1"
PEDF Signaling	0.00E+00		7.41E-02	"MRAS,SOD2"
PFKFB4 Signaling Pathway	0.00E+00		5.00E-02	FBP1
PI3K Signaling in B Lymphocytes	0.00E+00	0.447213595	1.22E-01	"BLK,CALM1 (includes others),CAMK2D,MRAS,PLCZ1"
PI3K/AKT Signaling	0.00E+00	1	1.07E-01	"CCND1,ITGA8,ITGB2,MRAS,PTPA,SOS1"
PKCθ Signaling in T Lymphocytes	0.00E+00		1.11E-01	"CACNA1A,CAMK2D,MRAS,POU2F1,SOS1"
PPAR Signaling	0.00E+00		1.25E-01	"EP300,MRAS,SOS1"
PPARα/RXRα Activation	0.00E+00	0.707106781	1.33E-01	"ACADL,ACOX1,ADCY1,EP300,GOT2,GUCY1B1,MRAS,PLCZ1,SOS1,TGFBR1"
Pancreatic Adenocarcinoma Signaling	0.00E+00		1.03E-01	"CCND1,HDAC2,HDAC7,TGFBR1"
Phagosome Formation	0.00E+00	1.697749375	1.02E-01	"ARPC1B,ARPC3,ARPC4,CCKAR,FSHR,GPR84,HTR1A,ITGA8,ITGB2,LHCGR,MRAS,MRC1,PAK1,PLAAT4,PRDX6,RAPGEF4,SOS1"
Phospholipase C Signaling	0.00E+00	0.816496581	1.28E-01	"ADCY1,CALM1 (includes others),EP300,GUCY1B1,HDAC2,HDAC7,ITGA8,ITGB2,MRAS,SOS1"
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	0.00E+00		5.26E-02	"ARG2,CAT,PTPA"
Prolactin Signaling	0.00E+00		1.00E-01	"EP300,MRAS,SOS1"
Prostate Cancer Signaling	0.00E+00		1.25E-01	"CCND1,HDAC2,HDAC7,MRAS,SOS1"
Protein Kinase A Signaling	0.00E+00	1.264911064	9.93E-02	"ADCY1,AKAP1,CALM1 (includes others),CAMK2D,CDC16,CNGA3,CNGB3,FLNC,GUCY1B1,PDE8A,PLCZ1,PTPRD,PYGB,SMPDL3B,TGFBR1"
Protein Ubiquitination Pathway	0.00E+00		6.82E-02	"PRKN,PSMC2,RPS27A,SKP1,THOP1,UBA52,UBE2Q2,UBE2W,USP10"
Pulmonary Fibrosis Idiopathic Signaling Pathway	0.00E+00	0.632455532	1.21E-01	"ACTC1,ACTG1,CCND1,COL2A1,COL7A1,EP300,FGFR1,MRAS,NOTCH2,PRKN,SOS1,TGFBR1"
Pulmonary Healing Signaling Pathway	0.00E+00	0	1.31E-01	"BLK,CCND1,CHRNA7,EP300,FGFR1,MRAS,NOTCH2,SOS1"
Pyridoxal 5'-phosphate Salvage Pathway	0.00E+00		1.07E-01	"CDK1,CDK8,PAK1"
RAC Signaling	0.00E+00	2.236067977	1.21E-01	"ARPC1B,ARPC3,ARPC4,ITGA8,ITGB2,MRAS,PAK1"
RANK Signaling in Osteoclasts	0.00E+00		3.70E-02	CALM1 (includes others)
RHOA Signaling	0.00E+00	2.236067977	1.19E-01	"ACTC1,ACTG1,ARPC1B,ARPC3,ARPC4"
Reelin Signaling in Neurons	0.00E+00	0.447213595	9.68E-02	"ARHGEF25,ARPC1B,ARPC3,ARPC4,BLK,CAMK2D"
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	0.00E+00	-1	7.41E-02	"FGFR1,MRAS,SOS1,TGFBR1"
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	0.00E+00	1	1.38E-01	"CALM1 (includes others),MRAS,SOS1,TGFBR1"
Regulation of the Epithelial-Mesenchymal Transition Pathway	0.00E+00		7.69E-02	"FGFR1,MRAS,NOTCH2,SOS1,TGFBR1"
Relaxin Signaling	0.00E+00	0	1.34E-01	"ADCY1,CTH,GUCY1B1,GUCY2C,Gucy2d,MRAS,NPR1,PDE8A,SMPDL3B"
Renin-Angiotensin Signaling	0.00E+00	1	1.25E-01	"ACE,ADCY1,GUCY1B1,MRAS,PAK1,SOS1"
Retinoic acid Mediated Apoptosis Signaling	0.00E+00		1.25E-01	PARP1
Role of BRCA1 in DNA Damage Response	0.00E+00		1.21E-01	"BRIP1,PBRM1,POU2F1,RFC2"
Role of JAK1 and JAK3 in γc Cytokine Signaling	0.00E+00		5.56E-02	MRAS
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	0.00E+00		1.18E-01	"PLAAT4,PRDX6"
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis"	0.00E+00		8.75E-02	"CALM1 (includes others),CAMK2D,CCND1,LRP1,LRP6,MRAS,PLCZ1"
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	0.00E+00		7.32E-02	"GATA4,MRAS,SOS1"
Role of NFAT in Regulation of the Immune Response	0.00E+00		7.27E-02	"CALM1 (includes others),GATA4,MRAS,SOS1"
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	0.00E+00		1.25E-01	"NR5A2,PARP1"
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis"	0.00E+00		7.14E-02	"ALPL,CALM1 (includes others),LRP1,LRP6"
Role of PKR in Interferon Induction and Antiviral Response	0.00E+00		6.06E-02	"CYC1,TARBP2"
Role of Tissue Factor in Cancer	0.00E+00		1.14E-01	"BLK,CCN1,MRAS,P4HB,PAK1"
Role of p14/p19ARF in Tumor Suppression	0.00E+00		1.11E-01	SF3A1
SAPK/JNK Signaling	0.00E+00		5.41E-02	"MRAS,SOS1"
SNARE Signaling Pathway	0.00E+00	-1.414213562	1.36E-01	"ADCY1,CALM1 (includes others),CAMK2D,GUCY1B1,NAPA,NSF,RIMS1,SYT14"
SPINK1 General Cancer Pathway	0.00E+00		5.88E-02	MRAS
STAT3 Pathway	0.00E+00		9.68E-02	"FGFR1,MRAS,TGFBR1"
Salvage Pathways of Pyrimidine Ribonucleotides	0.00E+00	2	1.08E-01	"CDK1,CDK8,NME1,PAK1"
Semaphorin Neuronal Repulsive Signaling Pathway	0.00E+00	1	8.47E-02	"BCAN,GUCY1B1,ITGA8,ITGB2,PAK1"
Semaphorin Signaling in Neurons	0.00E+00		5.00E-02	PAK1
Signaling by Rho Family GTPases	0.00E+00	2.645751311	1.06E-01	"ACTC1,ACTG1,ARPC1B,ARPC3,ARPC4,ITGA8,ITGB2,MRAS,PAK1"
Small Cell Lung Cancer Signaling	0.00E+00		1.25E-01	"CCND1,CYC1,HDAC2,HDAC7"
Sonic Hedgehog Signaling	0.00E+00		5.88E-02	CDK1
Spliceosomal Cycle	0.00E+00		3.45E-02	SF3A1
Stearate Biosynthesis I (Animals)	0.00E+00		8.70E-02	"PPT1,TECR"
Sumoylation Pathway	0.00E+00		1.14E-01	"EP300,HDAC2,PCNA,RFC2"
Superpathway of Inositol Phosphate Compounds	0.00E+00	0	5.49E-02	"ALPL,ENTPD6,NUDT11,PLCZ1,PTPA"
Synaptic Long Term Potentiation	0.00E+00	0.816496581	1.02E-01	"ADCY1,CALM1 (includes others),CAMK2D,EP300,MRAS,PLCZ1"
Synaptogenesis Signaling Pathway	0.00E+00	0.25819889	1.20E-01	"ADCY1,AP2A1,ARPC1B,ARPC3,ARPC4,CALM1 (includes others),CAMK2D,GUCY1B1,ITSN2,LRP1,MRAS,NAPA,NSF,PAK1,SOS1,SYT14"
Systemic Lupus Erythematosus In B Cell Signaling Pathway	0.00E+00	1.341640786	1.00E-01	"CALM1 (includes others),CCND1,MRAS,PLAAT4,SOS1"
Systemic Lupus Erythematosus In T Cell Signaling Pathway	0.00E+00	-0.816496581	9.52E-02	"CASQ1,DNMT1,MLST8,MRAS,PTPA,SOS1"
T Cell Exhaustion Signaling Pathway	0.00E+00		7.50E-02	"MRAS,PTPA,TGFBR1"
T Cell Receptor Signaling	0.00E+00	1	1.00E-01	"CALM1 (includes others),ITGB2,MLST8,MRAS,SOS1"
TEC Kinase Signaling	0.00E+00	1.341640786	1.35E-01	"ACTC1,ACTG1,BLK,ITGA8,ITGB2,MRAS,PAK1"
TGF-β Signaling	0.00E+00	0	1.25E-01	"EP300,MRAS,SOS1,TGFBR1"
TNFR1 Signaling	0.00E+00		8.33E-02	PAK1
TR/RXR Activation	0.00E+00		1.07E-01	"ENO1,EP300,RAB3B"
Telomere Extension by Telomerase	0.00E+00		1.11E-01	TERF2
Th1 Pathway	0.00E+00		9.52E-02	"ITGB2,NOTCH2"
Th1 and Th2 Activation Pathway	0.00E+00		1.00E-01	"ITGB2,NOTCH2,TGFBR1"
Th17 Activation Pathway	0.00E+00		1.00E-01	RORA
Th2 Pathway	0.00E+00		1.03E-01	"ITGB2,NOTCH2,TGFBR1"
Thrombin Signaling	0.00E+00	1.133893419	1.17E-01	"ADCY1,ARHGEF25,CAMK2D,GATA4,GUCY1B1,MRAS,PLCZ1,SOS1,TBP"
