Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Adipogenesis pathway	0.00E+00		3.82E-01	"CCNH,CLOCK,EBF1,FBXW7,FGFR1,FGFRL1,FZD8,GTF2H2,GTF2H3,GTF2H4,HAT1,HDAC2,HDAC7,KAT2A,KAT6B,KAT7,NR1D1,RBBP7,SIN3B,SIRT1,SMO"
Adrenomedullin signaling pathway	0.00E+00	0.755928946	4.00E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,BRAF,CALM1 (includes others),CTH,GAD1,GNA11,GNAS,GUCY1B1,GUCY2C,Gucy2d,ITPR1,KCNH2,KCNN2,MAP2K1,MAP2K6,MAPK14,MMP2,MRAS,NPR2,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKAR1A,PRKG1,RASD2,SLC39A7,SOS1"
Aldosterone Signaling in Epithelial Cells	0.00E+00	0.632455532	2.76E-01	"CRYAB,DNAJB12,DNAJB9,DNAJC19,HSP90AA1,HSP90AB1,HSPA8,HSPD1,ITPR1,MAP2K1,PDPK1,PI4KA,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKCE,SACS,SMO,SOS1,TRAP1"
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	0.00E+00		3.33E-01	CHUK
Amyotrophic Lateral Sclerosis Signaling	0.00E+00	4.123105626	4.00E-01	"ALS2,CACNA1A,CACNA1B,CACNA1D,CAPN2,CAPN7,CASP7,CAT,GLUL,GPX1,GRIA2,GRID1,GRID2,GRIK1,GRIK2,GRIK3,GRIN2C,GRIN2D,NEFH,PAK1,PIK3C2B,RAB5A"
Angiopoietin Signaling	0.00E+00	0	3.87E-01	"ANGPT1,CHUK,ELP1,MRAS,NCK1,PAK1,PIK3C2B,PTPN11,RASA1,RASD2,SOS1,TIE1"
Antioxidant Action of Vitamin C	0.00E+00	-0.707106781	3.24E-01	"CHUK,GSTO1,MAPK14,NXN,PLAAT4,PLCD3,PLCG1,PLCZ1,PLD1,PLD2,PRDX6"
Antiproliferative Role of Somatostatin Receptor 2	0.00E+00	0.447213595	3.71E-01	"BRAF,CTH,GAD1,GUCY1B1,GUCY2C,Gucy2d,MAP2K1,MRAS,NPR2,PIK3C2B,PTPN11,RASD2,SLC39A7"
Apelin Cardiac Fibroblast Signaling Pathway	0.00E+00		2.50E-01	PRKAB2
Apelin Cardiomyocyte Signaling Pathway	0.00E+00	-0.832050294	3.33E-01	"ATP2A1,CAT,GNA11,ITPR1,MAPK14,MYL1,MYL9,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKCE,SLC8A2"
Apelin Endothelial Signaling Pathway	0.00E+00	-1.290994449	3.33E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,ANGPT1,CALM1 (includes others),GNA11,GNAS,GUCY1B1,MAP2K1,MRAS,PIK3C2B,PRKAB2,PRKCE,RASD2,RPS6KB2"
Apelin Liver Signaling Pathway	0.00E+00		1.67E-01	COL2A1
Apelin Muscle Signaling Pathway	0.00E+00		3.08E-01	"GNA11,GNAS,MRAS,PRKAB2"
Apelin Pancreas Signaling Pathway	0.00E+00	0.447213595	2.50E-01	"EIF2AK3,ERN1,PIK3C2B,PRKAB2,PRKAR1A"
April Mediated Signaling	0.00E+00		3.00E-01	"CHUK,ELP1,MAPK14"
Assembly of RNA Polymerase I Complex	0.00E+00		4.00E-01	"POLR1A,TBP"
Atherosclerosis Signaling	0.00E+00		2.14E-01	"COL2A1,PLAAT4,PRDX6"
Autoimmune Thyroid Disease Signaling	0.00E+00		3.33E-01	TPO
Autophagy	0.00E+00	1.341640786	2.63E-01	"CALM1 (includes others),DAPK1,DAPK3,EIF2A,EIF2AK3,ERN1,GABARAPL1,GORASP2,KAT5,MAP2K1,MLST8,PI4K2A,PIK3C2B,PPP2CA,PRKAB2,PRKAR1A,PTPA,SIRT1,SLC7A5,TSC2"
Axonal Guidance Signaling	0.00E+00		3.95E-01	"ABLIM3,ADAMTS9,ARHGEF11,ARPC1B,ARPC3,ARPC4,CHMP1A,COPS5,CRKL,DCC,ECE2,EIF3F,EIF3H,EPHB1,FARP2,FZD8,GNA11,GNAS,HERC2,ITGA2B,ITGA8,ITGAV,ITGB1,LIMK1,MAP2K1,MMP17,MMP2,MRAS,MYL1,MYL9,NCK1,NTN1,PAK1,PIK3C2B,PLCD3,PLCG1,PLCZ1,PLXNA1,PLXNB1,PMPCA,PMPCB,PRKAR1A,PRKCE,PTCH1,PTPN11,PXN,RASA1,RASD2,ROBO1,ROBO2,SLIT2,SMO,SOS1,TUBA1A,TUBA1B,TUBA3E,TUBB2A,TUBB2B,TUBB4A,TUBG1,UNC5B,UNC5C,WAS,WNT4"
B Cell Activating Factor Signaling	0.00E+00		3.00E-01	"CHUK,ELP1,MAPK14"
B Cell Receptor Signaling	0.00E+00	0.942809042	3.18E-01	"CALM1 (includes others),CAMK2D,CD22,CHUK,EBF1,ELP1,ETS1,INPP5F,MAP2K1,MAP2K6,MAP3K15,MAPK14,MRAS,OCRL,PDPK1,PIK3C2B,PTPN11,RASD2,RPS6KB2,SOS1,VAV1"
BER (Base Excision Repair) Pathway	0.00E+00	-0.577350269	4.14E-01	"APEX1,HUWE1,MAP2K1,MAP2K6,MPG,NF1,PARP1,PCNA,POLE,POLG,RFC1,RFC2"
BEX2 Signaling Pathway	0.00E+00	-0.816496581	3.00E-01	"CCND1,MMP2,PPP2CA,PTPA,SMARCB1,TSC2"
BMP signaling pathway	0.00E+00	-0.816496581	2.26E-01	"MAP2K1,MAPK14,MRAS,PRKAR1A,RASD2,SOS1,TAB1"
Basal Cell Carcinoma Signaling	0.00E+00	1	2.08E-01	"AXIN1,FZD8,PTCH1,SMO,WNT4"
"Bile Acid Biosynthesis, Neutral Pathway"	0.00E+00		1.67E-01	BAAT
Breast Cancer Regulation by Stathmin1	0.00E+00	1.206045378	2.95E-01	"ADGRG2,ARHGEF11,AURKB,CAMK2D,CCKAR,CCND1,CDK1,CELSR1,E2F2,FSHR,FZD8,GPR108,GPR179,GPR89A/GPR89B,GRM1,GRM4,GRM6,HTR1A,LHCGR,MAP2K1,MMP2,MRAS,OXTR,PAK1,PIK3C2B,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PRKCE,PTPA,RASD2,RXFP2,SMO,SOS1,SPDEF,SSTR4,TUBA1A,TUBA1B,TUBA3E,TUBB2A,TUBB2B,TUBB4A,TUBG1"
Bupropion Degradation	0.00E+00		1.25E-01	CYP4B1
CCR3 Signaling in Eosinophils	0.00E+00	-0.377964473	2.79E-01	"CALM1 (includes others),GNA11,GNAS,ITPR1,LIMK1,MAP2K1,MAPK14,MRAS,PAK1,PIK3C2B,PRKCE,RASD2"
CD27 Signaling in Lymphocytes	0.00E+00	0.447213595	3.16E-01	"CHUK,CYC1,ELP1,MAP2K1,MAP2K6,MAP3K15"
CD28 Signaling in T Helper Cells	0.00E+00	0.25819889	4.10E-01	"ARPC1B,ARPC3,ARPC4,CALM1 (includes others),CHUK,ELP1,ITPR1,MAP2K1,PAK1,PDPK1,PIK3C2B,PLCG1,PTPN11,VAV1,WAS,ZAP70"
CD40 Signaling	0.00E+00	0.816496581	2.86E-01	"CHUK,ELP1,MAP2K1,MAP2K6,MAPK14,PIK3C2B"
CDK5 Signaling	0.00E+00	-1	3.96E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,CACNA1A,GNAS,GUCY1B1,ITGB1,LAMC1,MAP2K1,MAPK14,MRAS,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PTPA,RASD2"
CDP-diacylglycerol Biosynthesis I	0.00E+00		1.67E-01	"AGPAT4,MBOAT1"
CLEAR Signaling Pathway	0.00E+00	0.603022689	3.93E-01	"ATP6AP2,ATP6V0D1,ATP6V1A,ATP6V1B1,ATP6V1D,ATP6V1E1,ATP6V1F,ATP6V1G2,ATP6V1H,CTNS,CTSD,CTSF,EGFR,EIF2AK3,FGFR1,GAA,GALNS,GBA,GLB1,GNS,GUSB,ITPR1,KCNIP3,LAMTOR2,MAPK14,MLST8,MRAS,NPRL2,NPRL3,PLCG1,PPP2CA,PRKAB2,PRKCE,PRKN,PSAP,PTPA,RASD2,SEC13,SUMF1,TGFBR1,TSC2,VPS35,VPS8,WDR24"
CNTF Signaling	0.00E+00	0.816496581	3.33E-01	"MAP2K1,MRAS,PIK3C2B,PTPN11,RASD2,RPS6KB2,SOS1"
CREB Signaling in Neurons	0.00E+00	2.2627417	3.58E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,ADGRG2,CACNA1A,CACNA1B,CACNA1D,CACNA1G,CALM1 (includes others),CAMK2D,CCKAR,CELSR1,EGFR,FGFR1,FSHR,FZD8,GNA11,GNAS,GPR108,GPR179,GPR89A/GPR89B,GRIA2,GRID1,GRID2,GRIK1,GRIK2,GRIK3,GRIN2C,GRIN2D,GRM1,GRM4,GRM6,GUCY1B1,HTR1A,ITPR1,LHCGR,MAP2K1,MRAS,OXTR,PIK3C2B,PLCD3,PLCG1,PLCZ1,POLR2A,POLR2B,POLR2C,POLR2E,POLR2I,PRKAR1A,PRKCE,RASD2,RXFP2,SMO,SOS1,SSTR4,TBP,TGFBR1"
CSDE1 Signaling Pathway	0.00E+00	0	2.86E-01	"AGO1,CSDE1,CTTN,PIWIL1,RPL9,SYNCRIP"
CTLA4 Signaling in Cytotoxic T Lymphocytes	0.00E+00		3.93E-01	"AP1G1,AP1M1,AP2A1,AP2M1,CLTC,PIK3C2B,PLCG1,PPP2CA,PTPA,PTPN11,ZAP70"
CXCR4 Signaling	0.00E+00	-1.414213562	3.73E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,ARHGEF11,Cdc42,GNA11,GNAS,GUCY1B1,ITPR1,MAP2K1,MRAS,MYL1,MYL9,PAK1,PIK3C2B,PRKCE,PXN,RASD2,RHOC,RHOT1"
Calcium Signaling	0.00E+00	1.963961012	4.04E-01	"ACTC1,ATP2A1,CACNA1A,CACNA1B,CACNA1D,CACNA1G,CALM1 (includes others),CAMK2D,CAMKK1,CASQ1,CHRNA10,CHRNA6,CHRNA7,CHRNA9,CHRNB2,GRIA2,GRIK1,GRIN2C,GRIN2D,HDAC2,HDAC7,ITPR1,MYH10,MYH11,MYH4,MYH6,MYH7,MYL1,MYL9,MYO18A,MYO1H,PRKAR1A,SLC8A2,TP63,TPM4,TRPC5"
Calcium Transport I	0.00E+00		3.33E-01	ATP2A1
Cancer Drug Resistance By Drug Efflux	0.00E+00		4.09E-01	"ABCC1,ABCC2,BRAF,FOXO6,MAP2K1,MRAS,PDK1,RASD2,YBX1"
Cardiac Hypertrophy Signaling	0.00E+00	-0.185695338	3.47E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,CACNA1A,CACNA1B,CACNA1D,CALM1 (includes others),Cdc42,EIF2B2,GATA4,GNA11,GNAS,GUCY1B1,MAP2K1,MAP2K6,MAP3K15,MAPK14,MRAS,MYL1,MYL9,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKAR1A,RASD2,RHOC,RHOT1,SOS1,TAB1,TGFBR1"
Cardiac Hypertrophy Signaling (Enhanced)	0.00E+00	1.13137085	3.44E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,APEX1,ATP2A1,CACNA1A,CACNA1B,CACNA1D,CALM1 (includes others),CAMK2D,CHUK,DIAPH1,DLG1,EIF2B2,FGF20,FGF6,FGFR1,FGFRL1,FZD8,GATA4,GNA11,GNAS,GUCY1B1,HDAC2,HDAC7,INPP5F,ITGA2B,ITGA8,ITGAV,ITGB1,ITPR1,MAP2K1,MAP2K6,MAP3K15,MAPK14,MKNK2,MRAS,PDE11A,PDE8A,PDK1,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKAR1A,PRKCE,PRKG1,RASD2,RPS6,RPS6KB2,SMO,TGFBR1,TSC2,WNT4"
Cardiac β-adrenergic Signaling	0.00E+00	-0.471404521	3.57E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,AKAP1,AKAP7,APEX1,ATP2A1,CACNA1A,CACNA1B,CACNA1D,GNA11,GNAS,GRK3,GUCY1B1,MRAS,PDE11A,PDE8A,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PTPA,SLC8A2"
Cardiomyocyte Differentiation via BMP Receptors	0.00E+00		2.00E-01	"GATA4,MYH7"
Cell Cycle: G1/S Checkpoint Regulation	0.00E+00	0.816496581	3.08E-01	"CCND1,CCNE1,E2F2,FBXL5,HDAC2,HDAC7,RPL11,SKP1"
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	0.00E+00	0	3.81E-01	"CCNB3,CDK1,CHEK1,FBXL5,PLK1,SKP1,TOP2B,TRIP12"
Ceramide Signaling	0.00E+00	-1.133893419	3.24E-01	"CTSD,KSR1,MAP2K1,MRAS,NSMAF,PIK3C2B,PPP2CA,PTPA,RASD2,SMPD1,SMPD2"
Chemokine Signaling	0.00E+00	0.377964473	3.48E-01	"CALM1 (includes others),CAMK2D,LIMK1,MAP2K1,MAPK14,MRAS,PLCG1,RASD2"
Cholecystokinin/Gastrin-mediated Signaling	0.00E+00	-0.904534034	3.51E-01	"Cdc42,EGFR,ITPR1,MAP2K1,MAP2K6,MAPK14,MRAS,PRKCE,PXN,RASD2,RHOC,RHOT1,SOS1"
Chondroitin Sulfate Degradation (Metazoa)	0.00E+00		3.33E-01	"ARSB,GALNS"
Chronic Myeloid Leukemia Signaling	0.00E+00		3.25E-01	"CCND1,CHUK,CRKL,E2F2,HDAC2,HDAC7,MAP2K1,MRAS,PIK3C2B,PTPN11,RASD2,SOS1,TGFBR1"
Clathrin-mediated Endocytosis Signaling	0.00E+00		3.79E-01	"ACTC1,ACTG1,AP1G1,AP1M1,AP2A1,AP2M1,ARPC1B,ARPC3,ARPC4,CLTC,CSNK2B,CTTN,DNM1,DNM1L,FGF20,FGF6,HIP1R,HSPA8,ITGB1,PIK3C2B,RAB5A,RPS27A,SH3GLB1,UBA52,USP9X"
Coagulation System	0.00E+00		3.33E-01	"F5,KLKB1,SERPINC1"
Cyclins and Cell Cycle Regulation	0.00E+00	-2.333333333	3.71E-01	"CCNA2,CCNB3,CCND1,CCNE1,CCNH,CDK1,E2F2,FBXL5,HDAC2,HDAC7,PPP2CA,PTPA,SKP1"
"D-myo-inositol (1,3,4)-trisphosphate Biosynthesis"	0.00E+00		3.33E-01	"INPP5F,OCRL"
"D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis"	0.00E+00	1.341640786	3.33E-01	"PI4K2A,PI4KA,PLCD3,PLCG1,PLCZ1"
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	0.00E+00	0.625543242	3.68E-01	"ALPL,DOT1L,DUSP12,DUSP13,INPP5F,MTMR7,NUDT11,NUDT9,OCRL,PGAM5,PPFIA3,PPP1R3D,PPP1R7,PPP2CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTPA,PTPN11,PTPN13,PTPRF,RASA1,RNGTT,WBP11"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	0.00E+00	0.625543242	3.68E-01	"ALPL,DOT1L,DUSP12,DUSP13,INPP5F,MTMR7,NUDT11,NUDT9,OCRL,PGAM5,PPFIA3,PPP1R3D,PPP1R7,PPP2CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTPA,PTPN11,PTPN13,PTPRF,RASA1,RNGTT,WBP11"
D-myo-inositol-5-phosphate Metabolism	0.00E+00	0.784464541	3.59E-01	"ALPL,DOT1L,DUSP12,DUSP13,INPP5F,MTMR7,NUDT11,NUDT9,OCRL,PGAM5,PLCD3,PLCG1,PLCZ1,PPFIA3,PPP1R3D,PPP1R7,PPP2CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTPA,PTPN11,PTPN13,PTPRF,RASA1,RNGTT,WBP11"
DNA Double-Strand Break Repair by Homologous Recombination	0.00E+00		1.67E-01	"ATRX,RAD51"
DNA Double-Strand Break Repair by Non-Homologous End Joining	0.00E+00		3.33E-01	"DCLRE1C,PARP1,WRN,XRCC6"
DNA damage-induced 14-3-3σ Signaling	0.00E+00		3.75E-01	"CCNB3,CCNE1,CDK1"
Dendritic Cell Maturation	0.00E+00	0.577350269	3.75E-01	"CHUK,COL2A1,DDR2,ELP1,FSCN2,IRF8,MAPK14,PIK3C2B,PLCD3,PLCG1,PLCZ1,TAB1"
Dermatan Sulfate Degradation (Metazoa)	0.00E+00		3.33E-01	"FGFRL1,IDUA"
Docosahexaenoic Acid (DHA) Signaling	0.00E+00		1.67E-01	"PDPK1,PIK3C2B"
Dolichyl-diphosphooligosaccharide Biosynthesis	0.00E+00		3.33E-01	"ALG6,DPM1"
Dopamine Receptor Signaling	0.00E+00	0	3.94E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,GUCY1B1,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PTPA,PTS,SMOX"
Dopamine-DARPP32 Feedback in cAMP Signaling	0.00E+00	0.784464541	3.89E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,ATP2A1,CACNA1A,CACNA1B,CACNA1D,CALM1 (includes others),CAMKK1,CSNK1D,CSNK1E,GNAS,GRIN2C,GRIN2D,GUCY1B1,ITPR1,PLCD3,PLCG1,PLCZ1,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PRKCE,PRKG1,PTPA"
EGF Signaling	0.00E+00	0.333333333	4.09E-01	"CSNK2B,EGFR,ITPR1,MAP2K1,MAPK14,PIK3C2B,PLCG1,RASA1,SOS1"
ERB2-ERBB3 Signaling	0.00E+00	-0.816496581	2.80E-01	"CCND1,MAP2K1,MRAS,PDPK1,PIK3C2B,RASD2,SOS1"
ERBB Signaling	0.00E+00	0	3.71E-01	"EGFR,MAP2K1,MAP2K6,MAPK14,MRAS,NCK1,PAK1,PDPK1,PIK3C2B,PLCG1,PRKCE,RASD2,SOS1"
ERBB4 Signaling	0.00E+00	-0.377964473	3.33E-01	"MAP2K1,MRAS,PDPK1,PIK3C2B,PLCG1,PRKCE,PSEN1,RASD2,SOS1"
ERK/MAPK Signaling	0.00E+00	0.21821789	3.47E-01	"BRAF,CRKL,ETS1,ITGA2B,ITGA8,ITGAV,ITGB1,KSR1,MAP2K1,MKNK2,MRAS,PAK1,PIK3C2B,PLCG1,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PRKCE,PTPA,PXN,RASD2,SOS1,TLN1,VRK2"
ERK5 Signaling	0.00E+00	0	2.63E-01	"EGFR,MRAS,PTPN11,RASD2,RPS6KB2"
Eicosanoid Signaling	0.00E+00		4.00E-01	"DPEP1,DPEP2,GGT1,HPGDS,PLAAT4,PRDX6"
Embryonic Stem Cell Differentiation into Cardiac Lineages	0.00E+00		4.00E-01	"GATA4,ISL1"
Endocannabinoid Developing Neuron Pathway	0.00E+00	-0.774596669	3.40E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,BRAF,CCND1,GUCY1B1,MAP2K1,MAP2K6,MAPK14,MLST8,MRAS,PIK3C2B,PRKAR1A,RAP1GAP,RASD2,STMN2"
Endocannabinoid Neuronal Synapse Pathway	0.00E+00	2.293658555	3.93E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,CACNA1A,CACNA1B,CACNA1D,CACNA1G,DAGLA,GNA11,GRIA2,GRIN2C,GRIN2D,GRM1,GUCY1B1,ITPR1,MAPK14,NDUFS2,PLCD3,PLCG1,PLCZ1,PRKAR1A,RIMS1"
Endoplasmic Reticulum Stress Pathway	0.00E+00		3.75E-01	"CASP7,EIF2AK3,ERN1"
Ephrin A Signaling	0.00E+00		2.78E-01	"LIMK1,PAK1,PIK3C2B,PTPN11,VAV1"
Ephrin Receptor Signaling	0.00E+00	0.229415734	4.09E-01	"ANGPT1,ARPC1B,ARPC3,ARPC4,AXIN1,CRKL,EPHB1,GNA11,GNAS,GRIN2C,GRIN2D,ITGA2B,ITGA8,ITGAV,ITGB1,LIMK1,MAP2K1,MRAS,NCK1,PAK1,PTPN11,PTPN13,PXN,RASA1,RASD2,SOS1,WAS"
Epithelial Adherens Junction Signaling	0.00E+00	-1	3.52E-01	"ARHGAP35,ARPC1B,ARPC3,ARPC4,CTNNA2,DIAPH1,DLL1,ECT2,EGFR,FARP2,FGFR1,LIMK1,MRAS,MYH10,MYH4,NOTCH2,PAK1,PPP2CA,PRKAB2,PTPA,RACGAP1,RASD2,TGFBR1,TIAM1,WAS"
Erythropoietin Signaling Pathway	0.00E+00	0	2.70E-01	"CCND1,ITPR1,MAP2K1,MRAS,PDPK1,PIK3C2B,PLCG1,PRKCE,RASD2,SOS1"
Estrogen Biosynthesis	0.00E+00	-0.447213595	3.33E-01	"CYP4B1,HSD17B10,HSD17B12,HSD17B4,HSD17B8"
Estrogen-Dependent Breast Cancer Signaling	0.00E+00	-1	3.10E-01	"CCND1,EGFR,HSD17B10,HSD17B12,HSD17B4,HSD17B8,MRAS,PIK3C2B,RASD2"
Ethanol Degradation II	0.00E+00	-2	4.00E-01	"ADH5,ALDH2,ALDH3A2,ALDH4A1"
FAK Signaling	0.00E+00	0.565685425	3.29E-01	"ADGRG2,ARHGAP35,ARPC1B,ARPC3,ARPC4,ASAP1,CAPN2,CAPN7,CCKAR,CCND1,CELSR1,COL2A1,CRKL,EGFR,ETS1,FSHR,FZD8,GIT2,GPR108,GPR179,GPR89A/GPR89B,GRM1,GRM4,GRM6,HTR1A,ITGA2B,ITGA8,ITGAV,ITGB1,LHCGR,MAP2K1,MAPK14,MMP2,MRAS,NCK1,OXTR,PAK1,PDPK1,PIK3C2B,PLCG1,PXN,RASA1,RASD2,RXFP2,SMO,SOS1,SPARCL1,SSTR4,TGFBR1,WAS"
FAT10 Cancer Signaling Pathway	0.00E+00		2.73E-01	"CHUK,PCNA,TGFBR1"
FLT3 Signaling in Hematopoietic Progenitor Cells	0.00E+00	0.377964473	3.20E-01	"MAP2K1,MAPK14,MRAS,PDPK1,PIK3C2B,PTPN11,RASD2,SOS1"
FXR/RXR Activation	0.00E+00		2.80E-01	"ABCC2,BAAT,FBP1,MTTP,NR5A2,SLC22A7,SLC4A2"
Factors Promoting Cardiogenesis in Vertebrates	0.00E+00	-0.242535625	3.70E-01	"AXIN1,CAMK2D,CCND1,FZD8,GATA4,LRP1,LRP5,LRP6,MAPK14,MYH6,MYH7,PLCD3,PLCG1,PLCZ1,PRKCE,SCN5A,SMO,TBX5,TGFBR1,WNT4"
Fatty Acid Activation	0.00E+00		1.67E-01	ACSF2
Fatty Acid α-oxidation	0.00E+00		3.75E-01	"ALDH2,ALDH3A2,ALDH4A1"
Fc Epsilon RI Signaling	0.00E+00	0.277350098	3.41E-01	"INPP5F,MAP2K1,MAP2K6,MAPK14,MRAS,OCRL,PDPK1,PIK3C2B,PLCG1,PRKCE,PTPN11,RASD2,SOS1,VAV1"
FcγRIIB Signaling in B Lymphocytes	0.00E+00	0	3.85E-01	"CACNA1A,CACNA1B,CACNA1D,CACNA1G,ITPR1,MRAS,PDPK1,PIK3C2B,RASD2,SOS1"
Ferroptosis Signaling Pathway	0.00E+00	1.605910137	3.88E-01	"BRAF,CTH,EIF2A,EIF2AK3,FANCD2,FTMT,GPX4,H2AZ1,MAP2K1,MRAS,NFS1,PHKG2,PRKAB2,RASD2,SLC11A2,SLC7A11,USP7,VDAC2,WWTR1"
Folate Transformations I	0.00E+00		4.00E-01	"MTHFR,MTR"
G Protein Signaling Mediated by Tubby	0.00E+00		2.86E-01	"GNA11,GNAS,MRAS,PLCG1"
G-Protein Coupled Receptor Signaling	0.00E+00	-1.016001016	3.15E-01	"ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,ADGRG2,APEX1,BRAF,CALM1 (includes others),CAMK2D,CCKAR,CCND1,CELSR1,CHUK,CNGA3,CNGB3,ELP1,FOXO6,FSHR,FZD8,GNA11,GNAS,GPR108,GPR179,GPR89A/GPR89B,GRK3,GRM1,GRM4,GRM6,GUCY1B1,HCN4,HTR1A,KCNH2,KCNN2,LHCGR,MAP2K1,MAP2K6,MAP3K15,MAPK14,MEGF6,MRAS,MYL1,MYL9,OXTR,PAK1,PDE11A,PDE8A,PDPK1,PIK3C2B,PLCG1,PRKAR1A,PRKCE,PXN,RAP1GAP,RASA1,RASD2,RGS7,RXFP2,SMO,SOS1,SSTR4,WWTR1"
GADD45 Signaling	0.00E+00	1.666666667	4.09E-01	"CCND1,CCNE1,CDK1,MAP2K6,MAPK14,NFYA,PCNA,POU2F1,TGFBR1"
GDNF Family Ligand-Receptor Interactions	0.00E+00	1.133893419	4.00E-01	"ITPR1,MAP2K1,MRAS,NCK1,PIK3C2B,PLCG1,RASA1,RASD2,RET,SOS1"
GDP-mannose Biosynthesis	0.00E+00		4.00E-01	"GMPPA,MPI"
