© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.green
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	MM.green
Date	Tue Apr 26 16:05:16 PDT 2022
Analysis ID	39446110

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression pvalue
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression other	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.green
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Angiopoietin Signaling	-0E00	0.0	3.87E-01	ANGPT1,CHUK,ELP1,MRAS,NCK1,PAK1,PIK3C2B,PTPN11,RASA1,RASD2,SOS1,TIE1	
Antioxidant Action of Vitamin C	-0E00	-0.7071067811865475	3.24E-01	CHUK,GSTO1,MAPK14,NXN,PLAAT4,PLCD3,PLCG1,PLCZ1,PLD1,PLD2,PRDX6	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	0.4472135954999579	3.71E-01	BRAF,CTH,GAD1,GUCY1B1,GUCY2C,Gucy2d,MAP2K1,MRAS,NPR2,PIK3C2B,PTPN11,RASD2,SLC39A7	
Apelin Cardiac Fibroblast Signaling Pathway	-0E00		2.50E-01	PRKAB2	
Apelin Cardiomyocyte Signaling Pathway	-0E00	-0.8320502943378437	3.33E-01	ATP2A1,CAT,GNA11,ITPR1,MAPK14,MYL1,MYL9,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKCE,SLC8A2	
Apelin Endothelial Signaling Pathway	-0E00	-1.2909944487358056	3.33E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,ANGPT1,CALM1 (includes others),GNA11,GNAS,GUCY1B1,MAP2K1,MRAS,PIK3C2B,PRKAB2,PRKCE,RASD2,RPS6KB2	
Apelin Liver Signaling Pathway	-0E00		1.67E-01	COL2A1	
Apelin Muscle Signaling Pathway	-0E00		3.08E-01	GNA11,GNAS,MRAS,PRKAB2	
Apelin Pancreas Signaling Pathway	-0E00	0.4472135954999579	2.50E-01	EIF2AK3,ERN1,PIK3C2B,PRKAB2,PRKAR1A	
April Mediated Signaling	-0E00		3.00E-01	CHUK,ELP1,MAPK14	
Assembly of RNA Polymerase I Complex	-0E00		4.00E-01	POLR1A,TBP	
Atherosclerosis Signaling	-0E00		2.14E-01	COL2A1,PLAAT4,PRDX6	
Autoimmune Thyroid Disease Signaling	-0E00		3.33E-01	TPO	
Autophagy	-0E00	1.3416407864998738	2.63E-01	CALM1 (includes others),DAPK1,DAPK3,EIF2A,EIF2AK3,ERN1,GABARAPL1,GORASP2,KAT5,MAP2K1,MLST8,PI4K2A,PIK3C2B,PPP2CA,PRKAB2,PRKAR1A,PTPA,SIRT1,SLC7A5,TSC2	
Axonal Guidance Signaling	-0E00		3.95E-01	ABLIM3,ADAMTS9,ARHGEF11,ARPC1B,ARPC3,ARPC4,CHMP1A,COPS5,CRKL,DCC,ECE2,EIF3F,EIF3H,EPHB1,FARP2,FZD8,GNA11,GNAS,HERC2,ITGA2B,ITGA8,ITGAV,ITGB1,LIMK1,MAP2K1,MMP17,MMP2,MRAS,MYL1,MYL9,NCK1,NTN1,PAK1,PIK3C2B,PLCD3,PLCG1,PLCZ1,PLXNA1,PLXNB1,PMPCA,PMPCB,PRKAR1A,PRKCE,PTCH1,PTPN11,PXN,RASA1,RASD2,ROBO1,ROBO2,SLIT2,SMO,SOS1,TUBA1A,TUBA1B,TUBA3E,TUBB2A,TUBB2B,TUBB4A,TUBG1,UNC5B,UNC5C,WAS,WNT4	
B Cell Activating Factor Signaling	-0E00		3.00E-01	CHUK,ELP1,MAPK14	
B Cell Receptor Signaling	-0E00	0.9428090415820635	3.18E-01	CALM1 (includes others),CAMK2D,CD22,CHUK,EBF1,ELP1,ETS1,INPP5F,MAP2K1,MAP2K6,MAP3K15,MAPK14,MRAS,OCRL,PDPK1,PIK3C2B,PTPN11,RASD2,RPS6KB2,SOS1,VAV1	
BER (Base Excision Repair) Pathway	-0E00	-0.5773502691896258	4.14E-01	APEX1,HUWE1,MAP2K1,MAP2K6,MPG,NF1,PARP1,PCNA,POLE,POLG,RFC1,RFC2	
BEX2 Signaling Pathway	-0E00	-0.8164965809277261	3.00E-01	CCND1,MMP2,PPP2CA,PTPA,SMARCB1,TSC2	
BMP signaling pathway	-0E00	-0.8164965809277261	2.26E-01	MAP2K1,MAPK14,MRAS,PRKAR1A,RASD2,SOS1,TAB1	
Basal Cell Carcinoma Signaling	-0E00	1.0	2.08E-01	AXIN1,FZD8,PTCH1,SMO,WNT4	
Bile Acid Biosynthesis, Neutral Pathway	-0E00		1.67E-01	BAAT	
Breast Cancer Regulation by Stathmin1	-0E00	1.2060453783110545	2.95E-01	ADGRG2,ARHGEF11,AURKB,CAMK2D,CCKAR,CCND1,CDK1,CELSR1,E2F2,FSHR,FZD8,GPR108,GPR179,GPR89A/GPR89B,GRM1,GRM4,GRM6,HTR1A,LHCGR,MAP2K1,MMP2,MRAS,OXTR,PAK1,PIK3C2B,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PRKCE,PTPA,RASD2,RXFP2,SMO,SOS1,SPDEF,SSTR4,TUBA1A,TUBA1B,TUBA3E,TUBB2A,TUBB2B,TUBB4A,TUBG1	
Bupropion Degradation	-0E00		1.25E-01	CYP4B1	
CCR3 Signaling in Eosinophils	-0E00	-0.3779644730092272	2.79E-01	CALM1 (includes others),GNA11,GNAS,ITPR1,LIMK1,MAP2K1,MAPK14,MRAS,PAK1,PIK3C2B,PRKCE,RASD2	
CD27 Signaling in Lymphocytes	-0E00	0.4472135954999579	3.16E-01	CHUK,CYC1,ELP1,MAP2K1,MAP2K6,MAP3K15	
CD28 Signaling in T Helper Cells	-0E00	0.2581988897471611	4.10E-01	ARPC1B,ARPC3,ARPC4,CALM1 (includes others),CHUK,ELP1,ITPR1,MAP2K1,PAK1,PDPK1,PIK3C2B,PLCG1,PTPN11,VAV1,WAS,ZAP70	
CD40 Signaling	-0E00	0.8164965809277261	2.86E-01	CHUK,ELP1,MAP2K1,MAP2K6,MAPK14,PIK3C2B	
CDK5 Signaling	-0E00	-1.0	3.96E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,CACNA1A,GNAS,GUCY1B1,ITGB1,LAMC1,MAP2K1,MAPK14,MRAS,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PTPA,RASD2	
CDP-diacylglycerol Biosynthesis I	-0E00		1.67E-01	AGPAT4,MBOAT1	
CLEAR Signaling Pathway	-0E00	0.6030226891555273	3.93E-01	ATP6AP2,ATP6V0D1,ATP6V1A,ATP6V1B1,ATP6V1D,ATP6V1E1,ATP6V1F,ATP6V1G2,ATP6V1H,CTNS,CTSD,CTSF,EGFR,EIF2AK3,FGFR1,GAA,GALNS,GBA,GLB1,GNS,GUSB,ITPR1,KCNIP3,LAMTOR2,MAPK14,MLST8,MRAS,NPRL2,NPRL3,PLCG1,PPP2CA,PRKAB2,PRKCE,PRKN,PSAP,PTPA,RASD2,SEC13,SUMF1,TGFBR1,TSC2,VPS35,VPS8,WDR24	
CNTF Signaling	-0E00	0.8164965809277261	3.33E-01	MAP2K1,MRAS,PIK3C2B,PTPN11,RASD2,RPS6KB2,SOS1	
CREB Signaling in Neurons	-0E00	2.262741699796952	3.58E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,ADGRG2,CACNA1A,CACNA1B,CACNA1D,CACNA1G,CALM1 (includes others),CAMK2D,CCKAR,CELSR1,EGFR,FGFR1,FSHR,FZD8,GNA11,GNAS,GPR108,GPR179,GPR89A/GPR89B,GRIA2,GRID1,GRID2,GRIK1,GRIK2,GRIK3,GRIN2C,GRIN2D,GRM1,GRM4,GRM6,GUCY1B1,HTR1A,ITPR1,LHCGR,MAP2K1,MRAS,OXTR,PIK3C2B,PLCD3,PLCG1,PLCZ1,POLR2A,POLR2B,POLR2C,POLR2E,POLR2I,PRKAR1A,PRKCE,RASD2,RXFP2,SMO,SOS1,SSTR4,TBP,TGFBR1	
CSDE1 Signaling Pathway	-0E00	0.0	2.86E-01	AGO1,CSDE1,CTTN,PIWIL1,RPL9,SYNCRIP	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		3.93E-01	AP1G1,AP1M1,AP2A1,AP2M1,CLTC,PIK3C2B,PLCG1,PPP2CA,PTPA,PTPN11,ZAP70	
CXCR4 Signaling	-0E00	-1.4142135623730951	3.73E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,ARHGEF11,Cdc42,GNA11,GNAS,GUCY1B1,ITPR1,MAP2K1,MRAS,MYL1,MYL9,PAK1,PIK3C2B,PRKCE,PXN,RASD2,RHOC,RHOT1	
Calcium Signaling	-0E00	1.9639610121239315	4.04E-01	ACTC1,ATP2A1,CACNA1A,CACNA1B,CACNA1D,CACNA1G,CALM1 (includes others),CAMK2D,CAMKK1,CASQ1,CHRNA10,CHRNA6,CHRNA7,CHRNA9,CHRNB2,GRIA2,GRIK1,GRIN2C,GRIN2D,HDAC2,HDAC7,ITPR1,MYH10,MYH11,MYH4,MYH6,MYH7,MYL1,MYL9,MYO18A,MYO1H,PRKAR1A,SLC8A2,TP63,TPM4,TRPC5	
Calcium Transport I	-0E00		3.33E-01	ATP2A1	
Cancer Drug Resistance By Drug Efflux	-0E00		4.09E-01	ABCC1,ABCC2,BRAF,FOXO6,MAP2K1,MRAS,PDK1,RASD2,YBX1	
Cardiac Hypertrophy Signaling	-0E00	-0.18569533817705186	3.47E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,CACNA1A,CACNA1B,CACNA1D,CALM1 (includes others),Cdc42,EIF2B2,GATA4,GNA11,GNAS,GUCY1B1,MAP2K1,MAP2K6,MAP3K15,MAPK14,MRAS,MYL1,MYL9,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKAR1A,RASD2,RHOC,RHOT1,SOS1,TAB1,TGFBR1	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	1.131370849898476	3.44E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,APEX1,ATP2A1,CACNA1A,CACNA1B,CACNA1D,CALM1 (includes others),CAMK2D,CHUK,DIAPH1,DLG1,EIF2B2,FGF20,FGF6,FGFR1,FGFRL1,FZD8,GATA4,GNA11,GNAS,GUCY1B1,HDAC2,HDAC7,INPP5F,ITGA2B,ITGA8,ITGAV,ITGB1,ITPR1,MAP2K1,MAP2K6,MAP3K15,MAPK14,MKNK2,MRAS,PDE11A,PDE8A,PDK1,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKAR1A,PRKCE,PRKG1,RASD2,RPS6,RPS6KB2,SMO,TGFBR1,TSC2,WNT4	
Cardiac β-adrenergic Signaling	-0E00	-0.47140452079103173	3.57E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,AKAP1,AKAP7,APEX1,ATP2A1,CACNA1A,CACNA1B,CACNA1D,GNA11,GNAS,GRK3,GUCY1B1,MRAS,PDE11A,PDE8A,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PTPA,SLC8A2	
Cardiomyocyte Differentiation via BMP Receptors	-0E00		2.00E-01	GATA4,MYH7	
Cell Cycle: G1/S Checkpoint Regulation	-0E00	0.8164965809277261	3.08E-01	CCND1,CCNE1,E2F2,FBXL5,HDAC2,HDAC7,RPL11,SKP1	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00	0.0	3.81E-01	CCNB3,CDK1,CHEK1,FBXL5,PLK1,SKP1,TOP2B,TRIP12	
Ceramide Signaling	-0E00	-1.1338934190276817	3.24E-01	CTSD,KSR1,MAP2K1,MRAS,NSMAF,PIK3C2B,PPP2CA,PTPA,RASD2,SMPD1,SMPD2	
Chemokine Signaling	-0E00	0.3779644730092272	3.48E-01	CALM1 (includes others),CAMK2D,LIMK1,MAP2K1,MAPK14,MRAS,PLCG1,RASD2	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	-0.9045340337332909	3.51E-01	Cdc42,EGFR,ITPR1,MAP2K1,MAP2K6,MAPK14,MRAS,PRKCE,PXN,RASD2,RHOC,RHOT1,SOS1	
Chondroitin Sulfate Degradation (Metazoa)	-0E00		3.33E-01	ARSB,GALNS	
Chronic Myeloid Leukemia Signaling	-0E00		3.25E-01	CCND1,CHUK,CRKL,E2F2,HDAC2,HDAC7,MAP2K1,MRAS,PIK3C2B,PTPN11,RASD2,SOS1,TGFBR1	
Clathrin-mediated Endocytosis Signaling	-0E00		3.79E-01	ACTC1,ACTG1,AP1G1,AP1M1,AP2A1,AP2M1,ARPC1B,ARPC3,ARPC4,CLTC,CSNK2B,CTTN,DNM1,DNM1L,FGF20,FGF6,HIP1R,HSPA8,ITGB1,PIK3C2B,RAB5A,RPS27A,SH3GLB1,UBA52,USP9X	
Coagulation System	-0E00		3.33E-01	F5,KLKB1,SERPINC1	
Cyclins and Cell Cycle Regulation	-0E00	-2.3333333333333335	3.71E-01	CCNA2,CCNB3,CCND1,CCNE1,CCNH,CDK1,E2F2,FBXL5,HDAC2,HDAC7,PPP2CA,PTPA,SKP1	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	-0E00		3.33E-01	INPP5F,OCRL	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	-0E00	1.3416407864998738	3.33E-01	PI4K2A,PI4KA,PLCD3,PLCG1,PLCZ1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	0.6255432421712244	3.68E-01	ALPL,DOT1L,DUSP12,DUSP13,INPP5F,MTMR7,NUDT11,NUDT9,OCRL,PGAM5,PPFIA3,PPP1R3D,PPP1R7,PPP2CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTPA,PTPN11,PTPN13,PTPRF,RASA1,RNGTT,WBP11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	0.6255432421712244	3.68E-01	ALPL,DOT1L,DUSP12,DUSP13,INPP5F,MTMR7,NUDT11,NUDT9,OCRL,PGAM5,PPFIA3,PPP1R3D,PPP1R7,PPP2CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTPA,PTPN11,PTPN13,PTPRF,RASA1,RNGTT,WBP11	
D-myo-inositol-5-phosphate Metabolism	-0E00	0.7844645405527362	3.59E-01	ALPL,DOT1L,DUSP12,DUSP13,INPP5F,MTMR7,NUDT11,NUDT9,OCRL,PGAM5,PLCD3,PLCG1,PLCZ1,PPFIA3,PPP1R3D,PPP1R7,PPP2CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTPA,PTPN11,PTPN13,PTPRF,RASA1,RNGTT,WBP11	
DNA Double-Strand Break Repair by Homologous Recombination	-0E00		1.67E-01	ATRX,RAD51	
DNA Double-Strand Break Repair by Non-Homologous End Joining	-0E00		3.33E-01	DCLRE1C,PARP1,WRN,XRCC6	
DNA damage-induced 14-3-3σ Signaling	-0E00		3.75E-01	CCNB3,CCNE1,CDK1	
Dendritic Cell Maturation	-0E00	0.5773502691896258	3.75E-01	CHUK,COL2A1,DDR2,ELP1,FSCN2,IRF8,MAPK14,PIK3C2B,PLCD3,PLCG1,PLCZ1,TAB1	
Dermatan Sulfate Degradation (Metazoa)	-0E00		3.33E-01	FGFRL1,IDUA	
Docosahexaenoic Acid (DHA) Signaling	-0E00		1.67E-01	PDPK1,PIK3C2B	
Dolichyl-diphosphooligosaccharide Biosynthesis	-0E00		3.33E-01	ALG6,DPM1	
Dopamine Receptor Signaling	-0E00	0.0	3.94E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,GUCY1B1,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PTPA,PTS,SMOX	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	0.7844645405527362	3.89E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,ATP2A1,CACNA1A,CACNA1B,CACNA1D,CALM1 (includes others),CAMKK1,CSNK1D,CSNK1E,GNAS,GRIN2C,GRIN2D,GUCY1B1,ITPR1,PLCD3,PLCG1,PLCZ1,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PRKCE,PRKG1,PTPA	
EGF Signaling	-0E00	0.3333333333333333	4.09E-01	CSNK2B,EGFR,ITPR1,MAP2K1,MAPK14,PIK3C2B,PLCG1,RASA1,SOS1	
ERB2-ERBB3 Signaling	-0E00	-0.8164965809277261	2.80E-01	CCND1,MAP2K1,MRAS,PDPK1,PIK3C2B,RASD2,SOS1	
ERBB Signaling	-0E00	0.0	3.71E-01	EGFR,MAP2K1,MAP2K6,MAPK14,MRAS,NCK1,PAK1,PDPK1,PIK3C2B,PLCG1,PRKCE,RASD2,SOS1	
ERBB4 Signaling	-0E00	-0.3779644730092272	3.33E-01	MAP2K1,MRAS,PDPK1,PIK3C2B,PLCG1,PRKCE,PSEN1,RASD2,SOS1	
ERK/MAPK Signaling	-0E00	0.2182178902359924	3.47E-01	BRAF,CRKL,ETS1,ITGA2B,ITGA8,ITGAV,ITGB1,KSR1,MAP2K1,MKNK2,MRAS,PAK1,PIK3C2B,PLCG1,PPP1R3D,PPP1R7,PPP2CA,PRKAR1A,PRKCE,PTPA,PXN,RASD2,SOS1,TLN1,VRK2	
ERK5 Signaling	-0E00	0.0	2.63E-01	EGFR,MRAS,PTPN11,RASD2,RPS6KB2	
Eicosanoid Signaling	-0E00		4.00E-01	DPEP1,DPEP2,GGT1,HPGDS,PLAAT4,PRDX6	
Embryonic Stem Cell Differentiation into Cardiac Lineages	-0E00		4.00E-01	GATA4,ISL1	
Endocannabinoid Developing Neuron Pathway	-0E00	-0.7745966692414834	3.40E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,BRAF,CCND1,GUCY1B1,MAP2K1,MAP2K6,MAPK14,MLST8,MRAS,PIK3C2B,PRKAR1A,RAP1GAP,RASD2,STMN2	
Endocannabinoid Neuronal Synapse Pathway	-0E00	2.2936585546278225	3.93E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,CACNA1A,CACNA1B,CACNA1D,CACNA1G,DAGLA,GNA11,GRIA2,GRIN2C,GRIN2D,GRM1,GUCY1B1,ITPR1,MAPK14,NDUFS2,PLCD3,PLCG1,PLCZ1,PRKAR1A,RIMS1	
Endoplasmic Reticulum Stress Pathway	-0E00		3.75E-01	CASP7,EIF2AK3,ERN1	
Ephrin A Signaling	-0E00		2.78E-01	LIMK1,PAK1,PIK3C2B,PTPN11,VAV1	
Ephrin Receptor Signaling	-0E00	0.22941573387056174	4.09E-01	ANGPT1,ARPC1B,ARPC3,ARPC4,AXIN1,CRKL,EPHB1,GNA11,GNAS,GRIN2C,GRIN2D,ITGA2B,ITGA8,ITGAV,ITGB1,LIMK1,MAP2K1,MRAS,NCK1,PAK1,PTPN11,PTPN13,PXN,RASA1,RASD2,SOS1,WAS	
Epithelial Adherens Junction Signaling	-0E00	-1.0	3.52E-01	ARHGAP35,ARPC1B,ARPC3,ARPC4,CTNNA2,DIAPH1,DLL1,ECT2,EGFR,FARP2,FGFR1,LIMK1,MRAS,MYH10,MYH4,NOTCH2,PAK1,PPP2CA,PRKAB2,PTPA,RACGAP1,RASD2,TGFBR1,TIAM1,WAS	
Erythropoietin Signaling Pathway	-0E00	0.0	2.70E-01	CCND1,ITPR1,MAP2K1,MRAS,PDPK1,PIK3C2B,PLCG1,PRKCE,RASD2,SOS1	
Estrogen Biosynthesis	-0E00	-0.4472135954999579	3.33E-01	CYP4B1,HSD17B10,HSD17B12,HSD17B4,HSD17B8	
Estrogen-Dependent Breast Cancer Signaling	-0E00	-1.0	3.10E-01	CCND1,EGFR,HSD17B10,HSD17B12,HSD17B4,HSD17B8,MRAS,PIK3C2B,RASD2	
Ethanol Degradation II	-0E00	-2.0	4.00E-01	ADH5,ALDH2,ALDH3A2,ALDH4A1	
FAK Signaling	-0E00	0.565685424949238	3.29E-01	ADGRG2,ARHGAP35,ARPC1B,ARPC3,ARPC4,ASAP1,CAPN2,CAPN7,CCKAR,CCND1,CELSR1,COL2A1,CRKL,EGFR,ETS1,FSHR,FZD8,GIT2,GPR108,GPR179,GPR89A/GPR89B,GRM1,GRM4,GRM6,HTR1A,ITGA2B,ITGA8,ITGAV,ITGB1,LHCGR,MAP2K1,MAPK14,MMP2,MRAS,NCK1,OXTR,PAK1,PDPK1,PIK3C2B,PLCG1,PXN,RASA1,RASD2,RXFP2,SMO,SOS1,SPARCL1,SSTR4,TGFBR1,WAS	
FAT10 Cancer Signaling Pathway	-0E00		2.73E-01	CHUK,PCNA,TGFBR1	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00	0.3779644730092272	3.20E-01	MAP2K1,MAPK14,MRAS,PDPK1,PIK3C2B,PTPN11,RASD2,SOS1	
FXR/RXR Activation	-0E00		2.80E-01	ABCC2,BAAT,FBP1,MTTP,NR5A2,SLC22A7,SLC4A2	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	-0.24253562503633297	3.70E-01	AXIN1,CAMK2D,CCND1,FZD8,GATA4,LRP1,LRP5,LRP6,MAPK14,MYH6,MYH7,PLCD3,PLCG1,PLCZ1,PRKCE,SCN5A,SMO,TBX5,TGFBR1,WNT4	
Fatty Acid Activation	-0E00		1.67E-01	ACSF2	
