© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p1 - 2022-04-11 02:49 PM - LFC, User Dataset->Amb_vs_Mod
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	Amb_vs_Mod
Date	Mon Apr 11 14:50:28 PDT 2022
Analysis ID	39401803

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p1 - 2022-04-11 02:49 PM - LFC, User Dataset->Amb_vs_Mod
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Glioblastoma Multiforme Signaling	-0E00		5.00E-02	CDKN1B,PLCB3,PLCL2	
Glioma Signaling	-0E00		6.82E-02	CAMK2D,HDAC6,IDH3G	
Glutamate Receptor Signaling	-0E00		5.41E-02	GRID2,GRIK2	
Gα12/13 Signaling	-0E00		2.78E-02	MAP2K4	
Gαi Signaling	-0E00		6.82E-02	GABBR1,GUCY1B1,RAP1GAP	
Gαq Signaling	-0E00		5.88E-02	ARHGEF25,CSK,PLCB3	
Gαs Signaling	-0E00		2.33E-02	GUCY1B1	
HER-2 Signaling in Breast Cancer	-0E00		2.60E-02	CDKN1B,COPS6	
HGF Signaling	-0E00		3.85E-02	MAP2K4,RAPGEF1	
HIF1α Signaling	-0E00	-1.0	6.06E-02	CAMK2D,HSPA1L,MAP2K4,RACK1	
HMGB1 Signaling	-0E00		2.86E-02	MAP2K4	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	-0E00		5.56E-02	COL7A1,FGFR1	
Hepatic Fibrosis Signaling Pathway	-0E00	-1.3416407864998738	5.69E-02	CACNA1A,CACNA2D4,CDKN1B,FGFR1,LRP6,MAP2K4,SOD2	
Hereditary Breast Cancer Signaling	-0E00		6.35E-02	CHEK1,HDAC6,RFC2,UBA52	
Human Embryonic Stem Cell Pluripotency	-0E00		2.33E-02	FGFR1	
Huntington's Disease Signaling	-0E00		5.56E-02	ATP5F1B,HDAC6,HSPA1L,MAP2K4,PLCB3,PSMC2,UBA52	
ICOS-ICOSL Signaling in T Helper Cells	-0E00		8.00E-02	CAMK2D,CSK	
IGF-1 Signaling	-0E00		5.41E-02	CCN1,CSNK2B	
IL-1 Signaling	-0E00		5.41E-02	GUCY1B1,MAP2K4	
IL-12 Signaling and Production in Macrophages	-0E00		3.45E-02	MAP2K4	
IL-17 Signaling	-0E00		3.57E-02	MAP2K4	
IL-17A Signaling in Airway Cells	-0E00		5.88E-02	MAP2K4	
IL-2 Signaling	-0E00		5.00E-02	CSNK2B	
IL-3 Signaling	-0E00		3.45E-02	RAPGEF1	
IL-7 Signaling Pathway	-0E00		4.00E-02	CDKN1B	
IL-8 Signaling	-0E00		3.17E-02	ANGPT1,MAP2K4	
ILK Signaling	-0E00		1.52E-02	MAP2K4	
Inhibition of ARE-Mediated mRNA Degradation Pathway	-0E00		3.95E-02	CNOT3,EXOSC1,PSMC2	
Insulin Receptor Signaling	-0E00		1.85E-02	RAPGEF1	
Integrin Signaling	-0E00		3.66E-02	MAP2K4,RAPGEF1,TSPAN5	
Kinetochore Metaphase Signaling Pathway	-0E00		2.78E-02	CDC16	
LPS-stimulated MAPK Signaling	-0E00		3.12E-02	MAP2K4	
Leukocyte Extravasation Signaling	-0E00		5.88E-02	ARHGAP35,MAP2K4,RAP1GAP	
Macropinocytosis Signaling	-0E00		3.45E-02	MRC1	
Mechanisms of Viral Exit from Host Cells	-0E00		6.25E-02	XPO1	
Melanocyte Development and Pigmentation Signaling	-0E00		2.38E-02	GUCY1B1	
Mitotic Roles of Polo-Like Kinase	-0E00		6.25E-02	CDC16,SLK	
Molecular Mechanisms of Cancer	-0E00		6.83E-02	ARHGEF4,CAMK2D,CDKN1B,CHEK1,GUCY1B1,HDAC6,LRP6,MAP2K4,NLK,PLCB3,RAPGEF1	
NAD Signaling Pathway	-0E00		4.41E-02	ETFA,NMRK2,SOD2	
NER (Nucleotide Excision Repair, Enhanced Pathway)	-0E00		5.36E-02	COPS6,COPS8,RFC2	
NF-κB Signaling	-0E00		4.35E-02	CSNK2B,FGFR1	
NGF Signaling	-0E00		4.65E-02	MAP2K4,SMPD1	
NUR77 Signaling in T Lymphocytes	-0E00		5.56E-02	SIN3B	
Natural Killer Cell Signaling	-0E00		1.89E-02	HSPA1L	
Neuregulin Signaling	-0E00		2.33E-02	CDKN1B	
Neuroinflammation Signaling Pathway	-0E00		7.14E-02	GABBR1,GABRB2,IDE,MAP2K4,SOD2	
Neuropathic Pain Signaling In Dorsal Horn Neurons	-0E00	-2.0	8.00E-02	CAMK2D,KCNN2,PLCB3,PLCL2	
Neurotrophin/TRK Signaling	-0E00		4.00E-02	MAP2K4	
Non-Small Cell Lung Cancer Signaling	-0E00		2.86E-02	HDAC6	
Notch Signaling	-0E00		6.67E-02	NOTCH2	
Osteoarthritis Pathway	-0E00		1.61E-02	FGFR1	
Ovarian Cancer Signaling	-0E00		1.61E-02	HDAC6	
Oxytocin Signaling Pathway	-0E00	-1.1338934190276817	7.00E-02	CACNA1A,CACNA2D4,CTH,GUCY1B1,GUCY2C,MAP2K4,PLCB3	
P2Y Purigenic Receptor Signaling Pathway	-0E00		6.25E-02	GUCY1B1,PLCB3,PLCL2	
PAK Signaling	-0E00		2.38E-02	MAP2K4	
PCP (Planar Cell Polarity) Pathway	-0E00		5.26E-02	MAP2K4	
PDGF Signaling	-0E00		6.45E-02	CSNK2B,MAP2K4	
PEDF Signaling	-0E00		3.70E-02	SOD2	
PI3K Signaling in B Lymphocytes	-0E00		7.32E-02	CAMK2D,PLCB3,PLCL2	
PI3K/AKT Signaling	-0E00		1.79E-02	CDKN1B	
PPARα/RXRα Activation	-0E00		6.67E-02	GOT2,GUCY1B1,MAP2K4,PLCB3,PLCL2	
PTEN Signaling	-0E00		5.45E-02	CDKN1B,CSNK2B,FGFR1	
Pancreatic Adenocarcinoma Signaling	-0E00		7.69E-02	CDKN1B,HDAC6,MAP2K4	
Paxillin Signaling	-0E00		4.55E-02	CSK,MAP2K4	
Phagosome Formation	-0E00	-0.8164965809277261	3.61E-02	GABBR1,GPR139,MAP2K4,MRC1,PRDX6,RAPGEF1	
Phospholipase C Signaling	-0E00		5.13E-02	ARHGEF4,GUCY1B1,HDAC6,PLCB3	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	-0E00		5.26E-02	ARG2,CAT,MAP2K4	
Prolactin Signaling	-0E00		3.33E-02	KCNMA1	
Prostate Cancer Signaling	-0E00		5.00E-02	CDKN1B,HDAC6	
Protein Kinase A Signaling	-0E00	-1.3416407864998738	4.64E-02	CAMK2D,CDC16,GUCY1B1,KDELR3,PDE4D,PLCB3,PLCL2	
Protein Ubiquitination Pathway	-0E00		5.30E-02	DNAJC8,HSPA1L,PSMC2,SKP1,THOP1,UBA52,USP10	
Pulmonary Fibrosis Idiopathic Signaling Pathway	-0E00	-0.4472135954999579	5.05E-02	ADAM10,COL7A1,FGFR1,MAP2K4,NOTCH2	
Pulmonary Healing Signaling Pathway	-0E00	-1.0	6.56E-02	CHRNA7,FGFR1,MAP2K4,NOTCH2	
Pyridoxal 5'-phosphate Salvage Pathway	-0E00		7.14E-02	GRK6,MAP2K4	
Pyrimidine Ribonucleotides De Novo Biosynthesis	-0E00		7.14E-02	NME1	
RAC Signaling	-0E00		1.72E-02	MAP2K4	
RANK Signaling in Osteoclasts	-0E00		3.70E-02	MAP2K4	
RAR Activation	-0E00		7.89E-02	AKR1B1,CSK,CSNK2B,GUCY1B1,MAP2K4,RPL7A	
RHOA Signaling	-0E00		4.76E-02	ARHGAP35,SEPTIN7	
RHOGDI Signaling	-0E00		3.08E-02	ARHGAP35,ARHGEF4	
Reelin Signaling in Neurons	-0E00	-2.0	8.06E-02	ARHGEF25,ARHGEF4,CAMK2D,MAP2K4,RAPGEF1	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	-0E00		3.70E-02	FGFR1,MAP2K4	
Regulation of Cellular Mechanics by Calpain Protease	-0E00		2.78E-02	CDKN1B	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00		3.45E-02	MAP2K4	
Regulation of the Epithelial-Mesenchymal Transition Pathway	-0E00		4.62E-02	FGFR1,MAP2K4,NOTCH2	
Relaxin Signaling	-0E00		5.97E-02	CTH,GUCY1B1,GUCY2C,PDE4D	
Renal Cell Carcinoma Signaling	-0E00		6.25E-02	RAPGEF1,UBA52	
Renin-Angiotensin Signaling	-0E00		4.17E-02	GUCY1B1,MAP2K4	
Role of BRCA1 in DNA Damage Response	-0E00		6.06E-02	CHEK1,RFC2	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00		8.00E-02	CHEK1,RFC2	
Role of IL-17A in Arthritis	-0E00		5.56E-02	MAP2K4	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	-0E00		7.50E-02	CAMK2D,LRP6,MAP2K4,NLK,PLCB3,PLCL2	
Role of NFAT in Regulation of the Immune Response	-0E00		3.64E-02	PLCB3,XPO1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	-0E00		3.57E-02	LRP6,MAP2K4	
Role of PKR in Interferon Induction and Antiviral Response	-0E00		6.06E-02	HSPA1L,MAP2K4	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00		5.00E-02	MAP2K4	
Role of Tissue Factor in Cancer	-0E00		2.27E-02	CCN1	
SAPK/JNK Signaling	-0E00		2.70E-02	MAP2K4	
SPINK1 Pancreatic Cancer Pathway	-0E00		7.69E-02	CPA1	
STAT3 Pathway	-0E00		6.45E-02	FGFR1,MAP2K4	
Semaphorin Neuronal Repulsive Signaling Pathway	-0E00	1.0	6.78E-02	BCAN,GUCY1B1,MAP2K4,PDE4D	
Senescence Pathway	-0E00	-1.6329931618554523	7.27E-02	CACNA1A,CACNA2D4,CAT,CDC16,CDKN1B,CHEK1,MAP2K4,SOD2	
Sertoli Cell-Sertoli Cell Junction Signaling	-0E00		6.58E-02	GUCY1B1,MAP2K4,TUBA1B,TUBA3C/TUBA3D,TUBB4A	
Signaling by Rho Family GTPases	-0E00		3.53E-02	ARHGEF4,MAP2K4,SEPTIN7	
Small Cell Lung Cancer Signaling	-0E00		6.25E-02	CDKN1B,HDAC6	
Spliceosomal Cycle	-0E00		6.90E-02	RBM8A,SF3A1	
Stearate Biosynthesis I (Animals)	-0E00		4.35E-02	PPT1	
Sumoylation Pathway	-0E00		5.71E-02	MAP2K4,RFC2	
Superpathway of Inositol Phosphate Compounds	-0E00	-0.4472135954999579	5.49E-02	PLCB3,PPP4R1,PRUNE1,SACM1L,SSH3	
Synaptic Long Term Potentiation	-0E00		5.08E-02	CAMK2D,PLCB3,PLCL2	
Synaptogenesis Signaling Pathway	-0E00	-2.4494897427831783	5.26E-02	AP2A1,CAMK2D,CNTNAP1,GUCY1B1,RAPGEF1,SYT14,SYT2	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	-0E00		2.00E-02	CSK	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00		3.17E-02	DNMT1,MAP2K4	
Systemic Lupus Erythematosus Signaling	-0E00		4.08E-02	SNRNP70,ZMAT5	
T Cell Exhaustion Signaling Pathway	-0E00		2.50E-02	MAP2K4	
T Cell Receptor Signaling	-0E00		6.00E-02	CDKN1B,CSK,MAP2K4	
TEC Kinase Signaling	-0E00		1.92E-02	MAP2K4	
TGF-β Signaling	-0E00		3.12E-02	MAP2K4	
TR/RXR Activation	-0E00		7.14E-02	ENO1,SYT2	
Telomerase Signaling	-0E00		2.44E-02	HDAC6	
Th1 Pathway	-0E00		4.76E-02	NOTCH2	
Th1 and Th2 Activation Pathway	-0E00		3.33E-02	NOTCH2	
Th2 Pathway	-0E00		3.45E-02	NOTCH2	
Thyroid Cancer Signaling	-0E00		4.55E-02	RET	
Tight Junction Signaling	-0E00		1.67E-02	PATJ	
Type I Diabetes Mellitus Signaling	-0E00		5.88E-02	MAP2K4	
UVB-Induced MAPK Signaling	-0E00		5.26E-02	MAP2K4	
Unfolded protein response	-0E00		6.82E-02	DNAJC8,EIF2A,HSPA1L	
Virus Entry via Endocytic Pathways	-0E00		2.50E-02	AP2A1	
WNT/β-catenin Signaling	-0E00		6.78E-02	CSNK2B,LRP6,NLK,UBA52	
Wound Healing Signaling Pathway	-0E00		4.65E-02	COL7A1,MAP2K4	
cAMP-mediated signaling	-0E00	-1.0	6.85E-02	CAMK2D,GABBR1,GUCY1B1,PDE4D,RAP1GAP	
fMLP Signaling in Neutrophils	-0E00		2.17E-02	PLCB3	
mTOR Signaling	-0E00		7.95E-02	EIF3B,EIF3D,RPS2,RPS26,RPS4X,RPS7,RPSA	
p38 MAPK Signaling	-0E00		4.17E-02	MAP2K4	
p53 Signaling	-0E00		6.06E-02	CCNG1,CHEK1	
p70S6K Signaling	-0E00		4.17E-02	PLCB3,PLCL2	
tRNA Splicing	-0E00		4.76E-02	PDE4D	
α-Adrenergic Signaling	-0E00		2.38E-02	GUCY1B1	
IL-23 Signaling Pathway	1.96E-01		8.33E-02	RORA	
Mismatch Repair in Eukaryotes	1.96E-01		8.33E-02	RFC2	
Pyrimidine Ribonucleotides Interconversion	1.96E-01		8.33E-02	NME1	
Retinoate Biosynthesis I	1.96E-01		8.33E-02	AKR1B1	
TNFR1 Signaling	1.96E-01		8.33E-02	MAP2K4	
Acetone Degradation I (to Methylglyoxal)	2.18E-01		9.09E-02	CYP2A6 (includes others)	
Colanic Acid Building Blocks Biosynthesis	2.18E-01		9.09E-02	GALK1	
Chondroitin Sulfate Biosynthesis	2.29E-01		8.33E-02	CHST11,SULT1E1	
Dermatan Sulfate Biosynthesis	2.29E-01		8.33E-02	CHST11,SULT1E1	
HIPPO signaling	2.32E-01		8.11E-02	DLG5,PATJ,SKP1	
Salvage Pathways of Pyrimidine Ribonucleotides	2.32E-01		8.11E-02	GRK6,MAP2K4,NME1	
April Mediated Signaling	2.44E-01		1.00E-01	MAP2K4	
B Cell Activating Factor Signaling	2.44E-01		1.00E-01	MAP2K4	
Purine Nucleotides Degradation II (Aerobic)	2.44E-01		1.00E-01	ADA2	
RAN Signaling	2.44E-01		1.00E-01	XPO1	
Th17 Activation Pathway	2.44E-01		1.00E-01	RORA	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	2.44E-01		1.00E-01	B4GAT1	
Ferroptosis Signaling Pathway	2.45E-01	0.0	8.16E-02	CTH,EIF2A,STEAP3,VDAC2	
Chemokine Signaling	2.47E-01		8.70E-02	CAMK2D,PLCB3	
Xenobiotic Metabolism General Signaling Pathway	2.57E-01	1.0	8.33E-02	GSTM4,GSTM5,MAP2K4,MGST3	
Cyclins and Cell Cycle Regulation	2.61E-01		8.57E-02	CDKN1B,HDAC6,SKP1	
EGF Signaling	2.66E-01		9.09E-02	CSNK2B,MAP2K4	
4-1BB Signaling in T Lymphocytes	2.73E-01		1.11E-01	MAP2K4	
DNA Methylation and Transcriptional Repression Signaling	2.73E-01		1.11E-01	DNMT1	
MIF Regulation of Innate Immunity	2.73E-01		1.11E-01	MAP2K4	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	2.73E-01		1.11E-01	NME1	
Role of p14/p19ARF in Tumor Suppression	2.73E-01		1.11E-01	SF3A1	
Leptin Signaling in Obesity	2.78E-01		8.82E-02	GUCY1B1,PLCB3,PLCL2	
Neuroprotective Role of THOP1 in Alzheimer's Disease	2.78E-01		8.82E-02	IDE,PRSS55,THOP1	
SNARE Signaling Pathway	2.78E-01	-1.3416407864998738	8.47E-02	CAMK2D,GUCY1B1,RIMS1,SYT14,SYT2	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	2.87E-01		9.52E-02	CHEK1,SKP1	
Role of MAPK Signaling in the Pathogenesis of Influenza	2.87E-01		9.52E-02	MAP2K4,PRDX6	
IL-6 Signaling	2.95E-01		9.09E-02	ABCB1,CSNK2B,MAP2K4	
ID1 Signaling Pathway	2.96E-01	0.8164965809277261	8.57E-02	CDKN1B,CHRNA6,CHRNA7,CHRNB2,FGFR1,RAP1GAP	
Activation of IRF by Cytosolic Pattern Recognition Receptors	3.08E-01		1.25E-01	MAP2K4	
Adenosine Nucleotides Degradation II	3.08E-01		1.25E-01	ADA2	
Bupropion Degradation	3.08E-01		1.25E-01	CYP2A6 (includes others)	
Purine Nucleotides De Novo Biosynthesis II	3.08E-01		1.25E-01	PAICS	
γ-glutamyl Cycle	3.08E-01		1.25E-01	ANPEP	
Chondroitin Sulfate Biosynthesis (Late Stages)	3.1E-01		1.00E-01	CHST11,SULT1E1	
LXR/RXR Activation	3.1E-01		1.00E-01	ARG2,ECHS1	
PFKFB4 Signaling Pathway	3.1E-01		1.00E-01	FBP1,MAP2K4	
PXR/RXR Activation	3.1E-01		1.00E-01	ABCB1,CYP2A6 (includes others)	
UVC-Induced MAPK Signaling	3.1E-01		1.00E-01	MAP2K4,SMPD1	
VDR/RXR Activation	3.1E-01		1.00E-01	CDKN1B,CYP24A1	
Dendritic Cell Maturation	3.13E-01		9.38E-02	MAP2K4,PLCB3,PLCL2	
Hepatic Cholestasis	3.16E-01		9.09E-02	ABCB1,CYP27A1,GUCY1B1,MAP2K4	
Dilated Cardiomyopathy Signaling Pathway	3.19E-01		8.93E-02	CACNA1A,CACNA1G,CACNA2D4,CAMK2D,GUCY1B1	
Netrin Signaling	3.33E-01		9.68E-02	CACNA1A,CACNA1G,CACNA2D4	
UVA-Induced MAPK Signaling	3.33E-01		9.30E-02	MAP2K4,PLCB3,PLCL2,SMPD1	
Phototransduction Pathway	3.34E-01		1.05E-01	GUCY1B1,GUCY2C	
Superpathway of Melatonin Degradation	3.34E-01		1.05E-01	B4GAT1,CYP2A6 (includes others)	
Amyotrophic Lateral Sclerosis Signaling	3.5E-01		9.26E-02	CACNA1A,CACNA2D4,CAT,GRID2,GRIK2	
Factors Promoting Cardiogenesis in Vertebrates	3.5E-01	-2.0	9.26E-02	CAMK2D,LRP6,MAP2K4,PLCB3,PLCL2	
